timestamp,model,is_final,seed,pass_rate_deepseek,avg_queries_deepseek,give_up_rate_deepseek,sopr_deepseek,sopr_n_scored_deepseek,elapsed_I1-instruction-deepseek,pass_rate_qwen72b,avg_queries_qwen72b,give_up_rate_qwen72b,sopr_qwen72b,sopr_n_scored_qwen72b,elapsed_I1-instruction-qwen72b,pass_rate_qwen7b,avg_queries_qwen7b,give_up_rate_qwen7b,sopr_qwen7b,sopr_n_scored_qwen7b,elapsed_I1-instruction-qwen7b
2026-04-23T01:44:21.174576+00:00,openai/gpt-5.4,false,42,0.5,4.8,0.02,0.26,50,2864.2,0.68,4.4,0.02,0.36,50,2118.0,0.4,6.3,0.04,0.24,50,1959.7
2026-04-23T06:57:58.541898+00:00,google/gemini-3.1-pro-preview,false,42,0.88,20.8,0.0,0.48,50,11808.6,0.92,10.1,0.0,0.58,50,4777.5,0.74,28.5,0.0,0.4,50,9066.2
2026-04-23T07:25:00.255646+00:00,anthropic/claude-opus-4.6,false,42,0.82,22.3,0.0,0.44,50,13081.4,0.9,14.3,0.0,0.56,50,5090.4,0.42,40.6,0.0,0.26,50,8857.9
2026-04-23T08:12:18.265691+00:00,qwen/qwen3.6-plus,false,42,0.88,20.4,0.0,0.48,50,12914.9,0.86,18.9,0.0,0.46,50,9204.4,,,,,,83.3
2026-04-23T08:33:00.069966+00:00,baseline:greedy_chain,false,42,0.44,3.7,0.04,0.34,50,2113.6,0.62,3.9,0.04,0.32,50,1848.5,0.3,5.5,0.06,0.14,50,1636.7
2026-04-23T10:31:02.051483+00:00,deepseek-reasoner,false,42,0.8,21.9,0.04,0.46,50,12121.8,0.88,21.0,0.02,0.52,50,11316.8,0.72,31.8,0.0,0.38,50,15034.6
2026-04-23T10:45:25.504899+00:00,openai/gpt-5.4,false,42,0.8,26.1,0.04,0.44,50,12754.7,0.84,24.6,0.0,0.48,50,9232.3,0.68,34.9,0.04,0.38,50,10404.2
2026-04-23T14:33:01.288558+00:00,baseline:dfsdt,false,42,0.78,18.3,0.04,0.4,50,11103.8,0.9,12.4,0.0,0.54,50,5614.1,0.44,39.6,0.0,0.26,50,10476.2
2026-04-23T15:01:14.941115+00:00,google/gemini-3.1-pro-preview,false,42,0.7,20.9,0.02,0.38,50,12978.1,0.92,10.4,0.0,0.5,50,5963.8,0.58,32.5,0.02,0.3,50,10019.6
2026-04-23T15:16:03.617217+00:00,anthropic/claude-opus-4.6,false,42,0.72,22.8,0.04,0.38,50,12950.3,0.88,14.2,0.0,0.48,50,4580.1,0.46,40.6,0.04,0.3,50,10623.6
2026-04-23T15:16:19.505785+00:00,anthropic/claude-opus-4.6,true,42,0.82,22.3,0.0,0.44,50,13081.4,0.9,14.3,0.0,0.56,50,5090.4,0.42,40.6,0.0,0.26,50,8857.9
2026-04-23T15:29:50.962934+00:00,qwen/qwen3.6-plus,false,42,0.7,17.1,0.04,0.38,50,7653.0,0.9,14.7,0.02,0.54,50,6482.5,0.54,37.6,0.04,0.32,50,11677.9
2026-04-23T15:32:13.512026+00:00,qwen/qwen3.6-plus,true,42,0.7,17.1,0.04,0.38,50,7653.0,0.9,14.7,0.02,0.54,50,6482.5,0.54,37.6,0.04,0.32,50,11677.9
2026-04-23T15:41:20.549287+00:00,baseline:dfs_ranked,false,42,0.72,33.1,0.02,0.4,50,10097.3,0.82,35.1,0.02,0.5,50,9393.8,0.36,52.7,0.04,0.2,50,11805.2
2026-04-23T17:12:26.236916+00:00,deepseek-reasoner,false,42,0.76,22.4,0.1,0.42,50,9713.0,0.94,9.2,0.0,0.58,50,4913.1,0.9,22.7,0.0,0.52,50,9428.8
2026-04-23T21:09:23.548276+00:00,google/gemini-3.1-pro-preview,false,42,0.66,19.8,0.0,0.38,50,8816.8,0.94,11.8,0.0,0.56,50,5263.0,0.84,25.0,0.02,0.46,50,7996.2
2026-04-23T21:09:31.983566+00:00,google/gemini-3.1-pro-preview,true,42,0.88,20.8,0.0,0.48,50,11808.6,0.92,10.1,0.0,0.58,50,4777.5,0.74,28.5,0.0,0.4,50,9066.2
2026-04-24T00:58:19.198219+00:00,openai/gpt-5.4,false,42,0.52,12.6,0.02,0.3,50,15479.1,0.78,8.5,0.0,0.42,50,2600.6,0.3,13.0,0.04,0.12,50,3182.2
2026-04-24T00:58:27.687690+00:00,openai/gpt-5.4,true,42,0.8,26.1,0.04,0.44,50,12754.7,0.84,24.6,0.0,0.48,50,9232.3,0.68,34.9,0.04,0.38,50,10404.2
2026-04-24T01:01:18.252880+00:00,deepseek-reasoner,false,42,0.62,21.1,0.04,0.36,50,8787.6,0.94,12.1,0.0,0.56,50,4964.0,0.4,42.7,0.02,0.24,50,7693.7
2026-04-24T01:01:25.693880+00:00,deepseek-reasoner,true,42,0.76,22.4,0.1,0.42,50,9713.0,0.94,9.2,0.0,0.58,50,4913.1,0.9,22.7,0.0,0.52,50,9428.8
