timestamp,model,is_final,seed,elapsed_CATH4.2,elapsed_CATH4.3,elapsed_TS50,recovery_CATH4.2,perplexity_CATH4.2,recovery_CATH4.3,perplexity_CATH4.3,recovery_TS50,perplexity_TS50
2026-04-27T12:37:04.413659+00:00,baseline:gvp,true,42,5625,5297,5174,0.431,5.8996,0.4337,5.8209,0.4602,5.4831
2026-04-27T18:04:24.113887+00:00,baseline:pifold,true,42,10934,10949,23722,0.4648,5.2943,0.4772,5.1294,0.5228,4.5513
2026-04-27T13:36:55.774382+00:00,baseline:proteinmpnn,true,42,9314,8840,8650,0.4603,5.4723,0.4612,5.4639,0.4829,5.0827
2026-05-03T10:22:07.440811+00:00,openai/gpt-5.4,false,42,5467,5116,5063,0.4535,5.7504,0.4573,5.7534,0.4849,5.2731
2026-05-03T18:28:07.528909+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-03T19:27:25.893226+00:00,claude-opus-4-6,false,42,,,,,,,,,
2026-05-03T19:27:26.752352+00:00,openai/gpt-5.4,false,42,,,,,,,,,
2026-05-03T19:27:30.697668+00:00,openai/gpt-5.4,true,42,5467,5116,5063,0.4535,5.7504,0.4573,5.7534,0.4849,5.2731
2026-05-03T20:41:39.667966+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-03T21:06:47.157232+00:00,claude-opus-4-6,false,42,,,,,,,,,
2026-05-03T21:16:45.027066+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,6223,5872,5790,0.3502,8.0534,0.3521,7.9821,0.3867,7.391
2026-05-03T22:11:45.928170+00:00,gemini-3.1-pro-preview,false,42,10957,10447,10433,0.5107,4.8639,0.5192,4.7611,0.5288,4.6359
2026-05-03T22:43:04.894209+00:00,claude-opus-4-6,false,42,,,,,,,,,
2026-05-03T22:43:18.827929+00:00,claude-opus-4-6,true,42,,,,,,,,,
2026-05-03T23:00:01.051686+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,
2026-05-04T00:30:00.746075+00:00,qwen3.6-plus,false,42,5629,5260,5228,0.4254,6.1138,0.4349,5.9115,0.4403,5.7473
2026-05-04T00:30:24.403432+00:00,qwen3.6-plus,true,42,5629,5260,5228,0.4254,6.1138,0.4349,5.9115,0.4403,5.7473
2026-05-04T01:57:04.768811+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,6664,6253,6192,0.4631,5.434,0.467,5.3832,0.4931,5.1757
2026-05-04T06:53:13.712737+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,8742,8217,8175,0.4812,5.1107,0.4841,5.112,0.5089,4.8472
2026-05-04T06:53:31.641909+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,8742,8217,8175,0.4812,5.1107,0.4841,5.112,0.5089,4.8472
2026-05-04T07:35:07.325999+00:00,gemini-3.1-pro-preview,false,42,11011,10950,16296,0.4988,5.0546,0.5043,4.9558,0.5153,5.1198
2026-05-04T07:35:17.295864+00:00,gemini-3.1-pro-preview,true,42,10957,10447,10433,0.5107,4.8639,0.5192,4.7611,0.5288,4.6359
