timestamp,model,is_final,seed,w_rmse_geopotential_500_z500-3day,w_rmse_temperature_850_t850-5day,w_rmse_10m_u_component_of_wind_wind10m-7day,elapsed_z500-3day,elapsed_t850-5day,elapsed_wind10m-7day
2026-05-03T22:34:00.315691+00:00,baseline:cross_attention,true,42,255.8458,2.1214,3.1455,14362,13470,12769
2026-05-03T21:45:59.556248+00:00,baseline:learned_weighted_sum,true,42,345.7938,2.5934,3.4245,18601,13412,9709
2026-05-03T21:19:15.970445+00:00,baseline:mean_pooling,true,42,353.5033,2.6032,3.3991,16094,12748,8263
2026-05-04T13:20:23.425936+00:00,claude-opus-4-6,false,42,255.4719,3.4759,4.0944,7370,6985,6757
2026-05-04T14:03:09.267403+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,268.1112,3.8974,4.4051,8860,8740,7653
2026-05-04T14:52:29.613006+00:00,openai/gpt-5.4,false,42,275.2973,4.3432,4.6257,14130,11234,10183
2026-05-04T15:42:50.852298+00:00,gemini-3.1-pro-preview,false,42,506.0094,3.6939,3.149,11194,10570,10001
2026-05-04T16:15:57.636551+00:00,qwen3.6-plus,false,42,262.6466,3.9237,4.4312,17046,15639,14214
2026-05-04T16:23:09.311627+00:00,claude-opus-4-6,false,42,256.9303,3.524,4.1377,8487,7983,7582
2026-05-04T17:08:42.296891+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,800.4833,2.2135,4.0321,9220,9061,7927
