timestamp,model,is_final,seed,shd_ER10,adj_precision_ER10,adj_recall_ER10,arrow_precision_ER10,arrow_recall_ER10,shd_ER20,adj_precision_ER20,adj_recall_ER20,arrow_precision_ER20,arrow_recall_ER20,shd_SF50,adj_precision_SF50,adj_recall_SF50,arrow_precision_SF50,arrow_recall_SF50,shd_ER10-Hard,adj_precision_ER10-Hard,adj_recall_ER10-Hard,arrow_precision_ER10-Hard,arrow_recall_ER10-Hard,shd_ER20-Hard,adj_precision_ER20-Hard,adj_recall_ER20-Hard,arrow_precision_ER20-Hard,arrow_recall_ER20-Hard,shd_SF50-Hard,adj_precision_SF50-Hard,adj_recall_SF50-Hard,arrow_precision_SF50-Hard,arrow_recall_SF50-Hard,shd_ER10-Noisy,adj_precision_ER10-Noisy,adj_recall_ER10-Noisy,arrow_precision_ER10-Noisy,arrow_recall_ER10-Noisy,shd_ER20-Noisy,adj_precision_ER20-Noisy,adj_recall_ER20-Noisy,arrow_precision_ER20-Noisy,arrow_recall_ER20-Noisy,shd_SF50-Noisy,adj_precision_SF50-Noisy,adj_recall_SF50-Noisy,arrow_precision_SF50-Noisy,arrow_recall_SF50-Noisy,elapsed_ER10-Noisy,elapsed_ER20-Noisy,elapsed_SF50-Noisy,elapsed_SF50,elapsed_ER10-Hard,elapsed_ER20-Hard,elapsed_SF50-Hard,elapsed_ER10,elapsed_ER20
2026-04-03T11:29:46.343035+00:00,baseline:boss,true,42,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,11,0.9792,0.9792,0.9136,1.0,5,1.0,0.8846,0.913,0.8077,7,0.9846,0.9275,0.9688,0.9118,6,0.9858,0.9858,0.971,0.971,5,1.0,0.8846,0.913,0.8077,7,0.9846,0.9275,0.9688,0.9118,7,0.9857,0.9787,0.9708,0.9638,,5,,127,2.7,5.5,127,3,5
2026-04-03T11:29:41.336988+00:00,baseline:grasp,true,42,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,26,0.9792,0.9792,0.75,0.973,30,0.6667,0.6154,0.2,0.1538,14,0.9565,0.9565,0.8657,0.8529,25,0.951,0.9645,0.8971,0.8841,22,0.8261,0.7308,0.3636,0.3077,58,0.6744,0.8406,0.4588,0.5735,19,0.9714,0.9645,0.9124,0.9058,,6,,100,,,125,3,5
2026-04-03T11:27:56.053302+00:00,baseline:pc,true,42,8,1.0,0.8571,0.5,0.5455,31,0.8571,0.5854,0.5,0.2647,93,0.8033,0.5104,0.3111,0.1892,25,0.8182,0.3462,0.3,0.1154,69,0.85,0.2464,0.1875,0.0441,143,0.6269,0.2979,0.4035,0.1667,25,0.8182,0.3462,0.3,0.1154,69,0.85,0.2464,0.1875,0.0441,143,0.6269,0.2979,0.4035,0.1667,4.0,4,13.8,14,,,14,4,4
2026-04-03T01:55:15.387258+00:00,anthropic/claude-opus-4.6,true,42,0,1.0,1.0,1.0,1.0,4,0.9524,0.9756,0.9167,0.9706,0,1.0,1.0,1.0,1.0,6,0.9565,0.8462,0.913,0.8077,5,0.971,0.971,0.9559,0.9559,25,0.8968,0.9858,0.8487,0.9348,6,0.9565,0.8462,0.913,0.8077,5,0.971,0.971,0.9559,0.9559,25,0.8968,0.9858,0.8487,0.9348,8,8,8,3,3,2,8,2,2
2026-04-03T01:49:19.982302+00:00,google/gemini-3.1-pro-preview,true,42,0,1.0,1.0,1.0,1.0,8,0.8542,1.0,0.825,0.9706,75,0.64,1.0,0.4574,0.7973,1,1.0,0.9615,1.0,0.9615,6,0.9571,0.971,0.942,0.9559,149,0.5336,0.9574,0.4332,0.7754,1,1.0,0.9615,1.0,0.9615,6,0.9571,0.971,0.942,0.9559,158,0.5236,0.9433,0.4048,0.7391,4,4,4,3,3,3,4,2,2
2026-04-03T08:20:08.593903+00:00,gpt-5.4-pro,true,42,11,1.0,0.7857,0.2727,0.2727,38,0.9583,0.561,0.1304,0.0882,91,0.8966,0.5417,0.1964,0.1486,22,1.0,0.3077,0.5714,0.1538,71,0.84,0.3043,0.08,0.0294,,,,,,22,1.0,0.3077,0.5714,0.1538,71,0.84,0.3043,0.08,0.0294,,,,,,,,,6200,6200,147,,4,51
2026-04-21T16:27:30.642736+00:00,baseline:ges,false,42,,,,,,,,,,,53,0.8017,0.9688,0.5981,0.8649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5954,,,,,
2026-04-25T05:31:06.495496+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-25T05:31:26.342421+00:00,deepseek-reasoner,false,42,9,1.0,0.8571,0.5,0.2727,27,0.8571,0.5854,0.6667,0.4118,89,0.7391,0.5312,0.4444,0.3243,,,,,,,,,,,155,0.5972,0.305,0.3182,0.1014,,,,,,71,0.8696,0.2899,0.1111,0.0147,,,,,,,4,,21,,,21,3,4
2026-04-25T05:32:38.324513+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
