timestamp,model,is_final,seed,best_psnr_garden,best_psnr_bicycle,best_psnr_bonsai,best_psnr_stump,elapsed_garden,elapsed_bicycle,elapsed_bonsai,elapsed_stump,psnr,ssim,lpips,num_gs,best_psnr
2026-04-19T00:00:00.000000+00:00,baseline:default,true,42,29.677,26.903,33.079,27.761,,,,,,,,,
2026-04-19T00:00:00.000000+00:00,baseline:taming,true,42,30.044,27.141,33.353,27.948,,,,,,,,,
2026-04-19T09:22:10.371886+00:00,claude-opus-4.6,false,42,NaN,NaN,NaN,NaN,175,154,198,149,,,,,
2026-04-19T11:09:00.695234+00:00,claude-opus-4.6,false,42,30.054,27.174,33.302,28.009,1296,2183,918,1754,,,,,
2026-04-19T12:55:19.813310+00:00,claude-opus-4.6,false,42,30.058,27.207,33.290,27.991,1282,2133,907,1745,,,,,
2026-04-19T10:17:50.723112+00:00,gemini-3.1-pro-preview,false,42,29.936,27.116,33.179,27.962,882,1251,653,1056,,,,,
2026-04-19T12:09:57.912550+00:00,gemini-3.1-pro-preview,false,42,29.824,26.914,33.255,27.804,1276,2125,938,2073,,,,,
2026-04-19T13:34:09.259494+00:00,gemini-3.1-pro-preview,false,42,30.050,27.124,33.225,27.967,1060,1564,747,1320,,,,,
2026-04-19T09:22:13.419365+00:00,deepseek-reasoner,false,42,NaN,NaN,NaN,NaN,146,134,170,125,,,,,
2026-04-19T09:38:57.747186+00:00,deepseek-reasoner,false,42,NaN,NaN,NaN,NaN,173,150,206,150,,,,,
2026-04-19T10:12:22.658941+00:00,deepseek-reasoner,false,42,NaN,NaN,NaN,NaN,368,384,468,401,,,,,
2026-04-19T09:23:27.613347+00:00,qwen3.6-plus,false,42,NaN,NaN,NaN,NaN,172,153,198,149,,,,,
2026-04-19T09:47:01.579972+00:00,qwen3.6-plus,false,42,NaN,NaN,NaN,NaN,221,195,260,223,,,,,
2026-04-19T10:21:56.041652+00:00,qwen3.6-plus,false,42,26.907,22.963,24.527,21.945,505,389,491,395,,,,,
2026-04-20T17:40:08.603709+00:00,gpt-5.4,false,42,NaN,NaN,NaN,NaN,149,133,170,130,,,,,
2026-04-20T17:53:49.092681+00:00,gpt-5.4,false,42,NaN,NaN,NaN,NaN,149,132,171,132,,,,,
2026-04-20T18:07:28.175193+00:00,gpt-5.4,false,42,NaN,NaN,NaN,NaN,147,129,171,127,,,,,
2026-04-19T12:55:19.817453+00:00,gpt-5.4,true,42,NaN,NaN,NaN,NaN,,,,,,,,,
2026-04-27T18:26:10.414898+00:00,baseline:edc,true,42,30.206,27.219,33.068,28.260,,,,,,,,,
2026-04-27T18:52:01.920595+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,,
2026-04-27T18:55:07.113816+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,,
2026-04-27T18:57:30.760022+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,,
2026-04-27T18:58:32.186885+00:00,qwen3.6-plus,true,42,26.907,22.963,24.527,21.945,505.0,389.0,491.0,395.0,,,,,
2026-04-27T19:48:56.605906+00:00,claude-opus-4.6,false,42,30.254,27.223,33.218,28.297,1069.7,1273.2,641.3,974.6,28.297,0.849,0.08,3409283,28.297
2026-04-27T19:56:56.541015+00:00,deepseek-reasoner,false,42,29.655,26.621,29.637,27.358,1216.3,1193.8,806.4,1058.2,27.358,0.8121,0.119,3314645,27.358
2026-04-27T19:59:00.660674+00:00,gemini-3.1-pro-preview,false,42,30.228,27.277,33.248,27.868,1087.9,1395.4,666.8,1243.0,27.868,0.8417,0.082,4893489,27.868
2026-04-27T20:37:49.984492+00:00,deepseek-reasoner,false,42,,,,,,,,,,,,,
2026-04-27T20:49:26.871063+00:00,claude-opus-4.6,false,42,30.207,27.23,33.29,28.232,833.3,1155.1,579.5,990.7,28.232,0.8472,0.079,3580182,28.232
2026-04-27T21:20:43.782315+00:00,deepseek-reasoner,false,42,29.462,26.929,31.404,27.701,636.0,700.4,543.7,642.9,27.701,0.8234,0.095,2111512,27.701
2026-04-27T21:20:58.257033+00:00,deepseek-reasoner,true,42,29.462,26.929,31.404,27.701,636.0,700.4,543.7,642.9,27.701,0.8234,0.095,2111512,27.701
2026-04-27T21:24:19.242503+00:00,gemini-3.1-pro-preview,false,42,30.116,27.17,33.26,28.019,1124.6,1707.5,748.9,1417.4,28.019,0.8405,0.083,5741250,28.019
2026-04-27T21:54:03.017462+00:00,claude-opus-4.6,false,42,30.18,27.178,33.179,28.275,923.8,1221.6,636.0,1051.2,28.275,0.849,0.08,3528437,28.275
2026-04-27T21:54:08.093377+00:00,claude-opus-4.6,true,42,30.254,27.223,33.218,28.297,1069.7,1273.2,641.3,974.6,28.297,0.849,0.08,3409283,28.297
2026-04-27T22:46:49.712202+00:00,gemini-3.1-pro-preview,false,42,30.063,27.197,33.273,28.044,1099.6,1646.2,732.1,1402.6,28.044,0.8388,0.082,5697043,28.044
2026-04-27T22:47:01.787041+00:00,gemini-3.1-pro-preview,true,42,30.228,27.277,33.248,27.868,1087.9,1395.4,666.8,1243.0,27.868,0.8417,0.082,4893489,27.868
2026-07-18T05:02:02.966130+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:02:06.476637+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:02:08.673320+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:04:04.257175+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:04:51.526591+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:06:28.772004+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:06:35.390315+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,,,,,
2026-07-18T05:06:51.403682+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:07:04.052870+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:07:15.108758+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,,,,,
2026-07-18T05:07:18.610725+00:00,baseline:default,false,2,,,,,,,,,,,,,
2026-07-18T05:07:38.455821+00:00,baseline:edc,false,1,,,,,,,,,,,,,
2026-07-18T05:07:51.995654+00:00,baseline:default,false,3,,,,,,,,,,,,,
2026-07-18T05:11:15.037781+00:00,baseline:taming,false,3,,,,,,,,,,,,,
2026-07-18T05:12:41.161135+00:00,baseline:edc,false,2,,,,,,,,,,,,,
2026-07-18T05:13:28.253764+00:00,baseline:taming,false,1,,,,,,,,,,,,,
2026-07-18T05:14:11.972521+00:00,baseline:edc,false,3,,,,,,,,,,,,,
2026-07-18T05:16:34.370348+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T05:16:51.130971+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,,,,,
2026-07-18T05:17:53.278435+00:00,baseline:taming,false,2,,,,,,,,,,,,,
2026-07-18T05:18:55.125404+00:00,baseline:default,false,1,,,,,,,,,,,,,
2026-07-18T10:35:11.857898+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T10:35:25.660583+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,
2026-07-18T10:37:07.419320+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,,,,,
