timestamp,model,is_final,seed,test_acc_resnet56-cifar100,test_acc_vgg16bn-cifar100,test_acc_mobilenetv2-fmnist,elapsed_mobilenetv2-fmnist,elapsed_resnet56-cifar100,elapsed_vgg16bn-cifar100
2026-03-25T11:55:29.112615+00:00,baseline:label_smoothing,true,42,71.36,74.67,94.82,,,
2026-03-28T02:01:38.029778+00:00,baseline:poly_loss,true,42,71.56,74.06,94.74,7161,,
2026-03-28T03:41:34.465179+00:00,baseline:focal_loss,true,42,71.67,74.18,94.14,7138,,
2026-04-09T19:47:21.602544+00:00,deepseek-reasoner,false,42,72.66,74.68,94.68,2341,1863,893
2026-04-09T23:44:13.292885+00:00,deepseek-reasoner,false,42,72.62,73.78,94.45,2361,1901,909
2026-04-10T02:46:34.968797+00:00,deepseek-reasoner,false,42,73.33,74.38,94.45,2290,1840,868
2026-04-10T02:46:56.311648+00:00,deepseek-reasoner,true,42,72.66,74.68,94.68,2341,1863,893
2026-04-14T07:08:51.064200+00:00,openai/gpt-5.4,false,42,73.1,74.95,94.73,2218,1702,821
2026-04-14T18:58:06.799581+00:00,openai/gpt-5.4,false,42,71.56,74.33,94.6,2340,1711,879
2026-04-14T22:31:55.612394+00:00,anthropic/claude-opus-4.6,false,42,72.3,74.32,94.83,2298,1862,864
2026-04-14T23:11:07.038374+00:00,google/gemini-3.1-pro-preview,false,42,72.57,73.24,94.46,2283,1843,865
2026-04-14T23:16:59.821879+00:00,qwen/qwen3.6-plus,false,42,50.42,49.84,89.82,2297,1840,872
2026-04-15T07:20:14.656806+00:00,openai/gpt-5.4,true,42,73.1,74.95,94.73,2218,1702,821
2026-04-15T09:47:13.607662+00:00,google/gemini-3.1-pro-preview,false,42,72.57,73.24,94.46,2283,1843,865
2026-04-15T09:50:56.540502+00:00,google/gemini-3.1-pro-preview,true,42,72.57,73.24,94.46,2283,1843,865
2026-04-15T09:56:11.141561+00:00,anthropic/claude-opus-4.6,false,42,72.34,74.32,94.83,2298,1860,864
2026-04-15T09:56:21.665460+00:00,anthropic/claude-opus-4.6,true,42,72.34,74.32,94.83,2298,1860,864
2026-04-15T10:47:16.955187+00:00,qwen/qwen3.6-plus,false,42,50.42,49.84,89.82,2297,1840,872
2026-04-15T10:48:33.915404+00:00,qwen/qwen3.6-plus,true,42,50.42,49.84,89.82,2297,1840,872
