timestamp,model,is_final,seed,test_acc_resnet20-cifar10,test_acc_resnet56-cifar100,test_acc_mobilenetv2-fmnist,elapsed_mobilenetv2-fmnist,elapsed_resnet20-cifar10,elapsed_resnet56-cifar100
2026-03-25T11:40:24.171105+00:00,baseline:randaugment,true,42,93.51,74.35,94.43,,,
2026-03-25T14:38:57.420385+00:00,baseline:trivialaugment,true,42,93.36,74.71,94.24,7146,,
2026-03-25T14:56:03.657991+00:00,baseline:cutout,true,42,93.72,74.54,94.72,7142,,
2026-04-09T20:48:39.295084+00:00,deepseek-reasoner,false,42,92.45,73.11,93.81,2241,1328,1810
2026-04-10T00:42:19.697636+00:00,deepseek-reasoner,false,42,92.81,73.87,94.26,2229,1352,1820
2026-04-10T02:49:11.771089+00:00,deepseek-reasoner,false,42,,,,,,
2026-04-10T02:49:40.571623+00:00,deepseek-reasoner,true,42,92.81,73.87,94.26,2229,1352,1820
2026-04-14T05:18:01.579764+00:00,openai/gpt-5.4,false,42,92.99,73.95,94.92,2211,1183,1664
2026-04-14T08:05:24.310633+00:00,openai/gpt-5.4,false,42,93.17,74.86,94.74,2213,1296,1642
2026-04-14T19:57:04.331920+00:00,openai/gpt-5.4,false,42,92.96,74.42,94.8,2229,1261,1825
2026-04-15T01:29:10.048442+00:00,anthropic/claude-opus-4.6,false,42,93.07,75.39,94.13,2232,1225,1787
2026-04-15T06:18:53.879961+00:00,openai/gpt-5.4,true,42,93.17,74.86,94.74,2213,1296,1642
2026-04-15T06:43:49.618638+00:00,google/gemini-3.1-pro-preview,false,42,93.12,75.89,94.39,2251,1503,1841
2026-04-15T07:14:50.413900+00:00,qwen/qwen3.6-plus,false,42,89.81,69.38,94.29,2254,1463,1831
2026-04-15T07:15:50.064342+00:00,qwen/qwen3.6-plus,true,42,89.81,69.38,94.29,2254,1463,1831
2026-04-15T10:47:16.941199+00:00,anthropic/claude-opus-4.6,false,42,93.53,75.32,94.13,2232,1160,1797
2026-04-15T10:47:22.655710+00:00,anthropic/claude-opus-4.6,true,42,93.53,75.32,94.13,2232,1160,1797
2026-04-15T10:52:52.629879+00:00,google/gemini-3.1-pro-preview,false,42,92.42,74.98,94.09,3133,2553,2615
2026-04-15T10:53:38.866693+00:00,google/gemini-3.1-pro-preview,true,42,93.12,75.89,94.39,2251,1503,1841
