timestamp,model,is_final,seed,best_fid_small,best_fid_medium,best_fid_large,best_fid,elapsed_train_medium,elapsed_train_small,fid,fid_medium,fid_small
2026-04-14T00:00:00.000000+00:00,baseline:no-attn,true,42,21.39,11.25,9.55,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:full-attn,true,42,17.44,8.82,7.31,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:standard,true,42,18.60,8.47,7.18,,,,,,
2026-04-21T18:09:39.038291+00:00,claude-opus-4.6,false,42,17.0600,8.3900,24.87,,14,14,,,
2026-04-21T20:59:01.889500+00:00,claude-opus-4.6,false,42,17.18,9.65,NaN,,5633,4377,,,
2026-04-22T00:07:14.765053+00:00,claude-opus-4.6,false,42,16.97,9.65,NaN,,5622,5423,,,
2026-04-22T00:07:14.765699+00:00,claude-opus-4.6,true,42,16.97,9.65,8.17,,,,,,
2026-04-21T20:51:08.832557+00:00,gemini-3.1-pro-preview,false,42,16.76,9.55,23.04,,5230,4292,,,
2026-04-21T23:38:14.308356+00:00,gemini-3.1-pro-preview,false,42,16.12,8.45,,,5406,4441,,,
2026-04-22T02:24:39.165752+00:00,gemini-3.1-pro-preview,false,42,16.12,8.45,,,5418,4445,,,
2026-05-03T08:21:52.084512+00:00,gemini-3.1-pro-preview,true,42,16.12,8.45,,,5406,4441,,,
2026-04-21T21:06:37.430182+00:00,gpt-5.4,false,42,17.25,9.22,19.0,,6067,4595,,,
2026-04-21T21:09:03.774981+00:00,gpt-5.4,false,42,,,,,14,15,,,
2026-04-22T00:21:36.166294+00:00,gpt-5.4,false,42,16.97,9.33,,,6643,4707,,,
2026-05-03T09:00:45.120527+00:00,gpt-5.4,true,42,17.25,9.22,19.0,,6067,4595,,,
2026-04-21T20:54:25.987683+00:00,qwen3.6-plus,false,42,16.88,9.43,21.54,,5432,4408,,,
2026-04-21T23:31:40.205142+00:00,qwen3.6-plus,false,42,17.3,9.88,,,5206,3901,,,
,qwen3.6-plus,false,42,,,,,,,,,
2026-05-03T08:22:17.223012+00:00,qwen3.6-plus,true,42,16.88,9.43,21.54,,5432,4408,,,
