timestamp,model,is_final,seed,best_fid_small,best_fid_medium,best_fid_large,best_fid,elapsed_train_medium,elapsed_train_small,fid,fid_medium,fid_small
2026-04-14T00:00:00.000000+00:00,baseline:concat-film,true,42,19.39,11.50,10.52,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:cross-attn,true,42,19.17,11.21,10.41,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:adanorm,true,42,20.01,12.31,11.77,,,,,,
2026-04-21T20:53:08.326784+00:00,claude-opus-4.6,false,42,19.44,11.62,20.95,,5444,4304,,,
2026-04-21T23:43:46.637382+00:00,claude-opus-4.6,false,42,19.84,12.36,,,5579,4481,,,
2026-04-21T23:46:20.746246+00:00,claude-opus-4.6,false,42,,,,,16,14,,,
2026-05-03T09:00:55.337265+00:00,claude-opus-4.6,true,42,19.44,11.62,20.95,,5444,4304,,,
2026-04-21T20:54:56.869703+00:00,gemini-3.1-pro-preview,false,42,18.73,11.31,17.67,,5564,4188,,,
2026-04-21T23:45:03.644215+00:00,gemini-3.1-pro-preview,false,42,19.13,11.48,,,5538,4411,,,
2026-04-22T02:25:43.811278+00:00,gemini-3.1-pro-preview,false,42,18.67,11.02,,,5315,4079,,,
2026-04-22T02:25:43.817429+00:00,gemini-3.1-pro-preview,true,42,18.67,11.02,9.95,,,,,,
2026-04-21T18:09:32.225196+00:00,gpt-5.4,false,42,19.3400,11.8300,19.05,,13,14,,,
2026-04-21T20:38:41.085247+00:00,gpt-5.4,false,42,20.55,13.43,,,5013,3774,,,
2026-04-21T23:09:50.105976+00:00,gpt-5.4,false,42,19.54,12.27,,,5120,3851,,,
2026-04-21T23:09:50.106632+00:00,gpt-5.4,true,42,19.54,12.27,10.95,,,,,,
2026-04-21T21:10:34.041183+00:00,qwen3.6-plus,false,42,19.92,12.87,16.9,,5877,4744,,,
2026-04-22T00:03:33.068241+00:00,qwen3.6-plus,false,42,18.75,10.97,,,5594,4493,,,
2026-04-22T03:06:56.853496+00:00,qwen3.6-plus,false,42,19.72,11.48,,,5962,4879,,,
2026-05-03T09:01:58.083387+00:00,qwen3.6-plus,true,42,18.75,10.97,,,5594,4493,,,
2026-04-21T20:54:04.395354+00:00,deepseek-reasoner,false,42,19.44,11.62,633.14,,5448,4325,,,
2026-04-21T20:56:53.620189+00:00,deepseek-reasoner,false,42,,,,,15,14,,,
2026-04-21T23:47:54.875822+00:00,deepseek-reasoner,false,42,19.63,11.49,,,5561,4462,,,
2026-05-03T09:01:33.814384+00:00,deepseek-reasoner,true,42,19.44,11.62,633.14,,5448,4325,,,
2026-04-30T05:51:46.000000+00:00,claude-opus-4.6:nobudget,false,42,23.63,,,,,,,,23.63
2026-04-30T20:42:26.737650+00:00,claude-opus-4.6:nobudget,false,42,19.75,12.33,,12.33,5621,4514,12.47,12.47,20.07
2026-04-30T23:33:02.319609+00:00,claude-opus-4.6:nobudget,false,42,19.0,11.05,,11.05,5582,4512,11.4,11.4,19.17
2026-04-30T23:33:12.286763+00:00,claude-opus-4.6:nobudget,true,42,19.0,11.05,,11.05,5582,4512,11.4,11.4,19.17
2026-04-30T19:24:00.544557+00:00,gemini-3.1-pro-preview:nobudget,false,42,19.44,11.62,,11.62,5509,4367,11.83,11.83,19.32
2026-04-30T21:59:51.382431+00:00,gemini-3.1-pro-preview:nobudget,false,42,18.8,11.31,,11.31,5166,3899,11.38,11.38,18.93
2026-05-01T00:40:32.190830+00:00,gemini-3.1-pro-preview:nobudget,false,42,18.4,11.18,,11.18,5332,4146,11.14,11.14,18.64
2026-05-01T00:40:32.193558+00:00,gemini-3.1-pro-preview:nobudget,true,42,18.4,11.18,,11.18,5332,4146,11.14,11.14,18.64
2026-04-30T20:52:03.956136+00:00,openai/gpt-5.4:nobudget,false,42,19.99,13.16,,13.16,5982,4839,13.28,13.28,19.95
2026-04-30T23:56:36.758531+00:00,openai/gpt-5.4:nobudget,false,42,19.52,11.81,,11.81,6086,4843,11.88,11.88,19.31
2026-05-01T02:55:09.974163+00:00,openai/gpt-5.4:nobudget,false,42,19.57,12.24,,12.24,5899,4686,12.38,12.38,19.92
2026-05-01T02:55:09.977125+00:00,openai/gpt-5.4:nobudget,true,42,19.52,11.81,,11.81,6086,4843,11.88,11.88,19.31
2026-04-30T17:56:21.717050+00:00,qwen3.6-plus:nobudget,false,42,,,,,13,17,,,
2026-04-30T20:48:22.761449+00:00,qwen3.6-plus:nobudget,false,42,19.17,11.21,,11.21,5438,4298,11.01,11.01,19.23
2026-04-30T23:34:57.143499+00:00,qwen3.6-plus:nobudget,false,42,19.5,11.54,,11.54,5477,4358,11.42,11.42,19.57
2026-04-30T23:34:57.146570+00:00,qwen3.6-plus:nobudget,true,42,19.17,11.21,,11.21,5438,4298,11.01,11.01,19.23
2026-04-29T20:01:23.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,,,,,,,,,
2026-04-30T05:26:34.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,,,,,,,,,
2026-04-30T05:38:32.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,,,,,,,,,
,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,true,42,,,,,,,,,
2026-04-30T11:31:44.209996+00:00,claude-opus-4.6:eng,false,42,19.44,11.62,,11.62,5484,4348,11.83,11.83,19.32
2026-04-30T11:34:19.634540+00:00,claude-opus-4.6:eng,false,42,,,,,13,13,,,
2026-04-30T14:20:48.995583+00:00,claude-opus-4.6:eng,false,42,19.17,11.27,,11.27,5477,4316,11.03,11.03,19.23
2026-04-30T14:20:48.998552+00:00,claude-opus-4.6:eng,true,42,19.17,11.27,,11.27,5477,4316,11.03,11.03,19.23
2026-04-30T11:13:48.856392+00:00,gemini-3.1-pro-preview:eng,false,42,19.72,12.61,,12.61,4864,3784,12.75,12.75,19.87
2026-04-30T14:00:02.940637+00:00,gemini-3.1-pro-preview:eng,false,42,18.93,11.21,,11.21,5499,4288,11.31,11.31,19.05
2026-04-30T16:36:41.154903+00:00,gemini-3.1-pro-preview:eng,false,42,18.51,11.13,,11.13,5208,3918,11.19,11.19,18.49
