timestamp,model,is_final,seed,test_acc_resnet20-cifar100mt,test_acc_resnet56-cifar100mt,test_acc_vgg16bn-cifar100mt,elapsed_resnet20-cifar100mt,elapsed_resnet56-cifar100mt,elapsed_vgg16bn-cifar100mt
,baseline:dwa,true,42,67.96,72.39,73.78,,,
,baseline:pcgrad,true,42,64.31,70.2,74.17,,,
,baseline:uncertainty,true,42,66.81,70.94,72.67,,,
2026-04-09T20:52:45.971676+00:00,deepseek-reasoner,false,42,66.55,71.76,72.29,849,1873,880
2026-04-10T00:49:02.744797+00:00,deepseek-reasoner,false,42,67.1,71.9,72.75,867,1890,895
2026-04-10T03:22:36.092445+00:00,deepseek-reasoner,false,42,24.69,25.58,1.52,853,1854,893
2026-04-10T03:23:38.078602+00:00,deepseek-reasoner,true,42,67.1,71.9,72.75,867,1890,895
2026-04-14T06:07:48.466421+00:00,openai/gpt-5.4,false,42,69.11,72.12,74.36,782,1707,859
2026-04-14T08:34:01.912757+00:00,openai/gpt-5.4,false,42,68.96,72.37,74.31,773,1721,855
2026-04-14T08:34:37.807166+00:00,openai/gpt-5.4,true,42,68.96,72.37,74.31,773,1721,855
2026-04-15T07:23:51.478326+00:00,anthropic/claude-opus-4.6,false,42,68.6,72.66,73.8,852,1882,893
2026-04-15T07:24:25.822099+00:00,anthropic/claude-opus-4.6,true,42,68.6,72.66,73.8,852,1882,893
2026-04-15T07:54:20.515818+00:00,google/gemini-3.1-pro-preview,false,42,68.48,71.08,74.08,834,1867,881
2026-04-15T08:11:20.678002+00:00,qwen/qwen3.6-plus,false,42,68.29,72.38,73.46,865,1894,899
2026-04-15T11:07:20.519458+00:00,google/gemini-3.1-pro-preview,false,42,68.87,72.64,74.55,838,1855,877
2026-04-15T11:09:15.638563+00:00,google/gemini-3.1-pro-preview,true,42,68.87,72.64,74.55,838,1855,877
2026-04-15T11:33:04.795370+00:00,qwen/qwen3.6-plus,false,42,68.71,72.7,74.01,824,1844,872
2026-04-15T11:33:13.742494+00:00,qwen/qwen3.6-plus,true,42,68.71,72.7,74.01,824,1844,872
