timestamp,model,is_final,seed,test_acc_resnet56-cifar100,test_acc_vgg16bn-cifar100,test_acc_mobilenetv2-fmnist,elapsed_resnet56-cifar100,elapsed_vgg16bn-cifar100,elapsed_mobilenetv2-fmnist
2026-03-28T02:01:04.764155+00:00,baseline:avg_max,true,42,71.06,72.55,94.52,,,7289
2026-04-03T12:14:20.847209+00:00,baseline:gem,true,42,72.39,74.02,94.81,0,0,0
2026-03-28T02:28:18.488248+00:00,baseline:global_max,true,42,69.96,74.43,94.27,,,
2026-04-14T05:56:16.577869+00:00,openai/gpt-5.4,false,42,71.14,1.0,94.47,1740,833,2276
2026-04-14T08:34:58.559127+00:00,openai/gpt-5.4,false,42,71.61,1.0,94.59,1710,783,2277
2026-04-14T20:30:57.419198+00:00,openai/gpt-5.4,false,42,71.29,73.21,94.61,1906,826,2352
2026-04-15T06:18:59.219248+00:00,openai/gpt-5.4,true,42,71.29,73.21,94.61,1906,826,2352
2026-04-15T08:56:03.503664+00:00,qwen/qwen3.6-plus,false,42,71.67,1.0,94.0,1860,816,2305
2026-04-15T09:03:09.806640+00:00,anthropic/claude-opus-4.6,false,42,70.1,1.0,94.19,1857,868,2310
2026-04-15T09:43:11.758189+00:00,google/gemini-3.1-pro-preview,false,42,72.25,74.39,94.66,1934,815,2387
2026-04-15T12:01:51.232312+00:00,anthropic/claude-opus-4.6,false,42,71.79,73.22,93.98,1851,825,2294
2026-04-15T12:01:55.160366+00:00,anthropic/claude-opus-4.6,true,42,71.79,73.22,93.98,1851,825,2294
2026-04-15T12:27:50.135443+00:00,qwen/qwen3.6-plus,false,42,71.26,1.0,94.53,1862,816,2310
2026-04-15T12:29:56.241038+00:00,qwen/qwen3.6-plus,true,42,71.67,1.0,94.0,1860,816,2305
2026-04-15T12:57:43.115641+00:00,google/gemini-3.1-pro-preview,false,42,71.33,1.0,94.57,1810,819,2237
2026-04-15T12:58:56.239161+00:00,google/gemini-3.1-pro-preview,true,42,72.25,74.39,94.66,1934,815,2387
2026-04-15T13:07:22.429826+00:00,deepseek-reasoner,false,42,72.66,1.0,94.5,1871,881,2328
2026-04-15T14:50:58.625278+00:00,deepseek-reasoner,false,42,71.23,71.66,94.43,1830,852,2268
2026-04-15T14:54:06.293373+00:00,deepseek-reasoner,true,42,71.23,71.66,94.43,1830,852,2268
2026-07-17T20:16:19.768930+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,74.62,94.6,0.0,676.9,1685.2
2026-07-17T20:41:28.487850+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,71.8,74.08,94.46,1837.3,1201.0,1981.5
2026-07-17T20:43:06.712618+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,
2026-07-17T20:46:24.806836+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,70.17,74.47,94.6,1877.7,1246.2,2285.8
2026-07-17T21:15:22.888992+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,72.39,74.57,94.56,1775.3,1215.1,1695.2
2026-07-17T21:47:11.755808+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,72.14,74.1,94.68,1817.2,1205.8,1971.6
2026-07-17T21:47:16.999934+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,72.14,74.1,94.68,1817.2,1205.8,1971.6
2026-07-17T21:55:59.054952+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,71.84,74.28,94.25,1863.6,1249.4,2252.5
2026-07-17T22:10:41.931818+00:00,baseline:global_max,false,1,,1.0,,4816.4,3609.8,4699.8
2026-07-17T22:10:53.955516+00:00,baseline:avg_max,false,1,,72.08,,4815.9,3610.3,4712.3
2026-07-17T22:10:56.049796+00:00,baseline:gem,false,1,,1.0,,4816.7,3610.7,4714.3
2026-07-17T22:12:28.455240+00:00,baseline:global_max,false,2,,74.21,,4845.4,3629.1,4721.5
2026-07-17T22:12:32.592407+00:00,baseline:gem,false,2,,1.0,,4846.8,3630.6,4725.6
2026-07-17T22:12:32.683146+00:00,baseline:avg_max,false,2,,74.42,,4846.9,3629.9,4725.7
2026-07-17T22:12:36.725843+00:00,baseline:gem,false,3,,74.58,,4859.8,3640.5,4744.8
