timestamp,model,is_final,seed,best_rfid_small,best_rfid_medium,best_rfid_large,elapsed_train_medium,elapsed_train_small,rfid_large,psnr_large,ssim_large,rfid,psnr,ssim,best_rfid,rfid_small,psnr_small,ssim_small,rfid_medium,psnr_medium,ssim_medium,elapsed_train_large
2026-04-14T00:00:00.000000+00:00,baseline:l2-kl,true,42,53.00,15.75,5.35,,,,,,,,,,,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:perceptual,true,42,19.64,10.69,3.84,,,,,,,,,,,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:vqgan,true,42,15.80,7.25,3.38,,,,,,,,,,,,,,,,
2026-04-11T07:03:12+00:00,anthropic/claude-opus-4.6,false,42,24.28,7.9,4.05,3506,,,,,,,,,,,,,,,
2026-04-11T08:03:15+00:00,anthropic/claude-opus-4.6,false,42,NaN,8.72,,3517,,,,,,,,,,,,,,,
2026-04-11T09:03:24+00:00,anthropic/claude-opus-4.6,false,42,NaN,8.09,,3570,,,,,,,,,,,,,,,
2026-04-11T07:03:12+00:00,anthropic/claude-opus-4.6,true,42,24.28,7.90,4.05,,,,,,,,,,,,,,,,
2026-04-10T15:21:40+00:00,deepseek-reasoner,false,42,NaN,14.06,NaN,3426,,,,,,,,,,,,,,,
2026-04-10T16:22:22+00:00,deepseek-reasoner,false,42,NaN,10.88,NaN,3169,,,,,,,,,,,,,,,
2026-04-10T17:17:22+00:00,deepseek-reasoner,false,42,NaN,7.47,NaN,3741,,,,,,,,,,,,,,,
2026-04-10T17:17:22+00:00,deepseek-reasoner,true,42,20.08,7.47,3.98,,,,,,,,,,,,,,,,
2026-04-11T16:33:00+00:00,google/gemini-3.1-pro-preview,false,42,21.04,11.07,4.26,2992,1678,,,,,,,,,,,,,,
2026-04-11T17:56:24+00:00,google/gemini-3.1-pro-preview,false,42,20.94,9.49,,3008,1673,,,,,,,,,,,,,,
2026-04-11T20:37:04+00:00,google/gemini-3.1-pro-preview,false,42,31.34,11.43,,3132,1746,,,,,,,,,,,,,,
2026-04-11T17:56:24+00:00,google/gemini-3.1-pro-preview,true,42,20.94,9.49,3.43,,,,,,,,,,,,,,,,
2026-04-12T12:35:34+00:00,qwen/qwen3.6-plus,false,42,18.2,10.91,4.61,3083,1707,,,,,,,,,,,,,,
2026-04-12T13:59:51+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,,,,,,,,
2026-04-12T14:21:55+00:00,qwen/qwen3.6-plus,false,42,31.49,14.48,,3159,1754,,,,,,,,,,,,,,
2026-04-12T12:35:34+00:00,qwen/qwen3.6-plus,true,42,18.20,10.91,4.36,,,,,,,,,,,,,,,,
2026-04-20T17:42:03.442229+00:00,gpt-5.4,false,42,22.45,11.5,4.36,3010,1691,,,,,,,,,,,,,,
2026-04-20T19:03:24.166094+00:00,gpt-5.4,false,42,22.44,12.2,,3034,1680,,,,,,,,,,,,,,
2026-04-20T20:24:50.008653+00:00,gpt-5.4,false,42,26.52,11.41,,3055,1686,,,,,,,,,,,,,,
2026-04-14T00:00:00.000000+00:00,gpt-5.4,true,42,26.52,11.41,4.36,,,4.36,37.87,0.993,,,,,,,,,,,
2026-07-18T04:51:18.486636+00:00,baseline:l2-kl,false,2,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:26.181300+00:00,baseline:perceptual,false,3,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:27.581161+00:00,baseline:freq-weighted,false,2,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:28.853698+00:00,baseline:l2-kl,false,1,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:33.691987+00:00,baseline:freq-weighted,false,3,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:37.955371+00:00,baseline:freq-weighted,false,1,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:38.235369+00:00,baseline:perceptual,false,2,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:42.677677+00:00,baseline:l2-kl,false,3,,,,,,,,,,,,,,,,,,,
2026-07-18T04:51:47.778238+00:00,baseline:perceptual,false,1,,,,,,,,,,,,,,,,,,,
2026-07-18T04:54:40.222049+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:54:51.255533+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:55:07.130350+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:55:52.669438+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:56:10.588602+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:56:17.344093+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:57:12.258056+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:57:22.191535+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:57:31.978524+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:57:38.224712+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:57:40.704813+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,,,,,
2026-07-18T04:57:46.303451+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,,,,,
2026-07-18T10:31:17.101424+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T10:31:28.890245+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T10:32:23.919474+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T10:32:45.250626+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T10:32:57.604967+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
2026-07-18T10:33:14.636277+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,,,,,
