timestamp,model,is_final,seed,val_loss_gpt-124m,val_loss_gpt-1.5b,wikitext2_ppl_gpt-124m,wikitext103_ppl_gpt-124m,lambada_ppl_gpt-124m,val_loss_gpt-124m_std,wikitext2_ppl_gpt-124m_std,lambada_ppl_gpt-124m_std,wikitext2_ppl_gpt-1.5b,lambada_ppl_gpt-1.5b,elapsed_lm-eval-762m,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-03-08T09:06:50.848950+00:00,baseline:bf16_cast,true,42,2.6271,,67.24,67.24,96.3,,,,,,,,,,,,,,,
2026-03-09T21:40:02.030012+00:00,baseline:bf16_cast,true,42,2.6233,,66.62,,96.66,,,,,,,,,,,,,,,
2026-03-09T21:40:02.033856+00:00,baseline:bf16_cast,true,123,2.6302,,67.85,,94.6,,,,,,,,,,,,,,,
2026-03-09T21:40:02.034085+00:00,baseline:bf16_cast,true,456,2.6191,,67.67,,95.1,,,,,,,,,,,,,,,
2026-03-09T21:40:02.034295+00:00,baseline:bf16_cast,true,mean,2.6242,,67.38,,95.45333333333333,0.005604462507680763,0.6643041472096907,1.074492128092773,,,,,,,,,,,,
2026-03-09T22:16:48.026103+00:00,baseline:fp8_asymmetric,true,42,2.6302,,67.7,,96.59,,,,,,,,,,,,,,,
2026-03-13T18:57:25.124435+00:00,baseline:fp8_linear,true,42,5.7302,,1849.17,,1502.93,,,,,,,,,,,,,,,
2026-03-13T18:57:31.026268+00:00,baseline:fp8_linear,true,123,5.7112,,1730.66,,1552.81,,,,,,,,,,,,,,,
2026-03-13T18:57:33.627045+00:00,baseline:fp8_linear,true,456,6.0334,,2258.5,,1875.21,,,,,,,,,,,,,,,
2026-03-13T18:57:35.834234+00:00,baseline:fp8_linear,true,mean,5.824933333333333,,1946.1100000000001,,1643.65,0.18078720456197508,276.95087849653044,202.08173791810086,,,,,,,,,,,,
2026-03-14T13:52:48.023159+00:00,baseline:fp8_linear,true,42,2.6354,,68.08,,97.69,,,,,,,,,,,,,,,
2026-03-21T06:45:16.299802+00:00,baseline:bf16_cast,true,42,,2.0879,,,,,,,33.98,54.85,,,,,,,,,,
2026-04-06T02:52:40.805522+00:00,baseline:bf16_cast,true,42,,,,,,,,,,,1,,,,,,,,,
2026-04-08T00:01:22.460327+00:00,baseline:bf16_cast,true,42,,,,,,,,,,,,2.2959,44.91,70.87,21027,55.89,32.91,63.93,50.28,378
2026-04-09T16:16:47.833099+00:00,baseline:fp8_asymmetric,true,42,,,,,,,,,,,,2.3207,46.44,72.34,18552,54.92,32.83,63.22,52.64,382
2026-04-09T16:41:07.494517+00:00,baseline:bf16_cast,true,42,,,,,,,,,,,,2.2861,44.41,67.9,19719,55.77,33.37,62.95,50.67,381
2026-04-09T16:54:07.545865+00:00,baseline:fp8_linear,true,42,,,,,,,,,,,,2.3215,47.18,73.14,18686,54.21,32.68,63.55,51.85,381
2026-04-12T07:47:04.090843+00:00,deepseek-reasoner,false,42,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:47:30.188044+00:00,deepseek-reasoner,true,42,,,,,,,,,,,,,,,,,,,,
2026-04-12T15:19:12.683570+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,2.303,44.81,69.04,25471,53.49,33.27,62.68,51.3,385
2026-04-12T15:30:19.969278+00:00,claude-opus-4.6,false,42,,,,,,,,,,,,2.2855,44.24,68.95,27323,56.36,33.66,65.13,51.85,668
2026-04-12T17:13:35.125956+00:00,claude-opus-4.6,false,42,,,,,,,,,,,,,,,,,,,,
2026-04-12T17:21:41.070709+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,53.49,33.27,62.68,51.3,386
