timestamp,model,is_final,seed,val_loss_gpt-345m,quant_val_loss_gpt-345m,quant_degradation_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-08T17:48:27.652223+00:00,baseline:ptq_int8,true,42,2.2894,2.2896,0.0002,44.27,68.77,20360,55.18,34.05,63.22,50.36,710
2026-04-08T21:00:41.404693+00:00,baseline:ste_int8,true,42,2.2994,2.2996,0.0002,44.69,72.08,28468,56.1,33.23,64.58,51.54,725
2026-04-10T12:52:05.686635+00:00,baseline:ste_int8,false,42,2.299,2.2994,0.0004,44.48,71.96,21564,55.05,33.44,63.28,52.57,695
2026-04-10T14:42:10.414596+00:00,baseline:ptq_int8,false,42,2.2912,2.2912,,44.47,69.38,20375,55.09,33.74,64.64,51.07,743
2026-04-11T01:48:51.651578+00:00,baseline:lsq,false,42,2.7896,2.7906,0.001,79.1,114.78,21470,47.22,28.63,59.03,50.2,616
2026-04-11T06:18:18.483150+00:00,baseline:ste_int4,false,42,,,,,,,,,,,
2026-04-11T06:19:18.525849+00:00,baseline:lsq_int4,false,42,,,,,,,,,,,
2026-04-11T06:19:18.533899+00:00,baseline:ptq_int4,false,42,,,,,,,,,,,
2026-04-11T13:57:15.419207+00:00,baseline:ptq_int4,false,42,,,,,,,,,,,
2026-04-11T13:57:15.427717+00:00,baseline:ste_int4,false,42,,,,,,,,,,,
2026-04-11T13:58:18.548142+00:00,baseline:lsq_int4,false,42,,,,,,,,,,,
2026-04-12T03:27:40.597002+00:00,baseline:ptq_int4,false,42,2.383,2.3832,0.0001,50.41,77.62,20108,54.5,32.99,63.11,50.36,693
2026-04-12T03:30:40.587921+00:00,baseline:lsq_int4,false,42,2.8954,2.896,0.0006,88.42,129.53,21265,43.35,27.38,58.76,53.04,618
2026-04-12T06:35:43.687546+00:00,baseline:ste_int4,false,42,2.654,2.6544,0.0004,64.23,96.44,20977,49.49,28.8,61.75,50.2,690
2026-04-12T07:09:41.206858+00:00,baseline:ptq_int4,true,42,2.383,2.3832,0.0001,50.41,77.62,20108,54.5,32.99,63.11,50.36,693
2026-04-12T07:09:41.206858+00:00,baseline:ptq_int4,true,mean,2.383,2.3832,0.0001,50.41,77.62,20108,54.5,32.99,63.11,50.36,693
2026-04-12T07:11:06.443237+00:00,baseline:ste_int4,false,42,,,,,,,,,,,
2026-04-12T07:11:06.468775+00:00,baseline:lsq_int4,false,42,,,,,,,,,,,
2026-04-12T13:50:51.131524+00:00,baseline:lsq_int4,false,42,8.4379,8.4403,0.0023,10031.51,10856.3,20293,27.44,26.78,51.52,51.22,621
2026-04-12T14:33:26.788764+00:00,deepseek-reasoner,false,42,,,,,,,,,,,
2026-04-12T17:30:33.218026+00:00,baseline:ste_int4,false,42,,,,,,,49.49,28.8,61.75,50.2,692
2026-04-13T11:34:39.659121+00:00,deepseek-reasoner,false,42,,,,,,,,,,,
2026-04-13T14:34:13.115493+00:00,deepseek-reasoner,false,42,,,,,,,,,,,
2026-04-13T15:06:10.015586+00:00,deepseek-reasoner,false,42,,,,,,,,,,,
