timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-26T14:29:47.312625+00:00,baseline:dense,true,42,2.2831,44.23,67.96,20480,57.41,33.82,63.66,52.01,392
2026-04-30T13:12:32.749029+00:00,baseline:moba,true,42,2.341,51.99,73.04,33035,55.26,33.4,63.87,50.28,1352
2026-04-30T15:31:29.828204+00:00,baseline:nsa_full,true,42,2.3787,67.89,75.23,21,57.32,33.07,64.42,50.43,1228
2026-04-30T13:11:05.075276+00:00,baseline:reformer,true,42,2.402,53.58,76.78,22105,50.13,31.35,63.06,52.33,1432
2026-04-26T17:19:26.901479+00:00,baseline:nsa_full,false,42,,,,,,,,,
2026-04-26T23:30:04.448708+00:00,baseline:reformer,false,42,2.402,53.58,76.78,22105,,,,,31
2026-04-27T02:48:07.651935+00:00,baseline:moba,false,42,2.341,51.99,73.04,33035,,,,,33
2026-04-27T04:56:11.172360+00:00,baseline:nsa_full,false,42,,,,,,,,,
2026-04-27T08:25:48.404625+00:00,baseline:nsa_full,false,42,,,,,,,,,
2026-04-28T02:06:54.838697+00:00,baseline:nsa_full,false,42,,,,,,,,,
2026-04-28T08:11:33.380531+00:00,baseline:nsa_full,false,42,,,,,,,,,
2026-04-28T16:32:06.441786+00:00,baseline:nsa_full,false,42,,,,,,,,,
2026-04-28T22:17:17.218568+00:00,baseline:nsa_full,false,42,2.3787,67.89,75.23,50741,,,,,32
2026-04-30T00:49:08.971263+00:00,baseline:bigbird,false,42,2.5392,76.0,85.96,29781,57.03,33.22,64.04,52.09,431
2026-05-01T03:04:38.403061+00:00,openai/gpt-5.4,false,42,,,,,,,,,
2026-05-01T04:26:00.721609+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-01T04:26:07.957262+00:00,openai/gpt-5.4,false,42,,,,,,,,,
2026-05-01T12:05:49.151014+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-01T12:16:47.491051+00:00,gemini/gemini-3.1-pro-preview,false,42,2.2788,48.08,69.6,32469,57.45,34.39,65.23,50.99,643
2026-05-01T13:13:20.226567+00:00,gemini/gemini-3.1-pro-preview,false,42,,,,,,,,,
2026-05-01T13:13:32.442617+00:00,gemini/gemini-3.1-pro-preview,true,42,2.2788,48.08,69.6,32469,57.45,34.39,65.23,50.99,643
2026-05-01T13:21:49.304427+00:00,openai/gpt-5.4,false,42,,,,,,,,,
2026-05-01T13:21:54.077809+00:00,openai/gpt-5.4,true,42,,,,,,,,,
2026-05-01T13:22:25.265087+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-01T13:22:54.959553+00:00,qwen3.6-plus,true,42,,,,,,,,,
