timestamp,model,is_final,seed,eval_return_breakout,elapsed_breakout,eval_return_qbert,elapsed_qbert,eval_return_pong,elapsed_pong,eval_return_breakout_std,elapsed_breakout_std,eval_return_qbert_std,elapsed_qbert_std,eval_return_pong_std,elapsed_pong_std
2026-03-31T01:43:16.843985+00:00,baseline:bc,true,42,9.9,,907.5,,-21.0,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:bc,true,123,12.9,,4830.0,,-21.0,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:bc,true,456,10.2,,1887.5,,-21.0,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:bc,true,mean,11.0,,2541.6666666666665,,-21.0,,1.6522711641858308,,2041.4338302608128,,0.0,
2026-03-31T01:43:16.843985+00:00,baseline:cql,true,42,6.4,,730.0,,-13.9,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:cql,true,123,9.9,,1762.5,,-11.9,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:cql,true,456,9.5,,825.0,,-6.5,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:cql,true,mean,8.6,,1105.8333333333333,,-10.766666666666666,,1.9157244060668015,,570.670293018073,,3.827967258654825,
2026-03-31T01:43:16.843985+00:00,baseline:bcq,true,42,14.1,,1372.5,,-1.1,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:bcq,true,123,12.3,,1702.5,,0.5,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:bcq,true,456,9.9,,1275.0,,0.8,,,,,,,
2026-03-31T01:43:16.843985+00:00,baseline:bcq,true,mean,12.1,,1450.0,,0.06666666666666665,,2.1071307505705477,,224.03961703234543,,1.021436896402971,
2026-04-01T16:01:02.950481+00:00,baseline:dt,true,42,32.5,16925,4230.0,16736,4.6,26759,,,,,,
2026-04-01T16:01:02.952612+00:00,baseline:dt,true,123,37.5,16941,3945.0,16790,,26759,,,,,,
2026-04-01T16:01:02.953081+00:00,baseline:dt,true,456,39.3,16665,4145.0,16790,8.2,26650,,,,,,
2026-04-01T16:01:02.953937+00:00,baseline:dt,true,mean,36.43333333333333,16843.666666666668,4106.666666666667,16772.0,6.3999999999999995,26722.666666666668,3.5232560697930153,154.93654615142722,146.31586835792396,31.176914536239792,2.545584412271571,62.93117934166921
2026-04-07T18:16:02.064083+00:00,deepseek-reasoner,false,42,0.0,,0.0,,-21.0,,,,,,,
2026-04-07T18:16:02.065342+00:00,deepseek-reasoner,false,123,0.0,,0.0,,-21.0,,,,,,,
2026-04-07T18:16:02.072244+00:00,deepseek-reasoner,false,456,0.0,,0.0,,-21.0,,,,,,,
2026-04-07T18:16:02.074968+00:00,deepseek-reasoner,false,mean,0.0,,0.0,,-21.0,,0.0,,0.0,,0.0,
2026-04-08T14:09:47.746793+00:00,qwen3.6-plus,false,42,9.9,,7230.0,,7.0,,,,,,,
2026-04-08T14:09:47.747525+00:00,qwen3.6-plus,false,123,9.6,,7307.5,,-0.6,,,,,,,
2026-04-08T14:09:47.748261+00:00,qwen3.6-plus,false,456,10.1,,5510.0,,5.6,,,,,,,
2026-04-08T14:09:47.762090+00:00,qwen3.6-plus,false,mean,9.866666666666667,,6682.5,,4.0,,0.2516611478423584,,1016.1539007453546,,4.044749683231337,
2026-04-09T09:41:08.316237+00:00,google/gemini-3.1-pro-preview,false,42,10.4,,7065.0,,11.1,,,,,,,
2026-04-09T09:41:08.318850+00:00,google/gemini-3.1-pro-preview,false,123,17.0,,5950.0,,-21.0,,,,,,,
2026-04-09T09:41:08.319372+00:00,google/gemini-3.1-pro-preview,false,456,10.2,,5252.5,,5.8,,,,,,,
2026-04-09T09:41:08.319840+00:00,google/gemini-3.1-pro-preview,false,mean,12.533333333333333,,6089.166666666667,,-1.366666666666667,,3.8695391629150535,,914.2289556414921,,17.208234462992806,
