timestamp,model,is_final,seed,test_acc_resnet20-cifar10,test_acc_resnet56-cifar100,test_acc_mobilenetv2-fmnist,elapsed_resnet20-cifar10,elapsed_resnet56-cifar100,elapsed_mobilenetv2-fmnist
2026-03-28T03:34:57.373709+00:00,baseline:warmup_cosine,true,42,92.71,72.43,94.83,0,,7141
2026-03-28T04:08:37.970899+00:00,baseline:cosine,true,42,93.03,71.07,94.7,0,,
2026-04-03T11:43:26.114339+00:00,baseline:one_cycle,true,42,92.31,71.57,93.93,0,0,0
2026-04-09T18:23:00.787985+00:00,deepseek-reasoner,false,42,92.9,72.63,94.55,803,1826,2238
2026-04-09T21:29:49.560801+00:00,qwen/qwen3.6-plus,false,42,92.84,72.03,94.24,776,1810,2233
2026-04-10T01:31:05.786820+00:00,qwen/qwen3.6-plus,false,42,92.98,73.01,94.24,793,1814,2230
2026-04-10T01:32:29.244955+00:00,qwen/qwen3.6-plus,true,42,92.98,73.01,94.24,793,1814,2230
2026-04-14T06:35:49.392400+00:00,openai/gpt-5.4,false,42,92.58,72.49,94.69,712,1649,2214
2026-04-14T09:11:12.901378+00:00,openai/gpt-5.4,false,42,92.93,72.49,94.7,711,1658,2202
2026-04-14T18:54:09.774956+00:00,deepseek-reasoner,false,42,91.69,72.29,94.55,797,1821,2238
2026-04-14T20:47:59.113265+00:00,openai/gpt-5.4,false,42,92.96,73.33,94.65,803,1821,2240
2026-04-15T12:20:33.819871+00:00,openai/gpt-5.4,true,42,92.96,73.33,94.65,803,1821,2240
2026-04-15T13:20:47.714508+00:00,deepseek-reasoner,true,42,92.9,72.63,94.55,803,1826,2238
2026-04-15T13:44:28.351865+00:00,anthropic/claude-opus-4.6,false,42,92.68,72.97,94.61,796,1817,2220
2026-04-15T14:13:28.649658+00:00,google/gemini-3.1-pro-preview,false,42,92.81,73.58,94.91,798,1807,2220
2026-04-15T15:22:51.137312+00:00,anthropic/claude-opus-4.6,false,42,92.89,73.11,94.43,793,1803,2218
2026-04-15T15:22:56.153364+00:00,anthropic/claude-opus-4.6,true,42,92.89,73.11,94.43,793,1803,2218
2026-04-15T15:46:27.215076+00:00,google/gemini-3.1-pro-preview,false,42,92.82,73.5,95.13,799,1819,2235
2026-04-15T15:47:09.834566+00:00,google/gemini-3.1-pro-preview,true,42,92.82,73.5,95.13,799,1819,2235
