timestamp,model,is_final,seed,test_acc_resnet56-cifar100,test_acc_resnet110-cifar100,test_acc_mobilenetv2-fmnist,elapsed_resnet56-cifar100,elapsed_resnet110-cifar100,elapsed_mobilenetv2-fmnist
2026-03-28T04:04:00.212003+00:00,baseline:group_norm,true,42,67.9,70.43,93.16,,,8319
2026-04-03T14:12:24.425181+00:00,baseline:batch_instance_norm,true,42,66.06,68.65,93.64,,,5172
2026-04-03T14:12:24.425181+00:00,baseline:switchable_norm,true,42,68.95,70.58,94.1,0,0,0
2026-04-09T21:43:40.428402+00:00,deepseek-reasoner,false,42,67.14,50.96,90.54,2157,3986,3203
2026-04-09T23:01:17.634089+00:00,google/gemini-3.1-pro-preview,false,42,72.39,74.86,94.59,1957,3724,2891
2026-04-10T00:37:39.247891+00:00,anthropic/claude-opus-4.6,false,42,72.65,73.93,94.71,2813,5338,3706
2026-04-10T01:09:40.503339+00:00,qwen/qwen3.6-plus,false,42,,,,,,
2026-04-10T03:43:37.029411+00:00,openai/gpt-5.4-pro,false,42,72.84,74.68,94.44,6063,12299,6984
2026-04-10T05:06:06.258956+00:00,deepseek-reasoner,false,42,63.7,1.0,86.73,2382,4416,3509
2026-04-10T05:06:09.908190+00:00,google/gemini-3.1-pro-preview,false,42,67.68,67.53,94.09,1877,3394,2612
2026-04-10T08:49:04.553381+00:00,anthropic/claude-opus-4.6,false,42,72.33,74.5,94.22,2907,5599,3717
2026-04-10T11:15:19.754757+00:00,qwen/qwen3.6-plus,false,42,1.0,1.0,10.0,2300,4390,3277
2026-04-14T04:40:50.391784+00:00,anthropic/claude-opus-4.6,true,42,72.33,74.5,94.22,2907,5599,3717
2026-04-14T04:47:15.910151+00:00,qwen/qwen3.6-plus,false,42,,,,,,
2026-04-14T04:47:18.055035+00:00,qwen/qwen3.6-plus,true,42,1.0,1.0,10.0,2300.0,4390.0,3277.0
2026-04-14T05:07:40.979078+00:00,deepseek-reasoner,false,42,63.02,54.2,90.89,2789,4767,3217
2026-04-14T05:08:26.574457+00:00,deepseek-reasoner,true,42,63.02,54.2,90.89,2789,4767,3217
2026-04-14T05:43:11.970973+00:00,google/gemini-3.1-pro-preview,false,42,71.73,73.83,94.85,1666,3077,2206
2026-04-14T05:44:13.222348+00:00,google/gemini-3.1-pro-preview,true,42,72.39,74.86,94.59,1957,3724,2891
2026-04-14T08:57:08.525243+00:00,openai/gpt-5.4,false,42,66.66,,94.08,9801,,11656
2026-04-14T22:33:54.509072+00:00,openai/gpt-5.4,false,42,72.3,,94.66,8813,,10422
2026-04-16T14:14:49.825928+00:00,openai/gpt-5.4,true,42,72.3,,94.66,8813,,10422
