timestamp,model,is_final,seed,test_acc_resnet56-cifar100,test_acc_vgg16bn-cifar100,test_acc_mobilenetv2-fmnist,elapsed_mobilenetv2-fmnist,elapsed_vgg16bn-cifar100,elapsed_resnet56-cifar100
2026-03-28T02:02:35.388979+00:00,baseline:confidence_penalty,true,42,72.66,74.31,94.9,,,
2026-03-28T04:21:00.059211+00:00,baseline:orthogonal_reg,true,42,73.16,74.03,94.85,8459,,
2026-04-09T19:28:02.993344+00:00,deepseek-reasoner,false,42,,1.0,,,1162,
2026-04-09T23:20:47.731922+00:00,deepseek-reasoner,false,42,,1.0,,,1161,
2026-04-10T02:27:05.584106+00:00,deepseek-reasoner,false,42,,72.98,94.74,3298,831,
2026-04-10T02:27:35.857280+00:00,deepseek-reasoner,true,42,,72.98,94.74,3298,831,
2026-04-13T17:11:51.539676+00:00,baseline:dropblock,true,42,72.45,73.37,94.69,2430,931,2132
2026-04-14T05:44:41.476204+00:00,openai/gpt-5.4,false,42,72.81,1.0,94.46,3716,1197,3042
2026-04-14T06:24:40.605683+00:00,openai/gpt-5.4,false,42,72.18,72.97,94.71,2269,878,1758
2026-04-14T06:32:10.348605+00:00,openai/gpt-5.4,false,42,,,,,,
2026-04-14T06:32:15.202067+00:00,openai/gpt-5.4,true,42,72.18,72.97,94.71,2269,878,1758
2026-04-16T12:12:29.336762+00:00,anthropic/claude-opus-4.6,false,42,72.49,1.0,94.41,2321,871,1739
2026-04-16T13:03:29.905884+00:00,google/gemini-3.1-pro-preview,false,42,75.25,76.52,95.48,4247,1427,3133
2026-04-16T13:14:29.992672+00:00,qwen/qwen3.6-plus,false,42,72.77,73.52,94.57,4918,1426,4092
2026-04-17T05:26:21.045608+00:00,anthropic/claude-opus-4.6,false,42,71.71,74.18,94.54,1553,590,1207
2026-04-17T05:26:25.245044+00:00,anthropic/claude-opus-4.6,true,42,71.71,74.18,94.54,1553,590,1207
2026-04-17T06:17:21.564679+00:00,google/gemini-3.1-pro-preview,false,42,74.98,1.0,95.56,2827,944,2209
2026-04-17T06:20:26.307690+00:00,google/gemini-3.1-pro-preview,true,42,75.25,76.52,95.48,4247,1427,3133
2026-04-17T06:21:21.592016+00:00,qwen/qwen3.6-plus,false,42,71.9,73.71,94.77,3272,933,2572
2026-04-17T06:21:33.679062+00:00,qwen/qwen3.6-plus,true,42,72.77,73.52,94.57,4918,1426,4092
