timestamp,model,is_final,seed,test_acc_resnet20-cifar10,test_acc_resnet56-cifar100,test_acc_resnet110-cifar100,elapsed_resnet20-cifar10,elapsed_resnet56-cifar100,elapsed_resnet110-cifar100
,baseline:gated_residual,true,42,92.96,71.98,73.46,,,
,baseline:pre_activation,true,42,92.62,71.78,74.08,,,
,baseline:stochastic_depth,true,42,91.37,74.56,75.7,,,
2026-04-09T20:35:48.355586+00:00,deepseek-reasoner,false,42,91.83,73.27,74.71,1256,2113,3297
2026-04-09T21:26:05.826716+00:00,qwen/qwen3.6-plus,false,42,92.58,72.77,74.71,1314,2178,3508
2026-04-09T23:00:42.889009+00:00,anthropic/claude-opus-4.6,false,42,92.6,72.59,73.87,1506,2424,3739
2026-04-10T00:24:43.576447+00:00,google/gemini-3.1-pro-preview,false,42,92.05,71.87,74.63,1201,1939,2877
2026-04-10T02:54:35.447845+00:00,deepseek-reasoner,false,42,92.37,72.02,1.0,1251,2116,3499
2026-04-10T03:36:36.523120+00:00,qwen/qwen3.6-plus,false,42,92.16,70.39,68.13,1148,1726,2500
2026-04-10T05:30:38.889944+00:00,anthropic/claude-opus-4.6,false,42,91.62,73.7,75.25,1426,2331,3632
2026-04-10T06:30:43.376309+00:00,google/gemini-3.1-pro-preview,false,42,93.52,74.32,75.49,1376,2252,3534
2026-04-10T16:24:43.533836+00:00,openai/gpt-5.4-pro,false,42,92.72,74.41,75.77,1253,2035,3127
2026-04-14T04:58:44.596782+00:00,deepseek-reasoner,false,42,92.24,71.5,73.34,1144,1774,2474
2026-04-14T04:59:12.992130+00:00,deepseek-reasoner,true,42,91.83,73.27,74.71,1256,2113,3297
2026-04-14T06:06:02.050275+00:00,qwen/qwen3.6-plus,false,42,92.5,72.29,74.8,1722,2939,4719
2026-04-14T06:06:12.138527+00:00,qwen/qwen3.6-plus,true,42,92.58,72.77,74.71,1314,2178,3508
2026-04-14T06:06:53.190918+00:00,google/gemini-3.1-pro-preview,false,42,92.98,74.64,76.06,1915,3188,4959
2026-04-14T06:07:46.527249+00:00,google/gemini-3.1-pro-preview,true,42,92.98,74.64,76.06,1915,3188,4959
2026-04-14T06:14:01.737152+00:00,anthropic/claude-opus-4.6,false,42,92.09,73.56,75.2,1975,3359,5447
2026-04-14T06:14:07.414967+00:00,anthropic/claude-opus-4.6,true,42,91.62,73.7,75.25,1426,2331,3632
2026-04-14T06:19:00.438869+00:00,openai/gpt-5.4,false,42,92.54,72.1,73.88,2130,3657,5808
2026-04-14T20:03:58.342240+00:00,openai/gpt-5.4,false,42,92.62,72.99,75.68,2114,3619,6274
2026-04-15T14:20:46.866068+00:00,openai/gpt-5.4,true,42,92.62,72.99,75.68,2114,3619,6274
2026-04-28T20:17:33.128065+00:00,openai/gpt-5.4:eng,false,42,92.84,72.39,73.71,1652,3000,4693
2026-04-28T20:20:29.370029+00:00,openai/gpt-5.4:nobudget,false,42,92.74,72.47,74.58,1475,2758,5170
2026-04-28T20:21:02.827522+00:00,openai/gpt-5.4:eng:nobudget,false,42,92.25,72.76,74.42,1708,3184,4642
2026-04-28T20:57:28.902261+00:00,qwen3.6-plus:nobudget,false,42,89.54,70.4,72.29,1488,2805,4477
