timestamp,model,is_final,seed,final_score_math,reuse_ratio_math,refresh_ratio_math,tokens_per_s_math,peak_memory_mb_math,n_examples_math,elapsed_math,final_score_humaneval,reuse_ratio_humaneval,refresh_ratio_humaneval,tokens_per_s_humaneval,peak_memory_mb_humaneval,n_examples_humaneval,elapsed_humaneval,final_score_lm-eval,reuse_ratio_lm-eval,refresh_ratio_lm-eval,tokens_per_s_lm-eval,peak_memory_mb_lm-eval,n_examples_lm-eval,elapsed_lm-eval
2026-05-01T11:51:02.632050+00:00,baseline:vanilla_uncached,true,42,38.4,0.0,1.0,19.54,15977.4,500.0,6734.7,43.9024,0.0,1.0,11.46,16022.2,164.0,7504.3,83.959,0.0,1.0,35.72,15474.8,1172.0,2262.1
2026-05-01T11:26:24.943250+00:00,baseline:dllm_cache,true,42,35.2,0.6328,0.3672,20.84,17392.4,500.0,6342.9,46.3415,0.6562,0.3438,15.58,17496.0,164.0,5577.0,84.0444,0.4922,0.5078,25.95,15828.9,1172.0,3103.4
2026-05-01T11:09:03.810581+00:00,baseline:d2cache,true,42,25.0,0.8655,0.1345,20.97,17797.9,500.0,6234.4,40.2439,0.8976,0.1024,19.84,17528.5,164.0,4341.9,84.215,0.8102,0.1898,22.66,15954.6,1172.0,3405.9
2026-05-01T08:21:31.172834+00:00,baseline:elastic_cache,true,42,36.8,0.8833,0.1167,62.25,16983.0,500.0,2240.8,46.9512,0.8675,0.1325,69.86,16698.9,164.0,1386.5,83.7884,0.5030,0.4970,535.04,15735.6,1172.0,302.3
2026-05-03T20:13:20.346740+00:00,openai/gpt-5.4,false,42,,,,,,,,,,,,,,,,,,,,,
2026-05-03T22:14:05.417744+00:00,qwen3.6-plus,false,42,36.0,0.506,0.494,29.83,17420.3,500.0,4321,43.2927,0.515,0.485,23.02,17515.0,164.0,3689,83.959,0.4932,0.5068,37.87,15852.6,1172.0,2023
2026-05-03T22:17:10.491509+00:00,gemini/gemini-3.1-pro-preview,false,42,35.6,0.7403,0.2597,29.34,17418.6,500.0,4409,43.2927,0.7718,0.2282,22.58,17513.3,164.0,3762,83.7031,0.7198,0.2802,37.19,15852.6,1172.0,2059
2026-05-03T22:51:17.178058+00:00,claude-opus-4-6,false,42,34.8,0.7992,0.2008,29.3,17415.2,500.0,4416,43.9024,0.8001,0.1999,22.87,17512.6,164.0,3707,83.4471,0.7608,0.2392,37.3,15852.6,1172.0,2066
2026-05-03T23:11:00.991750+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,37.4,0.7188,0.2812,28.02,17845.7,500.0,4604,45.7317,0.7194,0.2806,21.94,17427.8,164.0,3867,85.0683,0.7263,0.2737,34.52,15993.2,1172.0,2212
2026-05-04T00:39:59.921113+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,,,,,,
2026-05-04T00:43:01.323782+00:00,openai/gpt-5.4,false,42,35.2,0.6302,0.3698,29.85,17416.4,500.0,4318,46.3415,0.6752,0.3248,23.41,17519.9,164.0,3626,83.7884,0.499,0.501,39.51,15852.6,1172.0,1939
2026-05-04T00:45:43.797159+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,,,,,,
2026-05-04T00:45:52.861455+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,37.4,0.7188,0.2812,28.02,17845.7,500.0,4604,45.7317,0.7194,0.2806,21.94,17427.8,164.0,3867,85.0683,0.7263,0.2737,34.52,15993.2,1172.0,2212
