timestamp,model,is_final,seed,accuracy_Cora,macro_f1_Cora,accuracy_CiteSeer,macro_f1_CiteSeer,accuracy_PubMed,macro_f1_PubMed,accuracy_Cora_std,macro_f1_Cora_std,accuracy_CiteSeer_std,macro_f1_CiteSeer_std,accuracy_PubMed_std,macro_f1_PubMed_std,elapsed_Cora,elapsed_CiteSeer,elapsed_PubMed
2026-03-25T09:31:22.467715+00:00,baseline:gat,true,42,0.838,0.8251,0.711,0.6577,0.777,0.7711,,,,,,,,,
2026-03-25T09:31:22.469699+00:00,baseline:gat,true,123,0.825,0.8131,0.696,0.6433,0.776,0.7718,,,,,,,,,
2026-03-25T09:31:22.470040+00:00,baseline:gat,true,456,0.815,0.7995,0.716,0.6801,0.78,0.7758,,,,,,,,,
2026-03-25T09:31:22.470040+00:00,baseline:gat,true,mean,0.826,0.8125666666666667,0.7076666666666666,0.6603666666666667,0.7776666666666667,0.7729,0.009416297927883698,0.010457958160601358,0.008498365855987983,0.015141407537683641,0.0016996731711975963,0.002070426687102616,,,
2026-04-07T10:18:22.738385+00:00,baseline:gcn,true,42,0.821,0.8068,0.712,0.6804,0.784,0.7826,,,,,,,12,14,12
2026-04-07T10:18:22.821722+00:00,baseline:gcn,true,123,0.82,0.8063,0.722,0.6881,0.79,0.7864,,,,,,,12,14,12
2026-04-07T10:18:22.823232+00:00,baseline:gcn,true,456,0.821,0.81,0.719,0.6807,0.785,0.7816,,,,,,,12,14,12
2026-04-07T10:18:22.823232+00:00,baseline:gcn,true,mean,0.8206666666666665,0.8077,0.7176666666666667,0.6830666666666666,0.7863333333333333,0.7835333333333333,0.00047140452079103207,0.0016391054470859267,0.004189935029992182,0.003561210780369846,0.002624669291337273,0.0020677416559027884,12.0,14.0,12.0
2026-04-07T10:19:21.870939+00:00,baseline:graphsage,true,42,0.793,0.7845,0.679,0.6475,0.776,0.772,,,,,,,12,12,14
2026-04-07T10:19:21.873694+00:00,baseline:graphsage,true,123,0.793,0.784,0.674,0.6369,0.77,0.7664,,,,,,,12,12,14
2026-04-07T10:19:21.874525+00:00,baseline:graphsage,true,456,0.791,0.7817,0.628,0.5811,0.762,0.7585,,,,,,,12,12,14
2026-04-07T10:19:21.874525+00:00,baseline:graphsage,true,mean,0.7923333333333334,0.7834,0.6603333333333333,0.6218333333333333,0.7693333333333333,0.7656333333333333,0.0009428090415820641,0.0012192894105448127,0.022954060400915778,0.02912608605509655,0.005734883511361756,0.00553794988139918,12.0,12.0,14.0
2026-04-22T02:20:42.074190+00:00,baseline:gps,false,42,0.697,0.6904,0.57,0.5389,0.68,0.6736,,,,,,,16,16,26
2026-04-22T02:20:49.206245+00:00,baseline:nagphormer,false,42,0.778,0.7717,0.647,0.6082,0.786,0.7803,,,,,,,12,12,16
2026-04-22T15:38:32.443628+00:00,deepseek-reasoner,false,42,0.821,0.8068,0.712,0.6804,0.791,0.7874,,,,,,,9,9,9
2026-04-22T15:45:32.564978+00:00,openai/gpt-5.4,false,42,0.541,0.5093,0.502,0.462,0.713,0.7145,,,,,,,10,10,10
2026-04-22T17:08:33.490074+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,,,,
2026-04-22T17:08:45.075088+00:00,deepseek-reasoner,false,42,0.661,0.6413,0.575,0.5494,0.725,0.7247,,,,,,,9,9,9
2026-04-22T17:12:50.524437+00:00,anthropic/claude-opus-4.6,false,42,0.825,0.8116,0.675,0.6379,0.748,0.7452,,,,,,,9,9,10
2026-04-22T17:19:05.572783+00:00,google/gemini-3.1-pro-preview,false,42,0.763,0.7512,0.657,0.6319,0.758,0.7534,,,,,,,9,9,9
2026-04-22T17:34:35.185155+00:00,openai/gpt-5.4,false,42,0.716,0.6994,0.659,0.6284,0.755,0.7536,,,,,,,9,10,10
2026-04-22T18:27:13.249626+00:00,deepseek-reasoner,false,42,0.783,0.7677,0.695,0.6649,0.754,0.7571,,,,,,,8,8,8
2026-04-22T18:28:34.542094+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,,,,
2026-04-22T18:30:46.705090+00:00,deepseek-reasoner,true,42,0.821,0.8068,0.712,0.6804,0.791,0.7874,,,,,,,9,9,9
2026-04-22T19:16:48.667196+00:00,google/gemini-3.1-pro-preview,false,42,0.814,0.8078,0.715,0.6681,0.791,0.7875,,,,,,,25,25,25
2026-04-22T19:18:19.915309+00:00,anthropic/claude-opus-4.6,false,42,0.825,0.8156,0.71,0.6708,0.794,0.7922,,,,,,,17,17,18
2026-04-22T19:18:48.377713+00:00,openai/gpt-5.4,false,42,0.771,0.7569,0.698,0.6698,0.773,0.7737,,,,,,,13,13,13
2026-04-22T19:18:58.889554+00:00,openai/gpt-5.4,true,42,0.771,0.7569,0.698,0.6698,0.773,0.7737,,,,,,,13,13,13
2026-04-22T19:33:15.583303+00:00,google/gemini-3.1-pro-preview,false,42,0.822,0.8078,0.702,0.6707,0.786,0.7851,,,,,,,8,10,11
2026-04-22T19:33:26.778370+00:00,google/gemini-3.1-pro-preview,true,42,0.814,0.8078,0.715,0.6681,0.791,0.7875,,,,,,,25,25,25
2026-04-22T19:41:58.092703+00:00,anthropic/claude-opus-4.6,false,42,0.803,0.7948,0.679,0.6423,0.789,0.7794,,,,,,,9,9,9
2026-04-22T19:42:11.617256+00:00,anthropic/claude-opus-4.6,true,42,0.825,0.8156,0.71,0.6708,0.794,0.7922,,,,,,,17,17,18
2026-04-28T18:41:49.636744+00:00,openai/gpt-5.4:nobudget,false,42,0.696,0.6801,0.567,0.5423,0.733,0.7282,,,,,,,14,14,14
2026-04-28T18:42:08.043611+00:00,openai/gpt-5.4:eng,false,42,0.651,0.6268,0.575,0.5429,0.724,0.7245,,,,,,,11,11,11
2026-04-28T18:42:16.900009+00:00,openai/gpt-5.4:eng:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T19:46:02.374599+00:00,openai/gpt-5.4:nobudget,false,42,0.562,0.5512,0.491,0.4628,0.694,0.6918,,,,,,,10,10,10
2026-04-28T19:46:04.150439+00:00,openai/gpt-5.4:nobudget,true,42,0.696,0.6801,0.567,0.5423,0.733,0.7282,,,,,,,14,14,14
2026-04-28T20:35:11.180033+00:00,openai/gpt-5.4:eng,false,42,0.799,0.7864,0.707,0.6603,0.778,0.7775,,,,,,,9,10,11
2026-04-28T20:35:27.962499+00:00,openai/gpt-5.4:eng:nobudget,false,42,0.79,0.7803,0.706,0.6584,0.762,0.7587,,,,,,,10,12,12
2026-04-28T20:35:52.286822+00:00,qwen3.6-plus:eng:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T20:38:20.263249+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,,,,,,,
