timestamp,model,is_final,seed,val_loss_gpt-345m,kv_bytes_per_token_gpt-345m,head_sharing_ratio_gpt-345m,latent_rank_ratio_gpt-345m,heldout_loss_gpt-345m,heldout_loss_wikitext2_gpt-345m,heldout_loss_wikitext103_gpt-345m,heldout_loss_lambada_gpt-345m,elapsed_gpt-345m,elapsed_lm-eval-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,generation_toks_per_s_gpt-345m,generation_toks_per_s_wikitext2_gpt-345m,generation_toks_per_s_wikitext103_gpt-345m,generation_toks_per_s_lambada_gpt-345m,generation_toks_per_s_gen-eval-345m,elapsed_gen-eval-345m
2026-04-25T23:40:48.995894+00:00,baseline:mqa,true,42,2.33785,256.0,16.0,1.0,3.999302,3.862528,3.853836,4.281542,23268,472,53.49,32.46,64.8,50.43,,,,,,
2026-04-25T23:47:51.479298+00:00,baseline:gqa,true,42,2.312553,1024.0,4.0,1.0,3.969124,3.767792,3.845813,4.293768,23765,437,55.01,33.12,63.76,50.67,,,,,,
2026-04-26T00:00:51.577088+00:00,baseline:mha,true,42,2.275425,4096.0,1.0,1.0,3.967285,3.873442,3.798263,4.23015,24511,405,54.88,33.42,64.15,53.2,,,,,,
2026-04-26T05:47:01.642710+00:00,baseline:mla,true,42,2.306939,192.0,16.0,0.25,3.988359,3.871585,3.861501,4.231989,43991,1029,54.76,33.21,63.76,51.93,,,,,,
2026-04-22T16:40:37.482248+00:00,baseline:mqa,false,42,2.268729,256.0,16.0,1.0,3.924958,3.736391,3.834431,4.204051,43723,5,,,,,143.3381,123.4469,153.3292,153.2384,,
2026-04-22T17:52:25.643646+00:00,baseline:mha,false,42,2.224269,4096.0,1.0,1.0,3.844621,3.670509,3.691422,4.171933,47422,5,,,,,151.0681,130.1716,161.4746,161.5583,,
2026-04-22T21:16:42.418305+00:00,baseline:gqa,false,42,2.244353,1024.0,4.0,1.0,3.886927,3.694692,3.778167,4.187922,45648,5,,,,,149.8845,129.2525,160.1553,160.2457,,
2026-04-26T06:44:22.780433+00:00,baseline:mla,false,42,,,,,,,,,,,,,,,,,,,82.9985,20
2026-04-27T01:25:42.395673+00:00,gpt-5.4,false,42,2.420666,256.0,4.0,0.2,4.177625,4.023994,4.109581,4.399302,28552,602,53.54,30.48,63.38,51.3,,,,,,
2026-04-27T08:55:19.408717+00:00,claude-opus-4.6,false,42,2.272694,256.0,16.0,1.0,3.968625,3.838902,3.862135,4.204838,52931,1770,55.09,33.99,65.51,50.75,,,,,,
2026-04-27T10:37:21.594765+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,,,,,,,,,
2026-04-27T14:00:25.122145+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,2.33486,192.0,16.0,0.67,3.994101,3.852016,3.83925,4.291037,40513,1030,53.96,32.58,63.87,52.96,,,,,,
2026-04-27T14:17:25.283294+00:00,gemini-3.1-pro-preview,false,42,2.292622,160.0,16.0,0.67,3.990477,3.940594,3.829823,4.201014,46609,987,55.18,33.11,63.28,51.78,,,,,,
2026-04-27T15:25:54.236665+00:00,gpt-5.4,false,42,2.442809,384.0,2.0,0.1,4.207075,4.03603,4.154215,4.43098,34780,685,52.48,30.68,63.28,49.8,,,,,,
2026-04-27T15:25:59.629634+00:00,gpt-5.4,true,42,2.420666,256.0,4.0,0.2,4.177625,4.023994,4.109581,4.399302,28552,602,53.54,30.48,63.38,51.3,,,,,,
2026-04-27T20:47:59.517937+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,6,981,55.18,33.11,63.28,51.78,,,,,,
2026-04-27T20:48:29.345851+00:00,gemini-3.1-pro-preview,true,42,2.292622,160.0,16.0,0.67,3.990477,3.940594,3.829823,4.201014,46609,987,55.18,33.11,63.28,51.78,,,,,,
2026-04-28T00:41:32.716302+00:00,qwen3.6-plus,false,42,2.313768,160.0,16.0,0.5,3.993069,3.800334,3.895624,4.283248,41709,1050,54.63,33.11,64.09,52.41,,,,,,
2026-04-28T01:44:24.517720+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,2.341045,96.0,16.0,0.33,4.023837,3.859279,3.850907,4.361324,35631,972,55.56,32.68,64.36,48.46,,,,,,
2026-04-28T02:18:25.083063+00:00,claude-opus-4.6,false,42,2.277339,256.0,16.0,1.0,3.972343,3.74771,3.924412,4.244906,50595,1396,56.69,34.26,65.18,50.43,,,,,,
2026-04-28T12:09:32.094012+00:00,qwen3.6-plus,false,42,2.323525,176.0,16.0,0.58,4.034285,3.811494,3.972684,4.318677,39951,1034,55.22,33.49,63.49,49.17,,,,,,
