timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-08T04:46:53.252538+00:00,baseline:qk_norm,true,42,2.2885,43.65,69.99,21141,55.64,33.41,63.17,51.3,500
2026-04-08T22:29:13.083811+00:00,baseline:rope,true,42,2.257,43.17,65.81,23473,57.32,34.48,64.42,51.7,628
2026-04-09T16:00:32.310729+00:00,baseline:rope_qk_norm,true,42,2.2589,43.44,67.2,22409,57.83,34.24,64.74,50.67,736
2026-04-12T01:11:57.419322+00:00,qwen3.6-plus,false,42,2.2457,42.57,66.15,22661,56.69,34.63,64.8,50.91,785
2026-04-12T08:33:46.502794+00:00,gemini-3.1-pro-preview,false,42,2.2599,43.06,65.37,25794,56.57,34.57,64.74,52.57,840
2026-04-12T21:25:36.818068+00:00,gemini-3.1-pro-preview,false,42,2.2552,41.45,64.8,25558,57.7,34.55,64.04,50.43,823
2026-04-12T21:25:36.818068+00:00,gemini-3.1-pro-preview,true,42,2.2552,41.45,64.8,25558,57.7,34.55,64.04,50.43,823
2026-04-15T17:55:06.869785+00:00,gpt-5.4,false,42,nan,nan,nan,27141,25.08,25.04,49.51,49.57,887
2026-04-20T12:25:24+00:00,claude-opus-4.6,false,42,0.9097,9.74,14.44,32461,24.96,25.91,51.8,50.59,1264
2026-04-20T15:36:53.576716+00:00,claude-opus-4.6,false,42,2.2457,42.22,66.13,23072,58.38,34.6,64.09,52.17,792
2026-04-20T15:36:53.576716+00:00,claude-opus-4.6,true,42,2.2457,42.22,66.13,23072,58.38,34.6,64.09,52.17,792
2026-04-20T15:36:53.583514+00:00,deepseek-reasoner,false,42,2.2209,40.08,61.81,22416,57.49,35.37,63.93,52.33,777
2026-04-20T15:36:53.583514+00:00,deepseek-reasoner,true,42,2.2209,40.08,61.81,22416,57.49,35.37,63.93,52.33,777
2026-04-20T15:36:53.597935+00:00,gpt-5.4,false,42,2.2452,42.22,66.23,30217,59.09,34.68,65.45,53.59,892
2026-04-20T15:36:53.597935+00:00,gpt-5.4,true,42,2.2452,42.22,66.23,30217,59.09,34.68,65.45,53.59,892
2026-04-20T15:36:53.604120+00:00,qwen3.6-plus,false,42,2.2464,42.52,65.57,22968,57.24,35.01,64.58,50.67,819
2026-04-20T15:36:53.604120+00:00,qwen3.6-plus,true,42,2.2464,42.52,65.57,22968,57.24,35.01,64.58,50.67,819
