timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-08T00:00:22.417536+00:00,baseline:untied,true,42,2.3058,45.7,71.11,20465,54.8,33.05,63.82,52.01,387
2026-04-08T05:21:54.172192+00:00,baseline:value_embed,true,42,2.2769,43.87,68.33,20299,54.88,33.67,65.4,51.62,397
2026-04-08T11:55:00.026848+00:00,baseline:bigram_hash,true,42,2.2877,44.97,71.43,20851,56.4,33.71,63.38,52.25,418
2026-04-09T20:26:00.943892+00:00,qwen3.6-plus,false,42,2.2996,44.71,69.84,20144,55.13,33.19,64.09,50.36,406
2026-04-11T13:33:12.611358+00:00,claude-opus-4.6,false,42,2.2788,43.89,68.9,20752,56.02,33.46,63.55,52.09,421
2026-04-11T15:50:22.188169+00:00,gemini-3.1-pro-preview,false,42,2.2556,43.16,67.5,22144,56.36,34.34,64.69,49.96,469
2026-04-20T15:36:53.645219+00:00,claude-opus-4.6,false,42,2.2762,44.11,70.36,20721,56.27,33.68,64.58,50.2,407
2026-04-20T15:36:53.645219+00:00,claude-opus-4.6,true,42,2.2762,44.11,70.36,20721,56.27,33.68,64.58,50.2,407
2026-04-20T15:36:53.652224+00:00,deepseek-reasoner,false,42,2.3081,45.25,70.29,20629,55.35,33.35,63.87,52.49,406
2026-04-20T15:36:53.652224+00:00,deepseek-reasoner,true,42,2.3081,45.25,70.29,20629,55.35,33.35,63.87,52.49,406
2026-04-20T15:36:53.652238+00:00,deepseek-reasoner,false,42,2.328,46.62,70.25,20568,51.98,32.88,64.09,53.2,410
2026-04-20T15:36:53.658300+00:00,gemini-3.1-pro-preview,false,42,2.2549,43.13,66.02,21919,56.69,34.07,64.15,50.99,462
2026-04-20T15:36:53.658300+00:00,gemini-3.1-pro-preview,true,42,2.2549,43.13,66.02,21919,56.69,34.07,64.15,50.99,462
2026-04-20T15:36:53.664274+00:00,gpt-5.4,false,42,2.2993,45.31,69.34,20548,55.09,33.3,64.2,51.46,410
2026-04-20T15:36:53.664274+00:00,gpt-5.4,true,42,2.2993,45.31,69.34,20548,55.09,33.3,64.2,51.46,410
2026-04-20T15:36:53.664289+00:00,gpt-5.4,false,42,2.3025,45.86,70.7,20440,56.06,33.18,64.36,52.17,420
2026-04-20T15:36:53.664296+00:00,gpt-5.4,false,42,2.3036,45.71,69.63,20307,55.77,33.07,63.38,50.83,407
2026-04-20T15:36:53.670854+00:00,qwen3.6-plus,false,42,2.2857,45.05,70.26,20966,56.27,33.56,64.42,52.17,430
2026-04-20T15:36:53.670854+00:00,qwen3.6-plus,true,42,2.2857,45.05,70.26,20966,56.27,33.56,64.42,52.17,430
