timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-10T12:48:05.084944+00:00,baseline:triton_gelu,true,42,2.2868,43.94,68.2,20035,54.67,33.61,63.44,51.7,447
2026-04-10T14:38:09.409702+00:00,baseline:relu_sq_torch,true,42,2.2736,42.81,67.05,21776,55.43,33.84,63.98,50.59,488
2026-04-10T15:51:11.452993+00:00,baseline:triton_relu_sq_fused,true,42,2.2749,43.52,66.88,30344,54.8,33.77,63.49,48.46,462
2026-04-19T08:17:11.806333+00:00,deepseek-reasoner,false,42,2.3575,51.84,78.99,21437,53.41,32.01,63.44,51.07,464
2026-04-19T08:17:11.806333+00:00,deepseek-reasoner,true,42,2.3575,51.84,78.99,21437,53.41,32.01,63.44,51.07,464
2026-04-19T08:30:33.649157+00:00,claude-opus-4.6,false,42,2.3008,44.68,68.67,20455.0,54.84,32.95,64.2,50.99,431.0
2026-04-19T08:30:33.651225+00:00,gemini-3.1-pro-preview,false,42,2.3002,44.82,68.47,19910.0,54.29,32.83,64.15,51.62,460.0
2026-04-20T15:36:53.678708+00:00,claude-opus-4.6,false,42,2.2983,44.46,69.64,21258,54.42,33.5,64.58,51.22,469
2026-04-20T15:36:53.678708+00:00,claude-opus-4.6,true,42,2.2983,44.46,69.64,21258,54.42,33.5,64.58,51.22,469
2026-04-20T15:36:53.692255+00:00,gemini-3.1-pro-preview,false,42,2.2947,43.98,68.62,19983,54.5,32.98,63.44,49.88,466
2026-04-20T15:36:53.692255+00:00,gemini-3.1-pro-preview,true,42,2.2947,43.98,68.62,19983,54.5,32.98,63.44,49.88,466
2026-04-20T15:36:53.698244+00:00,gpt-5.4,false,42,2.3245,45.75,72.28,24492,55.3,32.83,64.09,51.38,525
2026-04-20T15:36:53.698257+00:00,gpt-5.4,false,42,2.3107,44.22,67.93,38487,56.19,33.15,63.55,50.83,662
2026-04-20T15:36:53.698257+00:00,gpt-5.4,true,42,2.3107,44.22,67.93,38487,56.19,33.15,63.55,50.83,662
2026-04-20T15:36:53.704845+00:00,qwen3.6-plus,false,42,2.3225,45.54,70.17,17943,54.34,32.64,64.04,50.43,465
2026-04-20T15:36:53.704845+00:00,qwen3.6-plus,true,42,2.3225,45.54,70.17,17943,54.34,32.64,64.04,50.43,465
