timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,elapsed_lm-eval-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m
2026-04-15T17:05:58.134869+00:00,baseline:deltanet,true,42,2.3481,49.88,70.48,28265,10,53.58,32.77,62.95,49.17
2026-04-15T17:05:58.134869+00:00,baseline:retnet,true,42,2.4795,66.67,82.36,27106,7,51.47,31.12,62.4,52.01
2026-04-15T17:06:09.444261+00:00,baseline:gla,true,42,2.4482,64.32,84.73,,,,,,
2026-04-17T13:13:50.968660+00:00,gpt-5.4,false,42,2.369,57.23,74.77,62848,1390,54.17,32.55,63.55,51.3
2026-04-17T13:13:50.968660+00:00,gpt-5.4,true,42,2.369,57.23,74.77,62848,1390,54.17,32.55,63.55,51.3
2026-04-18T18:24:46.504328+00:00,deepseek-reasoner,false,42,2.3443,54.15,71.81,57994,1387,55.89,33.6,64.47,51.22
2026-04-19T08:17:11.806333+00:00,claude-opus-4.6,false,42,2.3086,47.46,78.45,26970,1585,53.83,32.91,62.57,50.2
2026-04-19T08:17:11.806333+00:00,claude-opus-4.6,true,42,2.3086,47.46,78.45,26970,1585,53.83,32.91,62.57,50.2
2026-04-20T15:36:53.719343+00:00,deepseek-reasoner,false,42,2.3563,54.11,73.05,36594,1595,56.44,33.37,65.02,51.54
2026-04-20T15:36:53.719360+00:00,deepseek-reasoner,false,42,2.2864,46.35,65.23,32000,2001,55.51,34.02,64.25,51.46
2026-04-20T15:36:53.719360+00:00,deepseek-reasoner,true,42,2.2864,46.35,65.23,32000,2001,55.51,34.02,64.25,51.46
2026-04-20T15:36:53.725848+00:00,gemini-3.1-pro-preview,false,42,2.2014,40.44,60.1,35051,3145,59.6,35.95,65.72,50.91
2026-04-20T15:36:53.725848+00:00,gemini-3.1-pro-preview,true,42,2.2014,40.44,60.1,35051,3145,59.6,35.95,65.72,50.91
2026-04-20T15:36:53.739370+00:00,qwen3.6-plus,false,42,2.2598,43.88,63.7,41774,2796,56.19,34.29,64.58,51.7
2026-04-20T15:36:53.739370+00:00,qwen3.6-plus,true,42,2.2598,43.88,63.7,41774,2796,56.19,34.29,64.58,51.7
