timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-07T23:22:21.265369+00:00,baseline:z_loss,true,42,2.2926,44.09,68.25,20532,54.55,33.85,63.0,51.14,395
2026-04-08T06:16:21.596518+00:00,baseline:label_smoothing,true,42,2.3377,47.13,71.8,20526,54.04,33.63,63.71,51.78,389
2026-04-08T10:57:00.637273+00:00,baseline:softcap_ce,true,42,2.2701,43.46,67.1,20259,56.48,31.82,64.25,50.43,383
2026-04-11T18:48:25.446771+00:00,gemini-3.1-pro-preview,false,42,2.2933,45.13,69.78,22836,56.14,33.48,64.64,50.75,385
2026-04-11T18:48:25.446771+00:00,gemini-3.1-pro-preview,true,42,2.2933,45.13,69.78,22836,56.14,33.48,64.64,50.75,385
2026-04-11T21:39:47.037704+00:00,qwen3.6-plus,false,42,3.4913,125.29,178.8,20311,52.57,33.25,63.33,51.85,392
2026-04-20T15:36:53.746956+00:00,claude-opus-4.6,false,42,2.3383,47.91,72.3,20878,53.2,33.2,63.82,50.91,376
2026-04-20T15:36:53.746956+00:00,claude-opus-4.6,true,42,2.3383,47.91,72.3,20878,53.2,33.2,63.82,50.91,376
2026-04-20T15:36:53.746970+00:00,claude-opus-4.6,false,42,2.3403,47.51,73.76,20436,53.28,32.78,63.66,49.8,379
2026-04-20T15:36:53.753069+00:00,deepseek-reasoner,false,42,2.3408,46.95,71.32,20928,55.18,33.35,64.25,50.59,382
2026-04-20T15:36:53.753083+00:00,deepseek-reasoner,false,42,2.3397,47.53,72.24,20215,54.34,33.3,63.76,50.75,380
2026-04-20T15:36:53.753083+00:00,deepseek-reasoner,true,42,2.3397,47.53,72.24,20215,54.34,33.3,63.76,50.75,380
2026-04-20T15:36:53.759782+00:00,gemini-3.1-pro-preview,false,42,2.3264,46.41,70.75,23229,54.34,33.67,63.76,49.25,390
2026-04-20T15:36:53.765767+00:00,gpt-5.4,false,42,2.338,47.2,71.06,22940,55.18,33.2,64.2,52.33,393
2026-04-20T15:36:53.765781+00:00,gpt-5.4,false,42,2.2883,44.84,69.42,23980,54.67,33.53,63.82,51.7,385
2026-04-20T15:36:53.765781+00:00,gpt-5.4,true,42,2.2883,44.84,69.42,23980,54.67,33.53,63.82,51.7,385
2026-04-20T15:36:53.771933+00:00,qwen3.6-plus,false,42,2.307,44.2,69.42,20521,55.72,33.58,63.38,51.38,398
2026-04-20T15:36:53.771946+00:00,qwen3.6-plus,false,42,2.301,45.42,69.02,20589,53.75,33.1,64.58,50.51,387
2026-04-20T15:36:53.771946+00:00,qwen3.6-plus,true,42,2.301,45.42,69.02,20589,53.75,33.1,64.58,50.51,387
2026-04-20T15:36:53.771954+00:00,qwen3.6-plus,false,42,2.3175,46.64,69.27,21710,54.25,33.41,63.6,52.64,392
