timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-07T23:22:21.350776+00:00,baseline:trapezoidal,true,42,2.2512,42.31,65.96,20755,55.77,34.09,63.98,52.09,380
2026-04-08T07:01:54.224930+00:00,baseline:wsd,true,42,2.2474,41.58,64.62,20547,58.25,34.41,64.15,51.62,379
2026-04-08T16:04:08.714157+00:00,baseline:wsd_sqrt,true,42,2.2451,41.89,64.99,20722,57.28,34.37,64.74,52.57,377
2026-04-12T00:38:35.186645+00:00,qwen3.6-plus,false,42,2.2543,41.99,66.88,20294,56.61,34.05,63.33,50.36,387
2026-04-12T01:50:39.295422+00:00,gemini-3.1-pro-preview,false,42,2.2598,42.41,66.62,19954,56.27,34.07,64.53,49.25,388
2026-04-12T07:16:45.268858+00:00,qwen3.6-plus,false,42,2.2487,42.12,66.77,20522,56.23,33.7,62.95,50.99,385
2026-04-12T07:39:27.854274+00:00,gemini-3.1-pro-preview,false,42,2.2433,41.6,64.22,20353,56.99,34.17,63.66,50.59,388
2026-04-16T13:07:50.149949+00:00,gemini-3.1-pro-preview,false,42,2.2551,42.22,64.78,19566.0,56.82,33.76,64.09,49.72,386.0
2026-04-17T05:50:41.346005+00:00,gpt-5.4,false,42,2.2567,42.45,66.09,37175,56.48,34.18,64.85,49.57,392
2026-04-17T22:22:20.184536+00:00,claude-opus-4.6,false,42,2.2687,42.47,66.62,37262,55.22,33.4,65.13,50.43,398
2026-04-18T07:54:31.893090+00:00,deepseek-reasoner,false,42,2.2147,39.52,61.54,37117,57.66,35.22,63.98,50.67,390
2026-04-18T08:13:23.468809+00:00,gemini-3.1-pro-preview,false,42,2.1996,37.88,61.17,36881,59.68,35.95,66.1,53.67,396
2026-04-18T19:36:46.507011+00:00,qwen3.6-plus,false,42,2.2607,42.08,66.07,36556,55.85,33.97,64.36,49.09,405
2026-04-19T08:30:33.649862+00:00,claude-opus-4.6,false,42,2.2573,42.44,66.52,20221.0,57.03,34.14,64.36,50.2,392.0
2026-04-20T15:36:53.780597+00:00,claude-opus-4.6,false,42,2.2578,42.01,66.53,20549,55.72,34.38,64.69,52.49,388
2026-04-20T15:36:53.780597+00:00,claude-opus-4.6,true,42,2.2578,42.01,66.53,20549,55.72,34.38,64.69,52.49,388
2026-04-20T15:36:53.787061+00:00,deepseek-reasoner,false,42,2.2784,43.45,67.36,19736,55.77,33.29,64.04,51.7,387
2026-04-20T15:36:53.787061+00:00,deepseek-reasoner,true,42,2.2784,43.45,67.36,19736,55.77,33.29,64.04,51.7,387
2026-04-20T15:36:53.787076+00:00,deepseek-reasoner,false,42,2.3146,46.69,71.67,19692,55.3,32.87,63.38,51.14,393
2026-04-20T15:36:53.787083+00:00,deepseek-reasoner,false,42,2.4971,60.33,86.43,20037,50.51,29.96,61.43,52.57,393
2026-04-20T15:36:53.793299+00:00,gemini-3.1-pro-preview,false,42,2.275,43.88,67.43,20562,56.48,33.63,63.22,50.67,388
2026-04-20T15:36:53.793312+00:00,gemini-3.1-pro-preview,true,42,2.2433,41.6,64.22,20353,56.99,34.17,63.66,50.59,384
2026-04-20T15:36:53.799495+00:00,gpt-5.4,false,42,2.2538,41.82,66.14,19964,55.56,34.03,64.2,52.17,389
2026-04-20T15:36:53.799495+00:00,gpt-5.4,true,42,2.2538,41.82,66.14,19964,55.56,34.03,64.2,52.17,389
2026-04-20T15:36:53.799508+00:00,gpt-5.4,false,42,2.2645,42.16,66.2,20264,57.11,33.85,62.79,51.78,393
2026-04-20T15:36:53.806062+00:00,qwen3.6-plus,false,42,2.2472,41.95,65.22,20254,55.77,34.32,63.6,52.41,387
2026-04-20T15:36:53.806062+00:00,qwen3.6-plus,true,42,2.2472,41.95,65.22,20254,55.77,34.32,63.6,52.41,387
