timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-08T11:24:01.184367+00:00,baseline:swiglu,true,42,2.2923,44.33,66.81,20750,54.71,33.4,64.64,50.43,420
2026-04-08T14:31:03.895220+00:00,baseline:geglu,true,42,2.2952,44.13,68.73,21098,54.88,32.9,64.15,50.36,420
2026-04-08T14:31:03.985650+00:00,baseline:relu_squared,true,42,2.283,43.33,66.56,19667,55.26,33.86,63.87,51.22,398
2026-04-09T03:49:00.863655+00:00,claude-opus-4.6,false,42,2.3026,44.11,71.72,20923,54.76,32.67,64.15,51.3,445
2026-04-09T16:22:51.525821+00:00,claude-opus-4.6,false,42,2.2992,43.97,68.07,21014,54.12,33.62,64.25,50.51,459
2026-04-09T16:22:51.525821+00:00,claude-opus-4.6,true,42,2.2992,43.97,68.07,21014,54.12,33.62,64.25,50.51,459
2026-04-11T18:19:29.689674+00:00,gemini-3.1-pro-preview,false,42,2.2861,44.76,69.1,20214,55.77,33.61,64.53,50.67,421
2026-04-11T21:20:46.994460+00:00,qwen3.6-plus,false,42,2.3003,43.71,66.46,24146,54.42,33.34,64.36,50.51,488
2026-04-11T21:20:46.994460+00:00,qwen3.6-plus,true,42,2.3003,43.71,66.46,24146,54.42,33.34,64.36,50.51,488
2026-04-17T06:06:40.019154+00:00,gpt-5.4,false,42,2.2845,43.23,67.22,43708,52.86,33.19,64.25,52.17,503
2026-04-17T14:12:11.187385+00:00,gemini-3.1-pro-preview,false,42,2.3084,44.46,70.52,40225,54.71,32.97,63.38,50.43,505
2026-04-17T22:42:20.942952+00:00,claude-opus-4.6,false,42,2.3076,44.84,69.88,40728,53.7,33.24,64.15,51.62,465
2026-04-18T18:07:23.074908+00:00,deepseek-reasoner,false,42,2.3133,44.3,68.15,37499,52.65,33.32,63.98,51.07,472
2026-04-18T21:54:50.801809+00:00,qwen3.6-plus,false,42,2.3103,44.2,68.51,38824,54.21,33.0,64.36,50.91,480
2026-04-20T15:36:53.818787+00:00,deepseek-reasoner,false,42,2.3103,45.02,68.62,21302,52.69,32.75,64.15,49.72,436
2026-04-20T15:36:53.818801+00:00,deepseek-reasoner,false,42,2.3077,45.01,67.36,21809,55.13,32.93,64.2,50.67,439
2026-04-20T15:36:53.818808+00:00,deepseek-reasoner,false,42,2.2143,38.92,61.74,21590,57.37,35.21,65.4,51.3,461
2026-04-20T15:36:53.818808+00:00,deepseek-reasoner,true,42,2.2143,38.92,61.74,21590,57.37,35.21,65.4,51.3,461
2026-04-20T15:36:53.825094+00:00,gemini-3.1-pro-preview,false,42,2.2923,43.35,66.23,22175,54.42,33.34,64.8,51.14,459
2026-04-20T15:36:53.825094+00:00,gemini-3.1-pro-preview,true,42,2.2923,43.35,66.23,22175,54.42,33.34,64.8,51.14,459
2026-04-20T15:36:53.825108+00:00,gemini-3.1-pro-preview,false,42,2.2999,44.42,68.13,22322,54.55,33.33,64.25,51.3,475
2026-04-20T15:36:53.831330+00:00,gpt-5.4,false,42,2.3212,45.33,70.55,18693,54.67,32.84,63.87,52.33,457
2026-04-20T15:36:53.831330+00:00,gpt-5.4,true,42,2.3212,45.33,70.55,18693,54.67,32.84,63.87,52.33,457
2026-04-20T15:36:53.831343+00:00,gpt-5.4,false,42,2.338,45.76,70.66,17963,54.12,32.69,63.66,52.88,442
