timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-08T00:23:34.569251+00:00,baseline:rmsnorm_post,true,42,2.3104,46.8,72.08,21661,54.76,33.03,62.46,50.28,586
2026-04-08T06:17:21.604905+00:00,baseline:rmsnorm,true,42,2.295,44.75,68.29,20389,54.97,33.25,64.36,51.22,458
2026-04-08T10:51:00.628905+00:00,baseline:rmsnorm_parallel,true,42,2.3112,45.98,70.96,19747,54.76,32.93,64.42,50.2,406
2026-04-11T18:15:24.885896+00:00,deepseek-reasoner,false,42,2.2592,41.78,64.48,20337,56.86,34.4,64.64,50.99,484
2026-04-11T18:21:25.024152+00:00,gemini-3.1-pro-preview,false,42,2.2859,44.38,67.87,21385,54.29,33.23,62.84,49.88,626
2026-04-11T18:48:31.585892+00:00,qwen3.6-plus,false,42,2.3049,45.91,70.51,19823,54.46,33.0,64.74,50.99,479
2026-04-12T06:22:43.599193+00:00,qwen3.6-plus,false,42,2.3023,46.53,69.1,19834,54.12,33.07,63.93,52.01,481
2026-04-12T07:28:07.924368+00:00,claude-opus-4.6,false,42,2.3085,45.78,70.82,20180,55.3,32.79,64.04,51.62,483
2026-04-15T12:39:10.696032+00:00,gpt-5.4,false,42,nan,nan,nan,17506,25.08,25.04,49.51,49.57,437
2026-04-17T03:58:36.197353+00:00,gpt-5.4,false,42,2.3227,46.13,71.33,36113,53.28,33.26,63.98,49.49,565
2026-04-17T13:11:23.448810+00:00,gemini-3.1-pro-preview,false,42,2.3074,45.06,69.24,36632,54.97,32.84,63.0,49.64,467
2026-04-17T14:26:47.553994+00:00,gemini-3.1-pro-preview,false,42,2.3062,44.94,68.9,37581,55.13,33.21,64.25,48.62,470
2026-04-18T05:16:17.805906+00:00,claude-opus-4.6,false,42,2.3093,45.47,70.33,37714,54.92,33.21,63.44,49.41,602
2026-04-18T08:21:24.320365+00:00,deepseek-reasoner,false,42,2.3212,46.45,71.12,35693,54.38,32.67,63.55,51.3,459
2026-04-18T20:57:18.805089+00:00,qwen3.6-plus,false,42,2.3118,45.91,69.58,37853,55.72,32.61,62.95,51.3,522
2026-04-20T15:36:53.845803+00:00,claude-opus-4.6,false,42,2.2933,44.66,68.04,20137,55.22,33.28,63.44,49.88,485
2026-04-20T15:36:53.845803+00:00,claude-opus-4.6,true,42,2.2933,44.66,68.04,20137,55.22,33.28,63.44,49.88,485
2026-04-20T15:36:53.845817+00:00,claude-opus-4.6,false,42,2.2944,46.21,69.38,21016,56.44,33.14,63.49,50.43,628
2026-04-20T15:36:53.852325+00:00,deepseek-reasoner,false,42,2.3471,47.38,72.91,20321,52.99,32.08,63.22,50.28,484
2026-04-20T15:36:53.852338+00:00,deepseek-reasoner,false,42,2.3759,49.48,73.43,19375,53.79,31.58,63.93,51.85,423
2026-04-20T15:36:53.852346+00:00,deepseek-reasoner,true,42,2.2592,41.78,64.48,20337,56.86,34.4,64.64,50.99,483
2026-04-20T15:36:53.858994+00:00,gemini-3.1-pro-preview,false,42,2.2905,45.19,67.93,21008,55.64,33.4,63.82,50.2,492
2026-04-20T15:36:53.859009+00:00,gemini-3.1-pro-preview,false,42,2.2803,44.12,67.07,20470,56.19,33.79,62.68,52.33,485
2026-04-20T15:36:53.859009+00:00,gemini-3.1-pro-preview,true,42,2.2803,44.12,67.07,20470,56.19,33.79,62.68,52.33,485
2026-04-20T15:36:53.865622+00:00,gpt-5.4,false,42,2.3223,46.0,70.25,20571,53.49,32.82,63.22,51.85,557
2026-04-20T15:36:53.865636+00:00,gpt-5.4,false,42,2.323,46.1,69.99,20652,54.38,32.39,63.33,50.75,564
2026-04-20T15:36:53.865636+00:00,gpt-5.4,true,42,2.323,46.1,69.99,20652,54.38,32.39,63.33,50.75,564
2026-04-20T15:36:53.872857+00:00,qwen3.6-plus,false,42,2.3208,46.25,71.15,20167,55.13,32.59,64.04,50.99,473
2026-04-20T15:36:53.872865+00:00,qwen3.6-plus,false,42,2.2958,45.47,69.11,20236,55.18,33.78,64.15,52.25,552
2026-04-20T15:36:53.872865+00:00,qwen3.6-plus,true,42,2.2958,45.47,69.11,20236,55.18,33.78,64.15,52.25,552
2026-04-20T15:36:53.872871+00:00,qwen3.6-plus,false,42,2.2973,46.02,69.28,20245,55.93,33.1,63.93,51.3,576
