timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-09T22:38:06.856081+00:00,baseline:full_attnres,true,42,2.2544,41.82,64.32,21916,55.01,34.05,63.44,50.2,467
2026-04-11T02:43:53.922672+00:00,baseline:vanilla,true,42,2.2763,44.28,70.09,20027,54.12,33.82,64.25,50.99,385
2026-04-13T00:05:57.471989+00:00,baseline:learned_scaling,true,42,2.268,43.91,68.76,21161,55.85,33.9,64.69,53.2,444
2026-04-13T00:32:56.219227+00:00,baseline:prores,true,42,2.2707,44.11,67.21,23365,55.35,33.91,64.09,50.2,388
2026-04-19T08:17:11.806333+00:00,gemini-3.1-pro-preview,false,42,2.2572,41.09,63.34,33382,54.97,34.35,65.07,51.78,1115
2026-04-20T15:36:53.914049+00:00,claude-opus-4.6,false,42,2.3162,46.16,71.04,26970,54.08,32.48,63.71,50.75,433
2026-04-20T15:36:53.914049+00:00,claude-opus-4.6,true,42,2.3162,46.16,71.04,26970,54.08,32.48,63.71,50.75,433
2026-04-20T15:36:53.920091+00:00,deepseek-reasoner,false,42,2.2734,44.16,68.38,20011,54.5,33.28,64.36,51.78,584
2026-04-20T15:36:53.920106+00:00,deepseek-reasoner,false,42,2.2947,43.6,68.09,21437,54.92,33.19,64.2,48.7,616
2026-04-20T15:36:53.920106+00:00,deepseek-reasoner,true,42,2.2947,43.6,68.09,21437,54.92,33.19,64.2,48.7,616
2026-04-20T15:36:53.926080+00:00,gemini-3.1-pro-preview,false,42,2.2521,42.04,66.32,33373,55.35,33.66,65.4,50.12,884
2026-04-20T15:36:53.926080+00:00,gemini-3.1-pro-preview,true,42,2.2521,42.04,66.32,33373,55.35,33.66,65.4,50.12,884
2026-04-20T15:36:53.932265+00:00,gpt-5.4,false,42,3.5848,315.19,267.53,21133,40.07,26.22,57.18,51.22,478
2026-04-20T15:36:53.932279+00:00,gpt-5.4,false,42,3.0222,110.87,148.82,21711,40.36,27.05,57.18,51.7,581
2026-04-20T15:36:53.932279+00:00,gpt-5.4,true,42,3.0222,110.87,148.82,21711,40.36,27.05,57.18,51.7,581
2026-04-20T15:36:53.938674+00:00,qwen3.6-plus,false,42,10.0161,45715.28,26108.76,20342,26.05,25.97,50.0,47.28,430
2026-04-20T15:36:53.938688+00:00,qwen3.6-plus,true,42,10.0161,45715.28,26108.76,20342,26.05,25.97,50.0,47.28,433
