timestamp,model,is_final,seed,wikitext2_ppl_ptq-7b-int4,fp16_ppl_ptq-7b-int4,degradation_ptq-7b-int4,quant_time_ptq-7b-int4,elapsed_ptq-7b-int4,wikitext2_ppl_ptq-7b-int3,fp16_ppl_ptq-7b-int3,degradation_ptq-7b-int3,quant_time_ptq-7b-int3,elapsed_ptq-7b-int3,wikitext2_ppl_ptq-7b-int4-g64,fp16_ppl_ptq-7b-int4-g64,degradation_ptq-7b-int4-g64,quant_time_ptq-7b-int4-g64,elapsed_ptq-7b-int4-g64
2026-07-20T05:20:58.865251+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:22:53.558798+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:25:39.646610+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:25:48.505322+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,
2026-07-20T05:24:43.562840+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:25:50.372442+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:25:39.638997+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:26:51.185664+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:27:35.384976+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:29:10.045891+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:29:19.228193+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,
2026-07-20T05:23:34.177288+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:25:29.103107+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:29:33.778386+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:29:42.067134+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:29:43.017853+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,
2026-07-20T05:29:45.645053+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:29:49.813999+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,
2026-07-20T05:32:09.753112+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T05:32:18.028237+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,,,,,,,,,,,,,,,
2026-07-20T11:03:21.157348+00:00,baseline:round_to_nearest,false,2,5.1343,4.9071,0.2271,112.9,340.7,6.7341,4.9071,1.827,115.7,344.2,5.089,4.9071,0.1819,76.9,248.7
2026-07-20T11:03:51.430711+00:00,baseline:round_to_nearest,false,1,5.1343,4.9071,0.2271,115.2,346.8,6.7341,4.9071,1.827,112.1,339.2,5.089,4.9071,0.1819,75.0,238.3
2026-07-20T11:04:09.509176+00:00,baseline:awq,false,2,5.064,4.9071,0.1569,238.0,437.8,5.7736,4.9071,0.8665,235.6,436.5,5.0455,4.9071,0.1383,102.6,234.3
2026-07-20T11:04:37.666405+00:00,baseline:awq,false,1,5.0531,4.9071,0.146,231.2,430.0,5.7891,4.9071,0.882,240.8,430.1,5.046,4.9071,0.1389,100.6,235.0
2026-07-20T11:05:13.173578+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,4.9489,4.9071,0.0418,231.3,337.1,5.0833,4.9071,0.1761,226.1,345.5,4.9489,4.9071,0.0418,170.4,256.4
2026-07-20T11:05:19.409515+00:00,baseline:round_to_nearest,false,3,5.1343,4.9071,0.2271,112.3,347.3,6.7341,4.9071,1.827,114.6,345.8,5.089,4.9071,0.1819,76.5,244.9
2026-07-20T11:05:43.321621+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,4.9375,4.9071,0.0304,228.2,352.5,5.0682,4.9071,0.1611,239.4,347.9,4.9375,4.9071,0.0304,174.7,258.7
2026-07-20T11:05:46.906141+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,4.9818,4.9071,0.0747,239.7,364.0,5.2804,4.9071,0.3733,241.2,376.4,4.968,4.9071,0.0609,166.6,252.0
2026-07-20T11:06:02.202324+00:00,baseline:awq,false,3,5.075,4.9071,0.1679,238.5,433.5,5.7879,4.9071,0.8808,232.0,444.5,5.0483,4.9071,0.1412,103.4,230.1
2026-07-20T11:07:00.895670+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,4.9879,4.9071,0.0808,234.1,348.5,5.351,4.9071,0.4438,235.6,363.2,4.9776,4.9071,0.0704,178.1,265.3
2026-07-20T11:07:02.871219+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,,,,,,,
2026-07-20T11:07:10.854005+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,4.9827,4.9071,0.0755,240.0,354.4,5.2808,4.9071,0.3737,241.8,370.0,4.9701,4.9071,0.063,173.7,260.8
2026-07-20T11:07:39.524272+00:00,baseline:gptq,false,2,5.0681,4.9071,0.161,457.8,661.5,6.0398,4.9071,1.1327,460.2,655.5,5.0422,4.9071,0.1351,160.0,247.2
2026-07-20T11:08:01.274974+00:00,baseline:gptq,false,1,5.0687,4.9071,0.1616,460.1,648.3,6.2499,4.9071,1.3428,446.0,630.3,5.0493,4.9071,0.1422,157.3,247.6
