timestamp,model,is_final,seed,score_mean,gsm8k_reward_mean,gsm8k_accuracy,math500_accuracy,amc_accuracy,elapsed_deepmath-3bench-1gpu
2026-04-24T01:33:31.827635+00:00,baseline:outcome_only,false,42,-0.5088,0.4595,0.4595,0.3038,0.0904,32962
2026-04-24T02:23:59.526543+00:00,baseline:group_std,false,42,-0.5234,0.4656,0.4656,0.299,0.122,35659
2026-04-24T09:49:51.210661+00:00,baseline:batch_std,false,42,-0.5166,0.4682,0.4682,0.3073,0.1039,32138
2026-04-24T10:13:56.884034+00:00,baseline:length_aware,false,42,-0.499,0.4655,0.4655,0.288,0.137,32978
2026-04-25T03:20:41.870570+00:00,gpt-5.4,false,42,-0.5,0.4505,0.4505,0.303,0.1295,31227
2026-04-25T06:04:56.670832+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,-0.4922,0.4716,0.4716,0.3025,0.1355,31423
2026-04-25T06:24:56.871793+00:00,claude-opus-4.6,false,42,-0.5342,0.4674,0.4674,0.3018,0.1145,32864
2026-04-25T07:07:57.399641+00:00,qwen3.6-plus,false,42,-0.5107,0.4648,0.4648,0.296,0.113,33337
2026-04-25T08:14:37.954526+00:00,gemini-3.1-pro-preview,false,42,-0.5195,0.4699,0.4699,0.303,0.1114,32610
2026-04-25T16:21:24.361058+00:00,gpt-5.4,false,42,-0.5078,0.4664,0.4664,0.309,0.1039,32633
2026-04-25T16:21:31.890860+00:00,gpt-5.4,true,42,-0.5078,0.4664,0.4664,0.309,0.1039,32633
2026-04-25T17:02:33.605848+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,-0.5137,0.4751,0.4751,0.296,0.0934,31668
2026-04-25T17:39:31.344311+00:00,claude-opus-4.6,false,42,-0.5303,0.4608,0.4608,0.3045,0.1039,33101
2026-04-25T18:25:38.868146+00:00,qwen3.6-plus,false,42,-0.5176,0.4733,0.4733,0.308,0.113,33388
2026-04-25T18:53:28.123728+00:00,gemini-3.1-pro-preview,false,42,-0.5039,0.47,0.47,0.2943,0.1009,32080
2026-04-25T18:53:50.058982+00:00,gemini-3.1-pro-preview,true,42,-0.5195,0.4699,0.4699,0.303,0.1114,32610
2026-04-26T04:00:02.875282+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,-0.4902,0.4708,0.4708,0.2975,0.113,32439
2026-04-26T04:00:26.812270+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,-0.4922,0.4716,0.4716,0.3025,0.1355,31423
2026-04-26T04:06:39.521825+00:00,qwen3.6-plus,false,42,-0.5117,0.4705,0.4705,0.3085,0.0994,31447
2026-04-26T04:06:51.691595+00:00,qwen3.6-plus,true,42,-0.5176,0.4733,0.4733,0.308,0.113,33388
2026-04-26T04:09:10.333804+00:00,claude-opus-4.6,false,42,-0.5137,0.462,0.462,0.2988,0.0949,32331
2026-04-26T04:09:15.865711+00:00,claude-opus-4.6,true,42,-0.5342,0.4674,0.4674,0.3018,0.1145,32864
