timestamp,model,is_final,seed,accuracy_mini_imagenet,accuracy_cifar_fs,accuracy_CUB,accuracy_mini_imagenet_std,accuracy_cifar_fs_std,accuracy_CUB_std,elapsed_mini_imagenet,elapsed_cifar_fs,elapsed_CUB
2026-03-13T20:30:02.735674+00:00,baseline:matchingnet,true,42,0.5782,0.6462,0.523,,,,,,
2026-03-13T20:30:02.738892+00:00,baseline:matchingnet,true,123,0.5772,0.5676,0.6269,,,,,,
2026-03-13T20:30:02.739147+00:00,baseline:matchingnet,true,456,0.6232,0.457,0.4575,,,,,,
2026-03-13T20:30:02.739147+00:00,baseline:matchingnet,true,mean,0.5928666666666667,0.5569333333333334,0.5358,0.021452790546272082,0.07760796064551338,0.0697470190521908,,,
2026-03-13T20:20:07.979099+00:00,baseline:protonet,true,42,0.6481,0.6749,0.7531,,,,,,
2026-03-13T20:20:07.983702+00:00,baseline:protonet,true,123,0.6458,0.6851,0.7536,,,,,,
2026-03-13T20:20:07.984095+00:00,baseline:protonet,true,456,0.6522,0.6867,0.7622,,,,,,
2026-03-13T20:20:07.984095+00:00,baseline:protonet,true,mean,0.6486999999999999,0.6822333333333334,0.7563,0.0026470108928122278,0.005226428566005212,0.004176920715870311,,,
2026-04-05T11:16:58.047427+00:00,baseline:relationnet,true,42,0.7038,0.7972,0.876,,,,5477.5,5510.0,8614.6
2026-04-05T13:33:26.079209+00:00,baseline:relationnet,true,123,0.6996,0.801,0.7064,,,,5536.8,9685.7,10750.1
2026-04-05T13:43:07.999353+00:00,baseline:relationnet,true,456,0.6942,0.8151,0.6911,,,,5419.7,9314.8,8014.5
2026-04-05T13:43:07.999353+00:00,baseline:relationnet,true,mean,0.6991999999999999,0.8044333333333333,0.7578333333333335,0.003929376540877676,0.007700360741910452,0.08378959097379311,5478.0,8170.166666666667,9126.4
2026-04-08T18:36:45+00:00,anthropic/claude-opus-4.6,false,42,0.7225,0.8212,0.6786,,,,12991,12991,13426
2026-04-08T20:37:42+00:00,anthropic/claude-opus-4.6,false,42,0.7225,0.8212,0.6786,,,,13012,13012,13388
2026-04-08T22:41:42+00:00,anthropic/claude-opus-4.6,true,42,0.7225,0.8212,0.6786,,,,12919,12919,13552
2026-04-08T18:34:12+00:00,deepseek-reasoner,false,42,0.6738,0.7526,0.1996,,,,13076,13076,13219
2026-04-08T20:35:39+00:00,deepseek-reasoner,false,42,0.3462,0.4644,0.2556,,,,12145,12145,12337
2026-04-08T22:36:42+00:00,deepseek-reasoner,true,42,0.3462,0.4644,0.2556,,,,12052,12053,12626
2026-04-08T18:35:27+00:00,google/gemini-3.1-pro-preview,false,42,0.7288,0.8352,0.7432,,,,11655,11664,12372
2026-04-08T20:37:05+00:00,google/gemini-3.1-pro-preview,false,42,0.7288,0.8352,0.7432,,,,11677,11677,12259
2026-04-08T18:53:06+00:00,openai/gpt-5.4-pro,false,42,0.6162,0.8687,0.533,,,,11815,11815,12372
2026-04-08T21:07:20+00:00,openai/gpt-5.4-pro,false,42,0.6162,0.8687,0.533,,,,11756,11756,12576
2026-04-08T23:24:07+00:00,openai/gpt-5.4-pro,true,42,0.6162,0.8687,0.533,,,,11654,11684,12525
2026-04-08T19:27:29+00:00,qwen3.6-plus,false,42,0.5894,0.6984,0.4111,,,,11457,11457,11985
2026-04-08T21:27:35+00:00,qwen3.6-plus,true,42,0.5894,0.6984,0.4111,,,,12281,12281,12932
2026-05-03T08:34:14.533424+00:00,google/gemini-3.1-pro-preview,true,42,0.7288,0.8352,0.7432,,,,11655,11664,12372
