timestamp,model,is_final,seed,accuracy_mini_imagenet_1shot,accuracy_mini_imagenet_5shot,accuracy_cifar_fs_5shot,elapsed_mini_imagenet_1shot,elapsed_mini_imagenet_5shot,elapsed_cifar_fs_5shot
2026-04-12T02:04:38.322207+00:00,baseline:anil,true,42,0.4385,0.6299,0.7255,7854,7854,4206
2026-04-06T04:39:16.515296+00:00,baseline:maml,true,42,0.4242,0.6462,0.71,10455.7,4009.7,5452.5
2026-04-06T04:46:41.937592+00:00,baseline:meta_sgd,true,42,0.4573,0.6275,0.7044,10901.1,4432.8,5721.1
2026-04-04T12:51:23+00:00,anil,true,42,,,0.6248,,,3009
2026-04-08T20:51:00+00:00,anthropic/claude-opus-4.6,false,42,,0.5979,0.7302,,,6321
2026-04-09T00:54:59+00:00,anthropic/claude-opus-4.6,true,42,0.4532,,0.7302,14493,,6376
2026-04-08T19:23:15+00:00,deepseek-reasoner,false,42,0.2142,0.2295,0.2364,16707,16707,6541
2026-04-08T23:25:11+00:00,deepseek-reasoner,true,42,,0.2295,0.2364,,,6465
2026-04-08T19:25:00+00:00,google/gemini-3.1-pro-preview,false,42,0.2419,0.6219,0.6866,16840,16840,6342
2026-04-08T23:27:28+00:00,google/gemini-3.1-pro-preview,true,42,,0.6219,0.6866,,,6450
2026-04-04T11:58:23+00:00,maml,false,42,0.2166,,,2550,,
2026-04-05T02:45:13+00:00,maml,false,42,0.2717,0.6462,,2688,4287,
2026-04-05T08:16:02+00:00,maml,true,42,0.4242,,,10503,,
2026-04-05T02:45:15+00:00,meta_sgd,true,42,0.4313,,,3996,,
2026-04-08T18:57:02+00:00,openai/gpt-5.4-pro,false,42,,0.6508,0.7331,,,8731
2026-04-08T23:20:16+00:00,openai/gpt-5.4-pro,false,42,,0.6508,0.7331,,,9371
2026-04-09T03:45:27+00:00,openai/gpt-5.4-pro,true,42,,0.6508,0.7331,,,8981
2026-04-08T19:24:12+00:00,qwen3.6-plus,false,42,,0.5862,0.6869,,,6245
2026-04-08T23:24:58+00:00,qwen3.6-plus,true,42,,0.5862,0.6869,,,6399
2026-04-12T02:04:38.322207+00:00,baseline:anil,false,42,0.4385,0.6299,0.7255,7854,7854,4206
