timestamp,model,is_final,seed,test_accuracy_breast_cancer,test_rmse_diabetes,test_rmse_california_housing,test_accuracy_breast_cancer_std,test_rmse_diabetes_std,elapsed_breast_cancer,elapsed_diabetes,elapsed_california_housing,test_rmse_california_housing_std
2026-03-28T03:55:59.858957+00:00,baseline:adaboost,true,42,0.9561,60.0245,0.6417,,,16,16,36,
2026-03-28T03:55:59.861257+00:00,baseline:adaboost,true,123,0.9737,58.8294,0.6336,,,16,17,38,
2026-03-28T03:55:59.861784+00:00,baseline:adaboost,true,456,0.9825,62.6515,0.6644,,,16,17,38,
2026-03-28T03:55:59.861784+00:00,baseline:adaboost,true,mean,0.9707666666666667,60.5018,0.6465666666666667,0.010975528334536933,1.5964488863307413,16.0,16.666666666666668,37.333333333333336,0.013036444641423065
2026-03-28T03:57:00.261335+00:00,baseline:gradient_boosting,true,42,0.9561,54.7917,0.5113,,,6,6,11,
2026-03-28T03:57:00.267733+00:00,baseline:gradient_boosting,true,123,0.9561,54.1198,0.4922,,,6,6,12,
2026-03-28T03:57:00.268220+00:00,baseline:gradient_boosting,true,456,0.9737,67.5465,0.497,,,6,6,12,
2026-03-28T03:57:00.268220+00:00,baseline:gradient_boosting,true,mean,0.9619666666666666,58.81933333333333,0.5001666666666666,0.008296719565922187,6.177132070431677,6.0,6.0,11.666666666666666,0.008112678691748814
2026-03-28T03:58:00.586194+00:00,baseline:xgboost_style,true,42,0.9561,54.5475,0.5118,,,5,5,11,
2026-03-28T03:58:00.588752+00:00,baseline:xgboost_style,true,123,0.9649,54.0939,0.4935,,,5,5,12,
2026-03-28T03:58:00.589237+00:00,baseline:xgboost_style,true,456,0.9561,67.5534,0.4954,,,5,5,12,
2026-03-28T03:58:00.589237+00:00,baseline:xgboost_style,true,mean,0.9590333333333333,58.73159999999999,0.5002333333333334,0.004148359782961093,6.2407026671681765,5.0,5.0,11.666666666666666,0.0082155678778497
2026-04-14T18:20:45.296335+00:00,anthropic/claude-opus-4.6,false,42,0.9649,56.3064,0.7637,,,3,3,9,
2026-04-14T18:24:46.725753+00:00,anthropic/claude-opus-4.6,false,42,0.9561,55.2096,0.516,,,3,3,9,
2026-04-14T18:32:45.376805+00:00,anthropic/claude-opus-4.6,false,42,0.9561,55.1678,0.5135,,,3,3,9,
2026-04-14T18:33:32.052316+00:00,anthropic/claude-opus-4.6,true,42,0.9561,55.1678,0.5135,,,3,3,9,
2026-04-14T18:14:05.973638+00:00,deepseek-reasoner,false,42,0.9737,56.5967,0.9049,,,4,4,10,
2026-04-14T18:15:47.811370+00:00,deepseek-reasoner,false,42,0.9649,53.7314,0.8508,,,3,3,10,
2026-04-14T18:17:21.363448+00:00,deepseek-reasoner,false,42,0.9649,59.1679,0.8919,,,3,3,10,
2026-04-14T18:18:11.602004+00:00,deepseek-reasoner,true,42,0.9737,56.5967,0.9049,,,4,4,10,
2026-04-14T18:15:58.158508+00:00,google/gemini-3.1-pro-preview,false,42,0.9474,55.3185,0.5245,,,3,3,10,
2026-04-14T18:18:28.781451+00:00,google/gemini-3.1-pro-preview,false,42,0.9561,52.804,0.5623,,,3,3,9,
2026-04-14T18:21:08.959292+00:00,google/gemini-3.1-pro-preview,false,42,0.9561,53.2771,0.4857,,,3,3,10,
2026-04-14T18:21:18.180249+00:00,google/gemini-3.1-pro-preview,true,42,0.9561,53.2771,0.4857,,,3,3,10,
2026-04-14T18:13:51.720127+00:00,openai/gpt-5.4,false,42,0.9561,54.4652,0.6759,,,4,4,11,
2026-04-14T18:15:36.903198+00:00,openai/gpt-5.4,false,42,0.9561,56.1452,0.6522,,,3,3,10,
2026-04-14T18:17:09.845354+00:00,openai/gpt-5.4,false,42,0.9561,55.9541,0.6995,,,3,3,10,
2026-04-14T18:17:35.483407+00:00,openai/gpt-5.4,true,42,0.9561,56.1452,0.6522,,,3,3,10,
2026-04-14T18:13:32.700600+00:00,qwen/qwen3.6-plus,false,42,0.9386,3131.0157,44.0094,,,4,4,11,
2026-04-14T18:16:32.270453+00:00,qwen/qwen3.6-plus,false,42,0.9561,51.7884,0.8977,,,3,3,9,
2026-04-14T18:20:23.538001+00:00,qwen/qwen3.6-plus,false,42,0.9649,56.406,0.9334,,,3,3,9,
2026-04-14T18:29:06.421370+00:00,qwen/qwen3.6-plus,true,42,0.9561,51.7884,0.8977,,,3,3,9,
