timestamp,model,is_final,seed,test_accuracy_cifar10,test_loss_cifar10,best_accuracy_cifar10,elapsed_cifar10,test_accuracy_shakespeare,test_loss_shakespeare,best_accuracy_shakespeare,elapsed_shakespeare,elapsed_femnist,test_accuracy_femnist,test_loss_femnist,best_accuracy_femnist
2026-04-15T00:37:34.352016+00:00,qwen/qwen3.6-plus,true,42,0.1,,0.1,757,0.0095,1.069,0.1488,9123,7964,0.0497,,0.0497
2026-04-15T01:03:29.203893+00:00,openai/gpt-5.4,false,42,0.6341,1.2199,0.6484,746,0.4605,0.0363,0.4605,10590,8551,0.8346,0.4989,0.8505
2026-04-15T04:11:40.754727+00:00,anthropic/claude-opus-4.6,false,42,0.6543,1.7011,0.6687,753,,,,,8585,0.8083,0.8844,0.8382
2026-04-15T07:48:11.312430+00:00,deepseek-reasoner,false,42,0.4035,11.439,0.4054,1035,0.4042,0.0518,0.4042,16573,11331,0.7895,2.8344,0.7931
2026-04-23T10:10:54.976302+00:00,baseline:fedavg,false,42,0.6338,1.3011,0.6455,684,,,,4,7974,0.807,0.7316,0.8441
2026-04-23T15:08:53.900051+00:00,baseline:fedavg,true,42,0.5954,1.2639,0.5954,773,0.436,0.0243,0.436,10659,7675,0.8112,0.5675,0.8391
2026-04-23T16:57:24.233203+00:00,baseline:fedprox,true,42,0.5948,1.2605,0.5948,787,0.4326,0.0245,0.4326,10264,9156,0.8126,0.562,0.8392
2026-04-23T19:32:10.423314+00:00,baseline:scaffold,true,42,0.6309,1.0659,0.6309,919,0.4355,0.0244,0.4355,7393,10354,0.8187,0.5282,0.8368
2026-04-24T05:51:59.050343+00:00,baseline:scaffold,false,42,,,,,0.4355,0.0244,0.4355,7393,,,,
2026-04-24T16:34:11.405956+00:00,deepseek-reasoner,false,42,,,,,,,,,,,,
2026-04-24T16:35:16.284363+00:00,deepseek-reasoner,false,42,,,,,,,,,,,,
2026-04-24T16:37:05.283646+00:00,deepseek-reasoner,false,42,,,,,,,,,,,,
2026-04-24T16:37:28.663945+00:00,google/gemini-3.1-pro-preview,false,42,,,,,,,,,,,,
2026-04-24T16:37:42.933469+00:00,deepseek-reasoner,true,42,0.4035,11.439,0.4054,1035.0,0.4042,0.0518,0.4042,16573.0,11331.0,0.7895,2.8344,0.7931
2026-04-24T16:41:14.100822+00:00,openai/gpt-5.4,false,42,,,,,,,,,,,,
2026-04-24T16:41:19.385640+00:00,google/gemini-3.1-pro-preview,false,42,,,,,,,,,,,,
2026-04-24T16:41:19.615282+00:00,anthropic/claude-opus-4.6,false,42,,,,,,,,,,,,
2026-04-24T16:43:33.801728+00:00,anthropic/claude-opus-4.6,false,42,,,,,,,,,,,,
2026-04-24T16:43:38.087484+00:00,anthropic/claude-opus-4.6,true,42,0.6411,1.666,0.6731,917.0,0.4932,0.0374,0.5027,17258.0,11037.0,0.8074,0.864,0.8392
2026-04-24T16:43:46.010428+00:00,openai/gpt-5.4,false,42,,,,,,,,,,,,
2026-04-24T16:43:51.413879+00:00,openai/gpt-5.4,true,42,0.6341,1.2199,0.6484,746.0,0.4605,0.0363,0.4605,10590.0,8551.0,0.8346,0.4989,0.8505
2026-04-24T16:44:25.259322+00:00,google/gemini-3.1-pro-preview,false,42,,,,,,,,,,,,
2026-04-24T16:45:53.621779+00:00,google/gemini-3.1-pro-preview,true,42,0.662,1.396,0.6659,717.0,,,,,8422.0,0.8076,0.6945,0.8417
