timestamp,model,is_final,seed,n_star_d200_k5_s01,score_d200_k5_s01,elapsed_d200_k5_s01,n_star_d500_k10_s01,score_d500_k10_s01,elapsed_d500_k10_s01,n_star_d500_k10_s02,score_d500_k10_s02,elapsed_d500_k10_s02,n_star_d10000_k50,score_d10000_k50,elapsed_d10000_k50
2026-04-15T16:29:10.675405+00:00,baseline:adagrad,true,42,175.0,-7.451211,13054,487.0,-8.927778,12452,487.0,-8.927778,13031,2000.0,-10.965784,670
2026-04-15T16:29:10.675405+00:00,baseline:adam,true,42,50.0,-5.643856,3430,56.0,-5.807355,12841,56.0,-5.807355,12972,350.0,-8.451211,18622
2026-04-15T16:29:10.675405+00:00,baseline:adam2,true,42,50.0,-5.643856,3003,53.0,-5.72792,15375,53.0,-5.72792,15590,350.0,-8.451211,21543
2026-04-15T16:29:10.675405+00:00,baseline:sgd,true,42,50.0,-5.643856,2617,62.0,-5.954196,9140,62.0,-5.954196,9181,487.0,-8.927778,18636
2026-04-16T05:55:35.299470+00:00,anthropic/claude-opus-4.6,false,42,50.0,-5.643856,3826,71.0,-6.149747,13961,71.0,-6.149747,13070,,,6
2026-04-16T19:47:26.001759+00:00,anthropic/claude-opus-4.6,false,42,,,4,,,,,,,425.0,-8.731319,27954
2026-04-17T08:54:38.330415+00:00,anthropic/claude-opus-4.6,false,42,50.0,-5.643856,3297,71.0,-6.149747,13013,71.0,-6.149747,13291,412.0,-8.686501,33867
2026-04-17T08:54:46.661421+00:00,anthropic/claude-opus-4.6,true,42,50.0,-5.643856,3297,71.0,-6.149747,13013,71.0,-6.149747,13291,412.0,-8.686501,33867
2026-04-16T07:13:15.781596+00:00,deepseek-reasoner,false,42,1600.0,-10.643856,13007,1600.0,-10.643856,13417,1600.0,-10.643856,13320,2000.0,-10.965784,14838
2026-04-16T07:49:27.861472+00:00,deepseek-reasoner,true,42,1600.0,-10.643856,13007,1600.0,-10.643856,13417,1600.0,-10.643856,13320,2000.0,-10.965784,14838
2026-04-16T11:39:12.831184+00:00,google/gemini-3.1-pro-preview,false,42,50.0,-5.643856,3371,62.0,-5.954196,12634,62.0,-5.954196,10946,775.0,-9.598053,25496
2026-04-16T21:16:42.393555+00:00,google/gemini-3.1-pro-preview,false,42,50.0,-5.643856,3194,62.0,-5.954196,11254,62.0,-5.954196,11547,800.0,-9.643856,23010
2026-04-16T21:16:55.504159+00:00,google/gemini-3.1-pro-preview,true,42,50.0,-5.643856,3371,62.0,-5.954196,12634,62.0,-5.954196,10946,775.0,-9.598053,25496
2026-04-16T07:56:12.311229+00:00,openai/gpt-5.4,true,42,,,,,,,,,,,,
2026-04-16T05:08:57.902104+00:00,qwen/qwen3.6-plus,false,42,71.0,-6.149747,8179,71.0,-6.149747,6072,71.0,-6.149747,5940,1600.0,-10.643856,7412
2026-04-16T05:55:47.895378+00:00,qwen/qwen3.6-plus,false,42,1600.0,-10.643856,765,,,317,,,382,,,6
2026-04-16T07:46:16.984656+00:00,qwen/qwen3.6-plus,false,42,1600.0,-10.643856,744,1600.0,-10.643856,740,,,335,,,15
2026-04-16T07:46:29.179551+00:00,qwen/qwen3.6-plus,true,42,71.0,-6.149747,8179,71.0,-6.149747,6072,71.0,-6.149747,5940,1600.0,-10.643856,7412
