timestamp,model,is_final,seed,best_fitness_rastrigin-30d,convergence_gen_rastrigin-30d,best_fitness_rosenbrock-30d,convergence_gen_rosenbrock-30d,best_fitness_ackley-30d,convergence_gen_ackley-30d,best_fitness_rastrigin-100d,convergence_gen_rastrigin-100d,best_fitness_rastrigin-30d_std,convergence_gen_rastrigin-30d_std,best_fitness_rosenbrock-30d_std,convergence_gen_rosenbrock-30d_std,best_fitness_ackley-30d_std,convergence_gen_ackley-30d_std,best_fitness_rastrigin-100d_std,convergence_gen_rastrigin-100d_std,elapsed_rastrigin-30d,elapsed_rosenbrock-30d,elapsed_ackley-30d,elapsed_rastrigin-100d
2026-04-04T07:18:09.048716+00:00,baseline:cmaes,true,123,3.979836,191,10.57637,498,2.065015e-13,275,,,,,,,,,,,2,2,2,2
2026-04-04T07:18:09.049241+00:00,baseline:cmaes,true,456,3.979836,219,10.50855,495,,,,,,,,,,,,,2,2,2,2
2026-04-06T06:44:13.265567+00:00,google/gemini-3.1-pro-preview,false,42,9.735711,497,12.23585,498,1.035126e-09,362,145.2452,994,,,,,,,,,1,1,1,1
2026-04-06T06:44:29.111912+00:00,google/gemini-3.1-pro-preview,true,42,,,,,,,,,,,,,,,,,1,1,1,1
2026-04-06T06:46:01.724747+00:00,deepseek-reasoner,false,42,35.82572,436,5.290586,498,0.01027845,485,65.7349,913,,,,,,,,,6,6,6,110
2026-04-06T06:47:45.406798+00:00,qwen3.6-plus:free,false,42,27.84879,499,26.12672,496,0.02301677,500,330.0535,934,,,,,,,,,9,9,9,71
2026-04-06T06:51:41.781618+00:00,qwen3.6-plus:free,true,42,27.84879,499,26.12672,496,0.02301677,500,330.0535,934,,,,,,,,,9,9,9,71
2026-04-07T02:03:38.096487+00:00,anthropic/claude-opus-4.6,false,42,58.43059,491,18.12418,470,2.315272e-10,269,327.4366,925,,,,,,,,,3,3,3,15
2026-04-07T03:11:56.715827+00:00,openai/gpt-5.4-pro,false,42,5.339871e-10,458,4.198166e-15,301,3.996803e-15,206,9.949591,187,,,,,,,,,5,6,6,40
2026-04-07T03:26:47.798786+00:00,openai/gpt-5.4-pro,false,42,0.0,1,4.803305,500,4.440892e-16,1,0.0,1,,,,,,,,,6,6,6,36
2026-04-07T03:39:46.182180+00:00,openai/gpt-5.4-pro,true,42,0.0,1,4.198166e-15,301,4.440892e-16,1,0.0,1,,,,,,,,,6,7,7,39
2026-04-23T06:37:15.899076+00:00,baseline:de,true,42,172.2954,333,32.24717,500,0.4881168,500,925.7715,968,,,,,,,,,5,5,5,25
2026-04-23T06:37:15.899076+00:00,baseline:de,true,mean,256.8125,313.3333333333333,48302.012389999996,413.0,10.0077334,335.5,925.7715,968.0,60.322510750189,31.414787742222433,35194.96048069634,62.49799996799898,9.519616599999999,164.5,0.0,0.0,3.0,3.0,3.0,9.666666666666666
2026-04-23T06:37:26.080711+00:00,baseline:ga_sbx,true,42,8.985411,488,87.01174,489,1.048397,500,115.1942,1000,,,,,,,,,5,5,5,31
2026-04-23T06:37:26.080711+00:00,baseline:ga_sbx,true,mean,8.051804333333333,492.3333333333333,138.34738000000002,488.3333333333333,1.1164724333333333,497.0,113.7842,994.0,0.7920980225175552,3.0912061651652345,40.1111322145295,0.4714045207910317,0.5099987325596429,4.242640687119285,4.553858364068864,4.320493798938574,3.0,3.0,3.0,11.666666666666666
2026-04-23T06:37:36.045075+00:00,baseline:lshade,true,mean,7.298365666666666,497.6666666666667,13.282543333333331,483.0,9.436451133333333e-12,257.6666666666667,132.54133333333334,994.6666666666666,2.263917888898555,0.9428090415820634,0.8499857818941577,12.675435561221029,1.1645871034207968e-11,3.6817870057290873,3.209896528273488,3.858612300930075,7.333333333333333,8.0,7.666666666666667,54.0
2026-04-24T07:55:35.018873+00:00,baseline:lshade,true,42,7.892829,500,15.011,483,4.659428e-11,269,120.5674,998,,,,,,,,,6,6,6,44
2026-04-28T11:59:39.630375+00:00,openai/gpt-5.4,false,42,6.650563,493,25.1244,466,1.044396e-10,214,116.8965,977,,,,,,,,,11,12,12,126
2026-04-28T12:01:07.011591+00:00,openai/gpt-5.4,false,42,,,,,,,,,,,,,,,,,,,,
2026-04-28T12:03:30.312435+00:00,openai/gpt-5.4,false,42,0.0004043713,500,20.83057,457,7.468914e-11,225,25.77335,1000,,,,,,,,,9,10,10,96
2026-04-28T12:03:35.114644+00:00,openai/gpt-5.4,true,42,0.0004043713,500,20.83057,457,7.468914e-11,225,25.77335,1000,,,,,,,,,9,10,10,96
2026-05-03T09:06:11.265136+00:00,anthropic/claude-opus-4.6,true,42,58.43059,491,18.12418,470,2.315272e-10,269,327.4366,925,,,,,,,,,3,3,3,15
2026-05-03T10:41:14.618875+00:00,deepseek-reasoner,true,42,35.82572,436,5.290586,498,0.01027845,485,65.7349,913,,,,,,,,,6,6,6,110
