timestamp,model,is_final,seed,test_accuracy_CIFAR-10,test_accuracy_CIFAR-100,test_accuracy_ImageNet16-120,elapsed_CIFAR-10,elapsed_CIFAR-100,elapsed_ImageNet16-120,test_accuracy_CIFAR-10_std,test_accuracy_CIFAR-100_std,test_accuracy_ImageNet16-120_std,elapsed_CIFAR-10_std,elapsed_CIFAR-100_std,elapsed_ImageNet16-120_std
2026-04-19T10:16:40.735470+00:00,baseline:random_search,false,0,92.83,70.5,45.4667,2,2,2,,,,,,
2026-04-19T10:16:40.736381+00:00,baseline:random_search,false,1,93.74,71.28,44.8667,2,2,2,,,,,,
2026-04-19T10:16:40.736723+00:00,baseline:random_search,false,2,93.42,71.54,44.6,2,2,2,,,,,,
2026-04-19T10:16:40.737031+00:00,baseline:random_search,false,3,93.67,69.92,44.1,2,2,2,,,,,,
2026-04-19T10:16:40.737341+00:00,baseline:random_search,false,4,93.24,70.02,43.8,2,2,2,,,,,,
2026-04-19T10:16:41.644365+00:00,baseline:rea,false,0,93.92,71.46,46.8,2,2,2,,,,,,
2026-04-19T10:16:41.644952+00:00,baseline:rea,false,1,93.17,69.76,46.4,2,2,2,,,,,,
2026-04-19T10:16:41.645321+00:00,baseline:rea,false,2,93.18,69.78,42.7,2,2,2,,,,,,
2026-04-19T10:16:41.645675+00:00,baseline:rea,false,3,93.12,70.18,44.9333,2,2,2,,,,,,
2026-04-19T10:16:41.646030+00:00,baseline:rea,false,4,93.6,70.96,45.4333,2,2,2,,,,,,
2026-04-19T10:16:47.695269+00:00,baseline:bananas,false,0,92.83,70.96,44.9333,5,5,5,,,,,,
2026-04-19T10:16:47.698406+00:00,baseline:bananas,false,1,93.6,70.02,44.7,5,5,5,,,,,,
2026-04-19T10:16:47.698995+00:00,baseline:bananas,false,2,93.6,70.38,45.0667,5,5,5,,,,,,
2026-04-19T10:16:47.699471+00:00,baseline:bananas,false,3,93.12,71.08,45.1333,5,5,5,,,,,,
2026-04-19T10:16:47.699808+00:00,baseline:bananas,false,4,94.22,72.72,46.3333,5,5,5,,,,,,
2026-04-21T12:15:25.460900+00:00,baseline:random_search,true,0,92.83,70.5,45.4667,2,2,2,,,,,,
2026-04-21T12:15:25.461912+00:00,baseline:random_search,true,1,93.74,71.28,44.8667,2,2,2,,,,,,
2026-04-21T12:15:25.462328+00:00,baseline:random_search,true,2,93.42,71.54,44.6,2,2,2,,,,,,
2026-04-21T12:15:25.462699+00:00,baseline:random_search,true,3,93.67,69.92,44.1,2,2,2,,,,,,
2026-04-21T12:15:25.463073+00:00,baseline:random_search,true,mean,93.38,70.652,44.566680000000005,2.0,2.0,2.0,0.3278414250823104,0.6544127138129294,0.584251087803867,,,
2026-04-21T12:15:25.463073+00:00,baseline:random_search,true,4,93.24,70.02,43.8,2,2,2,,,,,,
2026-04-21T12:15:25.463450+00:00,baseline:random_search,false,mean,93.38,70.652,44.56668,2.0,2.0,2.0,0.36653785616222534,0.7316556567129129,0.6532125741288225,0.0,0.0,0.0
2026-04-21T12:15:26.239058+00:00,baseline:rea,true,0,93.92,71.46,46.8,2,2,2,,,,,,
2026-04-21T12:15:26.239847+00:00,baseline:rea,true,1,93.17,69.76,46.4,2,2,2,,,,,,
2026-04-21T12:15:26.240420+00:00,baseline:rea,true,2,93.18,69.78,42.7,2,2,2,,,,,,
2026-04-21T12:15:26.240851+00:00,baseline:rea,true,3,93.12,70.18,44.9333,2,2,2,,,,,,
2026-04-21T12:15:26.241267+00:00,baseline:rea,true,mean,93.398,70.428,45.25332,2.0,2.0,2.0,0.31307507086958974,0.674637680536741,1.439537611040432,,,
2026-04-21T12:15:26.241267+00:00,baseline:rea,true,4,93.6,70.96,45.4333,2,2,2,,,,,,
2026-04-21T12:15:26.241683+00:00,baseline:rea,false,mean,93.398,70.428,45.25332,2.0,2.0,2.0,0.3500285702624834,0.7542678569314698,1.609451977227029,0.0,0.0,0.0
2026-04-21T12:15:27.214141+00:00,baseline:bananas,true,0,92.83,70.96,44.9333,5,5,5,,,,,,
2026-04-21T12:15:27.214955+00:00,baseline:bananas,true,1,93.6,70.02,44.7,5,5,5,,,,,,
2026-04-21T12:15:27.215457+00:00,baseline:bananas,true,2,93.6,70.38,45.0667,5,5,5,,,,,,
2026-04-21T12:15:27.215933+00:00,baseline:bananas,true,3,93.12,71.08,45.1333,5,5,5,,,,,,
2026-04-21T12:15:27.216411+00:00,baseline:bananas,true,mean,93.474,71.032,45.233320000000006,5.0,5.0,5.0,0.47504105085771153,0.9280172412191501,0.5695901066556545,,,
2026-04-21T12:15:27.216411+00:00,baseline:bananas,true,4,94.22,72.72,46.3333,5,5,5,,,,,,
2026-04-21T12:15:27.216884+00:00,baseline:bananas,false,mean,93.474,71.032,45.23332,5.0,5.0,5.0,0.5311120409103889,1.0375548178289198,0.6368210988966995,0.0,0.0,0.0
2026-04-24T16:34:41.074072+00:00,deepseek-reasoner,false,0,94.44,72.74,46.2667,4,4,4,,,,,,
2026-04-24T16:34:41.076184+00:00,deepseek-reasoner,false,1,93.59,72.2,45.2333,4,4,4,,,,,,
2026-04-24T16:34:41.076831+00:00,deepseek-reasoner,false,2,94.36,71.92,46.0333,4,4,4,,,,,,
2026-04-24T16:34:41.077449+00:00,deepseek-reasoner,false,3,94.12,73.14,46.9,4,4,4,,,,,,
2026-04-24T16:34:41.078032+00:00,deepseek-reasoner,false,4,92.93,71.6,44.6667,4,4,4,,,,,,
2026-04-24T16:34:41.078586+00:00,deepseek-reasoner,false,mean,93.888,72.32,45.82,4.0,4.0,4.0,0.6300555531062288,0.6208059278067508,0.8783159397392261,0.0,0.0,0.0
2026-04-24T16:35:37.157030+00:00,google/gemini-3.1-pro-preview,false,0,93.89,73.26,47.3333,3,3,3,,,,,,
2026-04-24T16:35:37.158403+00:00,google/gemini-3.1-pro-preview,false,1,93.9,70.88,45.9,3,3,3,,,,,,
2026-04-24T16:35:37.159279+00:00,google/gemini-3.1-pro-preview,false,2,94.12,72.48,46.0333,3,3,3,,,,,,
2026-04-24T16:35:37.160193+00:00,google/gemini-3.1-pro-preview,false,3,93.05,71.98,45.9667,3,3,3,,,,,,
2026-04-24T16:35:37.160963+00:00,google/gemini-3.1-pro-preview,false,4,93.9,71.08,46.7667,3,3,3,,,,,,
2026-04-24T16:35:37.161698+00:00,google/gemini-3.1-pro-preview,false,mean,93.772,71.936,46.4,3.0,3.0,3.0,0.415054213326407,0.9872588313102131,0.6280397200814618,0.0,0.0,0.0
2026-04-24T16:36:01.685321+00:00,openai/gpt-5.4,false,0,93.89,72.38,45.3333,5,6,6,,,,,,
2026-04-24T16:36:01.686367+00:00,openai/gpt-5.4,false,1,93.51,70.96,45.3667,6,6,6,,,,,,
2026-04-24T16:36:01.687156+00:00,openai/gpt-5.4,false,2,93.1,70.74,46.6,6,6,6,,,,,,
2026-04-24T16:36:01.687932+00:00,openai/gpt-5.4,false,3,93.6,71.98,45.9,6,6,6,,,,,,
2026-04-24T16:36:01.688692+00:00,openai/gpt-5.4,false,4,93.53,70.6,44.4,6,6,6,,,,,,
2026-04-24T16:36:01.689446+00:00,openai/gpt-5.4,false,mean,93.526,71.332,45.52,5.8,6.0,6.0,0.28271894170713263,0.7973205127174414,0.8098700173484638,0.4472135954999579,0.0,0.0
2026-04-24T16:37:11.465166+00:00,qwen/qwen3.6-plus,false,0,93.74,71.22,46.5667,4,5,5,,,,,,
2026-04-24T16:37:11.467163+00:00,qwen/qwen3.6-plus,false,1,93.36,71.22,43.2333,4,5,5,,,,,,
2026-04-24T16:37:11.468337+00:00,qwen/qwen3.6-plus,false,2,93.18,70.4,46.7667,4,5,5,,,,,,
2026-04-24T16:37:11.469460+00:00,qwen/qwen3.6-plus,false,3,93.85,73.12,44.5333,5,5,5,,,,,,
2026-04-24T16:37:11.470507+00:00,qwen/qwen3.6-plus,false,4,93.51,70.58,44.8333,5,5,5,,,,,,
2026-04-24T16:37:11.471543+00:00,qwen/qwen3.6-plus,false,mean,93.528,71.308,45.186659999999996,4.4,5.0,5.0,0.27307508125055524,1.0785731315029141,1.4805737631067217,0.5477225575051661,0.0,0.0
2026-04-24T16:39:14.455084+00:00,anthropic/claude-opus-4.6,false,0,94.36,73.26,45.7,15,15,15,,,,,,
2026-04-24T16:39:14.456712+00:00,anthropic/claude-opus-4.6,false,1,93.53,71.26,46.9,15,15,15,,,,,,
2026-04-24T16:39:14.457982+00:00,anthropic/claude-opus-4.6,false,2,93.72,72.34,45.2333,15,15,15,,,,,,
2026-04-24T16:39:14.459190+00:00,anthropic/claude-opus-4.6,false,3,93.52,71.0,45.4333,15,15,15,,,,,,
2026-04-24T16:39:14.460417+00:00,anthropic/claude-opus-4.6,false,4,94.68,72.34,46.5,15,15,15,,,,,,
2026-04-24T16:39:14.461641+00:00,anthropic/claude-opus-4.6,false,mean,93.962,72.04,45.95332,15.0,15.0,15.0,0.5278446741229877,0.9162968951164258,0.7155561941594792,0.0,0.0,0.0
2026-04-24T16:42:50.409671+00:00,deepseek-reasoner,false,0,93.8,71.96,46.6,5,5,5,,,,,,
2026-04-24T16:42:50.411373+00:00,deepseek-reasoner,false,1,92.8,70.14,44.7,5,5,5,,,,,,
2026-04-24T16:42:50.412799+00:00,deepseek-reasoner,false,2,93.79,71.92,46.8667,5,5,5,,,,,,
2026-04-24T16:42:50.414198+00:00,deepseek-reasoner,false,3,93.52,71.28,45.8,5,5,5,,,,,,
2026-04-24T16:42:50.415528+00:00,deepseek-reasoner,false,4,92.67,70.74,46.0667,5,5,5,,,,,,
2026-04-24T16:42:50.416870+00:00,deepseek-reasoner,false,mean,93.316,71.208,46.00668,5.0,5.0,5.0,0.5440863901992041,0.7805895208110337,0.8434148842651519,0.0,0.0,0.0
2026-04-24T16:43:16.948827+00:00,google/gemini-3.1-pro-preview,false,0,94.04,72.86,44.8,3,3,3,,,,,,
2026-04-24T16:43:16.950900+00:00,google/gemini-3.1-pro-preview,false,1,93.24,70.14,46.3667,3,3,3,,,,,,
2026-04-24T16:43:16.952675+00:00,google/gemini-3.1-pro-preview,false,2,93.18,68.4,45.8667,3,3,3,,,,,,
2026-04-24T16:43:16.955053+00:00,google/gemini-3.1-pro-preview,false,3,93.35,71.7,44.8,3,3,3,,,,,,
2026-04-24T16:43:16.956710+00:00,google/gemini-3.1-pro-preview,false,4,93.59,70.96,46.5,3,3,2,,,,,,
2026-04-24T16:43:16.958189+00:00,google/gemini-3.1-pro-preview,false,mean,93.48,70.812,45.66668,3.0,3.0,2.8,0.35007142128428864,1.6788448409546348,0.8256401558790628,0.0,0.0,0.4472135954999579
2026-04-24T16:44:01.331983+00:00,openai/gpt-5.4,false,0,93.68,71.14,45.8333,5,6,6,,,,,,
2026-04-24T16:44:01.334174+00:00,openai/gpt-5.4,false,1,93.39,71.7,45.8667,5,6,6,,,,,,
2026-04-24T16:44:01.336025+00:00,openai/gpt-5.4,false,2,93.49,73.18,46.0667,6,6,6,,,,,,
2026-04-24T16:44:01.337828+00:00,openai/gpt-5.4,false,3,93.87,70.96,45.8667,6,6,6,,,,,,
2026-04-24T16:44:01.339643+00:00,openai/gpt-5.4,false,4,93.9,71.7,45.7333,6,6,6,,,,,,
2026-04-24T16:44:01.341496+00:00,openai/gpt-5.4,false,mean,93.666,71.736,45.87334,5.6,6.0,6.0,0.22567675999092496,0.8725136102090368,0.12113078881935722,0.5477225575051661,0.0,0.0
2026-04-24T16:44:06.281754+00:00,deepseek-reasoner,false,0,94.08,73.26,47.3333,5,6,6,,,,,,
2026-04-24T16:44:06.283592+00:00,deepseek-reasoner,false,1,94.19,70.46,46.0,6,6,6,,,,,,
2026-04-24T16:44:06.285263+00:00,deepseek-reasoner,false,2,93.51,71.04,44.8333,6,6,6,,,,,,
2026-04-24T16:44:06.286769+00:00,deepseek-reasoner,false,3,93.75,71.92,44.9,6,6,7,,,,,,
2026-04-24T16:44:06.288349+00:00,deepseek-reasoner,false,4,93.69,70.44,44.8333,6,6,7,,,,,,
2026-04-24T16:44:06.290034+00:00,deepseek-reasoner,false,mean,93.844,71.424,45.57998,5.8,6.0,6.4,0.2826305008310298,1.1897394672784491,1.0986335453644225,0.4472135954999579,0.0,0.5477225575051661
2026-04-24T16:44:59.575492+00:00,google/gemini-3.1-pro-preview,false,0,93.36,70.42,45.9,13,13,14,,,,,,
2026-04-24T16:44:59.577852+00:00,google/gemini-3.1-pro-preview,false,1,93.36,70.42,45.9,13,13,14,,,,,,
2026-04-24T16:44:59.579728+00:00,google/gemini-3.1-pro-preview,false,2,93.44,71.14,46.1,13,13,14,,,,,,
2026-04-24T16:44:59.581698+00:00,google/gemini-3.1-pro-preview,false,3,93.18,70.88,44.7667,13,13,14,,,,,,
2026-04-24T16:44:59.583666+00:00,google/gemini-3.1-pro-preview,false,4,93.18,71.04,44.8333,13,14,14,,,,,,
2026-04-24T16:44:59.585635+00:00,google/gemini-3.1-pro-preview,false,mean,93.304,70.78,45.5,13.0,13.2,14.0,0.11781341180018075,0.34146742157927756,0.644635125477971,0.0,0.4472135954999579,0.0
2026-04-24T16:45:02.666371+00:00,deepseek-reasoner,false,0,92.83,71.12,46.8333,7,9,9,,,,,,
2026-04-24T16:45:02.668648+00:00,deepseek-reasoner,false,1,93.02,70.18,46.5,9,9,9,,,,,,
2026-04-24T16:45:02.670665+00:00,deepseek-reasoner,false,2,93.53,71.8,45.5667,9,9,9,,,,,,
2026-04-24T16:45:02.672846+00:00,deepseek-reasoner,false,3,93.66,72.4,44.5,9,9,9,,,,,,
