timestamp,model,is_final,seed,elapsed_mnist-cnn,elapsed_fmnist-cnn,risk_certificate_mnist-fcn,test_error_mnist-fcn,kl_divergence_mnist-fcn,ce_bound_mnist-fcn,empirical_01_risk_mnist-fcn,elapsed_mnist-fcn,risk_certificate_mnist-cnn,test_error_mnist-cnn,kl_divergence_mnist-cnn,ce_bound_mnist-cnn,empirical_01_risk_mnist-cnn,risk_certificate_fmnist-cnn,test_error_fmnist-cnn,kl_divergence_fmnist-cnn,ce_bound_fmnist-cnn,empirical_01_risk_fmnist-cnn,risk_certificate_mnist-fcn_std,test_error_mnist-fcn_std,kl_divergence_mnist-fcn_std,ce_bound_mnist-fcn_std,empirical_01_risk_mnist-fcn_std,risk_certificate_mnist-cnn_std,test_error_mnist-cnn_std,kl_divergence_mnist-cnn_std,ce_bound_mnist-cnn_std,empirical_01_risk_mnist-cnn_std,risk_certificate_fmnist-cnn_std,test_error_fmnist-cnn_std,kl_divergence_fmnist-cnn_std,ce_bound_fmnist-cnn_std,empirical_01_risk_fmnist-cnn_std
2026-04-23T07:05:36.320326+00:00,baseline:catoni,true,42,63,64,0.040395,0.0229,131.92,0.159797,0.0228,60,0.018122,0.0094,42.2,0.064234,0.010867,0.102704,0.0918,36.71,0.312861,0.086267,,,,,,,,,,,,,,,
2026-04-04T08:46:27.744051+00:00,baseline:catoni,true,123,58.1,68.4,0.062142,0.0204,731.99,0.231477,0.0166,55.6,0.028715,0.0088,268.77,0.107849,0.009167,0.131805,0.0894,401.32,0.521503,0.079433,,,,,,,,,,,,,,,
2026-04-04T08:47:38.022930+00:00,baseline:catoni,true,456,71.1,68.6,0.064714,0.0202,754.1,0.232372,0.017533,56.0,0.028224,0.0103,266.59,0.106252,0.008933,0.129981,0.09,420.77,0.519298,0.076833,,,,,,,,,,,,,,,
2026-04-23T07:05:36.320326+00:00,baseline:catoni,true,mean,64.06666666666666,67.0,0.055750333333333325,0.021166666666666667,539.3366666666667,0.20788199999999998,0.018977666666666667,57.199999999999996,0.025020333333333335,0.0095,192.51999999999998,0.09277833333333334,0.009655666666666667,0.12149666666666668,0.0904,286.26666666666665,0.4512206666666667,0.08084433333333334,0.010908513260548182,0.0012283683848458853,288.22846058099276,0.034003192742250936,0.002729505001929023,0.004881975169493958,0.0006164414002968974,106.2960171721719,0.020194418805424653,0.0008618527845416653,0.013309269560055589,0.0010198039027185626,176.64177126477065,0.09783919980026186,0.003978608243538882
2026-04-04T12:30:23.743917+00:00,baseline:mcallester,true,42,57.4,58.3,0.03688,0.0231,71.9,0.166258,0.023867,54.4,0.016208,0.0092,10.0,0.075078,0.011867,0.10185,0.0894,38.32,0.305303,0.0852,,,,,,,,,,,,,,,
2026-04-06T10:48:22.314403+00:00,anthropic/claude-opus-4.6,false,42,65,65,0.039442,0.0219,113.57,0.161298,0.023133,61,0.017327,0.0099,38.2,0.067678,0.0105,0.100139,0.0885,25.41,0.304949,0.085967,,,,,,,,,,,,,,,
2026-04-06T12:08:04.421128+00:00,anthropic/claude-opus-4.6,true,42,72,72,0.036202,0.0219,76.23,0.158567,0.023,67,0.017048,0.0098,28.77,0.065797,0.010933,0.098622,0.0894,23.32,0.311857,0.084967,,,,,,,,,,,,,,,
2026-04-06T10:53:57.894983+00:00,deepseek-reasoner,true,42,64,64,0.03691,0.0232,71.78,0.166249,0.0239,58,0.016217,0.0098,10.08,0.075343,0.011867,0.103255,0.0895,44.17,0.30499,0.085533,,,,,,,,,,,,,,,
2026-04-06T08:07:47.502323+00:00,google/gemini-3.1-pro-preview,false,42,69,69,0.032692,0.0249,9.23,0.171025,0.0266,64,0.015583,0.0097,6.01,0.073948,0.011767,0.103513,0.0915,22.77,0.336242,0.089667,,,,,,,,,,,,,,,
2026-04-06T10:09:07.698242+00:00,google/gemini-3.1-pro-preview,true,42,69,69,0.032692,0.0249,9.23,0.171025,0.0266,64,0.015583,0.0097,6.01,0.073948,0.011767,0.103513,0.0915,22.77,0.336242,0.089667,,,,,,,,,,,,,,,
