timestamp,model,is_final,seed,eval_return_breakout_v4,eval_return_seaquest_v4,eval_return_pong_v4,eval_return_breakout_v4_std,eval_return_seaquest_v4_std,eval_return_pong_v4_std,elapsed_breakout-v4,elapsed_seaquest-v4,elapsed_pong-v4,elapsed_breakout-v4_std,elapsed_seaquest-v4_std,elapsed_pong-v4_std
2026-04-02T17:46:33.498262+00:00,anthropic/claude-opus-4.6,false,42,186.6,2384.0,17.0,,,,,,23786,,,
2026-04-02T17:46:33.498749+00:00,anthropic/claude-opus-4.6,false,123,69.6,5230.0,21.0,,,,,,23786,,,
2026-04-02T17:46:33.499071+00:00,anthropic/claude-opus-4.6,false,456,11.0,9715.0,20.7,,,,,23557,23786,,,
2026-04-02T17:46:33.499286+00:00,anthropic/claude-opus-4.6,false,mean,89.06666666666666,5776.333333333333,19.566666666666666,89.40387761911299,3695.9099465941176,2.227853974867593,,23557.0,23786.0,,,0.0
2026-04-03T00:11:14.164174+00:00,anthropic/claude-opus-4.6,false,42,5.8,150.0,-17.9,,,,,,,,,
2026-04-04T06:30:01.267956+00:00,anthropic/claude-opus-4.6,true,42,181.1,3934.0,20.5,,,,,,31894,,,
2026-04-04T06:30:01.268698+00:00,anthropic/claude-opus-4.6,true,123,208.0,3496.0,21.0,,,,,,31894,,,
2026-04-04T06:30:01.269087+00:00,anthropic/claude-opus-4.6,true,456,253.2,9906.0,20.6,,,,,31894,31894,,,
2026-04-04T06:30:01.269421+00:00,anthropic/claude-opus-4.6,true,mean,214.1,5778.666666666667,20.7,36.435010635376514,3581.0782361368947,0.2645751311064588,,31894.0,31894.0,,,0.0
2026-03-31T01:43:16.849048+00:00,baseline:c51,true,42,366.3,1270.0,20.0,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:c51,true,123,220.6,804.0,20.4,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:c51,true,456,207.0,834.0,20.4,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:c51,true,mean,264.6333333333333,969.3333333333334,20.266666666666666,88.3081158973134,260.81666613415126,0.2309401076758495,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,42,141.6,7178.0,20.4,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,123,125.6,5386.0,20.6,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,456,244.8,7804.0,21.0,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,mean,170.66666666666666,6789.333333333333,20.666666666666668,64.69786189151334,1254.9810091524625,0.3055050463303898,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,42,246.9,7892.0,20.9,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,123,185.7,7038.0,20.9,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,456,324.7,12152.0,21.0,,,,,,,,,
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,mean,252.4333333333333,9027.333333333334,20.933333333333334,69.6650079547353,2739.5228294966505,0.0577350269189634,,,,,,
2026-04-05T23:38:53.558748+00:00,deepseek-reasoner,false,42,,1462.0,14.6,,,,20,34386,35954,,,
2026-04-05T23:38:53.559508+00:00,deepseek-reasoner,false,123,,,20.6,,,,20,34386,35954,,,
2026-04-05T23:38:53.561076+00:00,deepseek-reasoner,false,456,,2140.0,16.1,,,,20,35954,35954,,,
2026-04-05T23:38:53.561836+00:00,deepseek-reasoner,false,mean,,1801.0,17.1,,479.4183976444792,3.1224989991991996,20.0,34908.666666666664,35954.0,0.0,905.2852220893332,0.0
2026-04-06T11:41:02.407195+00:00,deepseek-reasoner,false,42,294.6,2812.0,7.4,,,,,,,,,
2026-05-03T09:14:10.073599+00:00,deepseek-reasoner,true,42,294.6,2812.0,7.4,,,,,,,,,
2026-04-02T13:49:21.990175+00:00,google/gemini-3.1-pro-preview,false,42,,9774.0,20.7,,,,15,28374,28241,,,
2026-04-02T13:49:21.990667+00:00,google/gemini-3.1-pro-preview,false,123,,5634.0,20.7,,,,16,28374,28241,,,
2026-04-02T13:49:21.991105+00:00,google/gemini-3.1-pro-preview,false,456,,7428.0,21.0,,,,16,28241,28241,,,
2026-04-02T13:49:21.991298+00:00,google/gemini-3.1-pro-preview,false,mean,,7612.0,20.8,,2076.1242737370035,0.17320508075688815,15.666666666666666,28329.666666666668,28241.0,0.5773502691896257,76.78758580222022,0.0
2026-04-02T22:17:53.214765+00:00,google/gemini-3.1-pro-preview,false,42,125.5,1670.0,15.0,,,,,,,,,
2026-05-03T09:14:15.158268+00:00,google/gemini-3.1-pro-preview,true,42,125.5,1670.0,15.0,,,,,,,,,
2026-04-22T17:32:29.879547+00:00,gpt-5.4,false,42,162.1,5630.0,20.6,,,,,,,,,
2026-04-22T17:32:29.881498+00:00,gpt-5.4,false,123,141.6,6354.0,20.7,,,,,,,,,
2026-04-22T17:32:29.882851+00:00,gpt-5.4,false,456,248.1,4884.0,19.6,,,,,,,,,
2026-04-22T17:32:29.884137+00:00,gpt-5.4,false,mean,183.93333333333334,5622.666666666667,20.3,56.50737415004641,735.0274371296172,0.6082762530298212,,,,,,
2026-04-23T06:36:08.876375+00:00,gpt-5.4,false,42,238.6,3916.0,18.9,,,,,,,,,
2026-04-23T06:36:08.877887+00:00,gpt-5.4,false,123,82.0,4306.0,20.7,,,,,,,,,
2026-04-23T06:36:08.878661+00:00,gpt-5.4,false,456,56.4,3472.0,17.2,,,,,,,,,
2026-04-23T06:36:08.879379+00:00,gpt-5.4,false,mean,125.66666666666666,3898.0,18.933333333333334,98.63718027870289,417.29126518536185,1.7502380790433436,,,,,,
2026-04-23T06:36:12.478403+00:00,gpt-5.4,true,42,162.1,5630.0,20.6,,,,,,,,,
2026-04-23T06:36:12.479803+00:00,gpt-5.4,true,123,141.6,6354.0,20.7,,,,,,,,,
2026-04-23T06:36:12.480671+00:00,gpt-5.4,true,456,248.1,4884.0,19.6,,,,,,,,,
2026-04-23T06:36:12.481873+00:00,gpt-5.4,true,mean,183.93333333333334,5622.666666666667,20.3,56.50737415004641,735.0274371296172,0.6082762530298212,,,,,,
2026-04-25T00:33:58.036640+00:00,qwen3.6-plus,false,42,66.2,56.0,2.5,,,,,,,,,
2026-04-25T00:33:58.046554+00:00,qwen3.6-plus,false,123,77.5,748.0,20.7,,,,,,,,,
2026-04-25T00:33:58.074945+00:00,qwen3.6-plus,false,456,40.0,1092.0,20.0,,,,,,,,,
2026-04-25T00:33:58.076476+00:00,qwen3.6-plus,false,mean,61.233333333333334,632.0,14.4,19.237030262837695,527.6514000739503,10.311643903859364,,,,,,
2026-04-27T16:04:09.486291+00:00,qwen3.6-plus,false,42,145.0,3720.0,20.1,,,,,,,,,
2026-04-27T16:04:09.506558+00:00,qwen3.6-plus,false,123,169.0,3198.0,6.1,,,,,,,,,
2026-04-27T16:04:09.508658+00:00,qwen3.6-plus,false,456,271.8,2880.0,12.6,,,,,,,,,
2026-04-27T16:04:09.510436+00:00,qwen3.6-plus,false,mean,195.26666666666668,3266.0,12.933333333333334,67.35735545085878,424.10847668963186,7.005949852327902,,,,,,
2026-04-29T06:58:51.379407+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,
2026-04-29T06:58:51.380521+00:00,qwen3.6-plus,false,123,,,,,,,,,,,,
2026-04-29T06:58:51.381389+00:00,qwen3.6-plus,false,456,,,,,,,,,,,,
2026-04-29T06:59:56.284590+00:00,qwen3.6-plus,true,42,145.0,3720.0,20.1,,,,,,,,,
2026-04-29T06:59:56.287599+00:00,qwen3.6-plus,true,123,169.0,3198.0,6.1,,,,,,,,,
2026-04-29T06:59:56.289369+00:00,qwen3.6-plus,true,456,271.8,2880.0,12.6,,,,,,,,,
2026-04-29T06:59:56.291097+00:00,qwen3.6-plus,true,mean,195.26666666666668,3266.0,12.933333333333334,67.35735545085878,424.10847668963186,7.005949852327902,,,,,,
