timestamp,model,is_final,seed,hopper_normalized_score,elapsed_train_hopper,elapsed_train_walker2d,elapsed_train_halfcheetah,walker2d_normalized_score,halfcheetah_normalized_score,hopper_sampling_steps,walker2d_sampling_steps,halfcheetah_sampling_steps
2026-04-28T05:32:33.693713+00:00,baseline:ddim,true,42,1.0045,13371,4281,4322,0.8598,0.4754,20,20,20
2026-04-27T11:44:24.610741+00:00,baseline:default,true,42,0.7841,60843,20259,20541,0.8337,0.4424,100,100,100
2026-04-27T23:19:21.816652+00:00,baseline:dpm_solver,true,42,1.0081,8137,2814,2835,0.8779,0.5037,10,10,10
2026-05-01T22:13:13.237843+00:00,claude-opus-4-6,false,42,1.0121,9945.9,3362.3,3367.6,0.8757,0.5316,10,10,10
2026-05-02T03:07:55.904607+00:00,claude-opus-4-6,false,42,0.7186,10486.1,3537.4,3550.2,0.8895,0.5184,10,10,10
2026-05-02T07:42:27.886265+00:00,claude-opus-4-6,false,42,1.0074,9719.4,3296.1,3401.4,0.874,0.5042,10,10,10
2026-05-03T14:39:36.179018+00:00,claude-opus-4-6,true,42,1.0121,9945.9,3362.3,3367.6,0.8757,0.5316,10,10,10
2026-05-01T22:15:08.206790+00:00,gemini/gemini-3.1-pro-preview,false,42,1.0147,10160.9,3352.4,3307.4,0.8662,0.5144,5,5,5
2026-05-02T02:52:58.708553+00:00,gemini/gemini-3.1-pro-preview,false,42,1.0144,9959.4,3296.1,3352.6,0.8685,0.5154,5,5,5
2026-05-02T07:24:51.125992+00:00,gemini/gemini-3.1-pro-preview,false,42,0.6612,9597.4,3317.7,3373.3,0.8612,0.4918,3,3,3
2026-05-03T14:39:44.761460+00:00,gemini/gemini-3.1-pro-preview,true,42,1.0144,9959.4,3296.1,3352.6,0.8685,0.5154,5,5,5
2026-05-02T18:03:02.793585+00:00,openai/gpt-5.4,false,42,,,,,,,,,
2026-05-02T22:49:52.851340+00:00,openai/gpt-5.4,false,42,0.5468,10141,3483,3530,0.8705,0.4852,10,10,10
2026-05-03T03:37:41.689028+00:00,openai/gpt-5.4,false,42,,,,,,,,,
2026-05-03T03:37:47.133654+00:00,openai/gpt-5.4,true,42,0.5468,10141,3483,3530,0.8705,0.4852,10,10,10
2026-05-01T20:32:46.599441+00:00,qwen3.6-plus,false,42,1.0215,6310.9,2136.5,2157.1,0.5672,0.5219,5,5,5
2026-05-02T01:11:47.614217+00:00,qwen3.6-plus,false,42,0.4343,9989.7,3330.0,3374.7,0.641,0.5098,10,10,10
,qwen3.6-plus,false,42,,,,,,,,,
2026-05-02T01:12:07.398314+00:00,qwen3.6-plus,true,42,1.0215,6310.9,2136.5,2157.1,0.5672,0.5219,5,5,5
2026-05-02T12:55:29.288845+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,1.0112,10600.1,3584.4,3559.8,0.8793,0.5026,11,11,11
2026-05-02T17:50:43.659016+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,1.0088,10490.1,3529.9,3516.8,0.8756,0.501,11,11,11
,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,
2026-05-02T17:52:06.324535+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,1.0112,10600.1,3584.4,3559.8,0.8793,0.5026,11,11,11
