timestamp,model,is_final,seed,success_rate_diverse-commands,avg_vel_error_diverse-commands,fall_rate_diverse-commands,success_rate_forward-only,avg_vel_error_forward-only,fall_rate_forward-only,success_rate_high-speed,avg_vel_error_high-speed,fall_rate_high-speed,elapsed_train,elapsed_diverse-commands,elapsed_forward-only,elapsed_high-speed
2026-05-02T16:34:44.564340+00:00,baseline:default,true,42,0.96,0.3299,0.03,1.0,0.2468,0.0,0.23,0.6901,0.2,11110,491,491,491
2026-05-02T16:24:49.424680+00:00,baseline:ppo_adaptive_kl,true,42,0.97,0.3198,0.0,1.0,0.3208,0.0,0.13,0.7576,0.31,11055,462,462,462
2026-05-02T16:33:55.773830+00:00,baseline:ppo_layernorm,true,42,1.0,0.287,0.0,1.0,0.2524,0.0,0.27,0.6696,0.02,11267,393,401,401
2026-05-04T10:06:34.633590+00:00,claude-opus-4-6,true,42,,,,,,,,,,,,,
2026-05-04T16:19:09.111082+00:00,claude-opus-4-6,false,42,0.85,0.3999,0.0,1.0,0.2803,0.0,0.31,0.6561,0.25,11277,471,471,471
2026-05-04T18:04:29.169059+00:00,claude-opus-4-6,false,42,0.85,0.3999,0.0,1.0,0.2803,0.0,0.31,0.6561,0.25,0,498,505,506
2026-05-04T18:04:50.499014+00:00,claude-opus-4-6,true,42,0.85,0.3999,0.0,1.0,0.2803,0.0,0.31,0.6561,0.25,11277,471,471,471
2026-05-04T10:06:58.912016+00:00,gemini-3.1-pro-preview,true,42,,,,,,,,,,,,,
2026-05-04T17:13:47.598708+00:00,gemini-3.1-pro-preview,false,42,0.95,0.2715,0.05,0.79,0.4152,0.21,0.12,1.4035,0.78,11657,485,485,485
2026-05-05T01:16:14.760996+00:00,gemini-3.1-pro-preview,true,42,,,,,,,,,,,,,
2026-05-04T10:05:38.096035+00:00,openai/gpt-5.4,true,42,,,,,,,,,,,,,
2026-05-05T01:05:45.162430+00:00,openai/gpt-5.4,true,42,,,,,,,,,,,,,
2026-05-04T10:05:17.641108+00:00,qwen3.6-plus,true,42,,,,,,,,,,,,,
2026-05-04T18:33:36.810962+00:00,qwen3.6-plus,false,42,0.26,0.643,0.14,0.13,0.6436,0.08,0.04,0.8896,0.49,11548,441,445,445
2026-05-05T01:14:38.547696+00:00,qwen3.6-plus,false,42,0.26,0.643,0.14,0.13,0.6436,0.08,0.04,0.8896,0.49,1,503,503,506
2026-05-05T01:14:54.947532+00:00,qwen3.6-plus,true,42,0.26,0.643,0.14,0.13,0.6436,0.08,0.04,0.8896,0.49,11548,441,445,445
2026-05-04T10:07:10.444616+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,,,,,,,,,,,,,
2026-05-04T14:44:18.089366+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,,,,,,,,,,,,,
