timestamp,model,is_final,seed,success_rate_tool_hang_ph,success_rate_can_ph,success_rate_square_ph,elapsed_tool_hang_ph,elapsed_can_ph,elapsed_square_ph,success_rate_tool_hang_ph_std,success_rate_can_ph_std,success_rate_square_ph_std,elapsed_can_ph_std,elapsed_square_ph_std,elapsed_tool_hang_ph_std
2026-04-19T22:59:19.760215+00:00,baseline:attention_fusion,true,42,0.08,0.76,0.64,23448,9893,11672,,,,,,
2026-04-19T22:59:19.764157+00:00,baseline:attention_fusion,true,123,0.12,0.86,0.74,23448,9893,11752,,,,,,
2026-04-19T22:59:19.765310+00:00,baseline:attention_fusion,true,456,0.14,0.88,0.66,23448,9893,11943,,,,,,
2026-04-19T22:59:19.765310+00:00,baseline:attention_fusion,true,mean,0.11333333333333334,0.8333333333333334,0.68,23448.0,9893.0,11789.0,0.024944382578492946,0.0524933858267454,0.043204937989385725,,,
2026-04-19T19:57:23.528029+00:00,baseline:default,true,42,0.1,0.86,0.76,21585,7875,10082,,,,,,
2026-04-19T19:57:41.326062+00:00,baseline:default,true,123,0.08,0.86,0.64,21585,7875,10454,,,,,,
2026-04-19T19:57:41.466788+00:00,baseline:default,true,456,0.26,0.84,0.8,21753,7892,10454,,,,,,
2026-04-19T19:57:41.466788+00:00,baseline:default,true,mean,0.14666666666666667,0.8533333333333334,0.7333333333333334,21641.0,7880.666666666667,10330.0,0.08055363982396381,0.009428090415820642,0.0679869268479038,,,
2026-04-19T21:20:07.205661+00:00,baseline:gated_fusion,true,42,0.1,0.96,0.68,24376,8928,12704,,,,,,
2026-04-19T21:20:07.306321+00:00,baseline:gated_fusion,true,123,0.12,0.94,0.62,24432,8987,12856,,,,,,
2026-04-19T21:20:07.423738+00:00,baseline:gated_fusion,true,456,0.14,0.98,0.62,24432,8987,12856,,,,,,
2026-04-19T21:20:07.423738+00:00,baseline:gated_fusion,true,mean,0.12,0.96,0.64,24413.333333333332,8967.333333333334,12805.333333333334,0.016329931618554526,0.016329931618554536,0.02828427124746193,,,
2026-04-21T16:03:36.486676+00:00,claude-opus-4.6,false,42,0.12,0.78,0.64,23728,9954,12227,,,,,,
2026-04-21T16:03:36.490990+00:00,claude-opus-4.6,false,123,0.12,0.9,0.68,23728,9954,12227,,,,,,
2026-04-21T16:03:36.495587+00:00,claude-opus-4.6,false,456,0.12,0.84,0.58,23728,9954,12475,,,,,,
2026-04-21T16:03:36.498477+00:00,claude-opus-4.6,false,mean,0.12,0.84,0.6333333333333333,23728.0,9954.0,12309.666666666666,0.0,0.06,0.050332229568471706,0.0,143.18286675902718,0.0
2026-04-21T18:34:19.181997+00:00,claude-opus-4.6,false,42,0.12,0.78,0.64,23728,9954,12227,,,,,,
2026-04-21T18:34:19.187160+00:00,claude-opus-4.6,false,123,0.12,0.9,0.68,23728,9954,12227,,,,,,
2026-04-21T18:34:19.189005+00:00,claude-opus-4.6,false,456,0.12,0.84,0.58,23728,9954,12475,,,,,,
2026-04-21T18:34:19.190297+00:00,claude-opus-4.6,false,mean,0.12,0.84,0.6333333333333333,23728.0,9954.0,12309.666666666666,0.0,0.06,0.050332229568471706,0.0,143.18286675902718,0.0
2026-04-25T16:50:24.832606+00:00,claude-opus-4.6,false,42,0.14,0.94,0.7,25886,9495,12910,,,,,,
2026-04-25T16:50:24.837143+00:00,claude-opus-4.6,false,123,0.14,0.92,0.74,25886,9495,12910,,,,,,
2026-04-25T16:50:24.838938+00:00,claude-opus-4.6,false,456,0.18,0.92,0.66,25886,9495,12910,,,,,,
2026-04-25T16:50:24.840715+00:00,claude-opus-4.6,false,mean,0.15333333333333335,0.9266666666666666,0.7,25886.0,9495.0,12910.0,0.023094010767585018,0.011547005383792462,0.03999999999999998,0.0,0.0,0.0
2026-04-25T16:50:28.913985+00:00,claude-opus-4.6,true,42,0.14,0.94,0.7,25886,9495,12910,,,,,,
2026-04-25T16:50:28.916469+00:00,claude-opus-4.6,true,123,0.14,0.92,0.74,25886,9495,12910,,,,,,
2026-04-25T16:50:28.918276+00:00,claude-opus-4.6,true,456,0.18,0.92,0.66,25886,9495,12910,,,,,,
2026-04-25T16:50:28.920070+00:00,claude-opus-4.6,true,mean,0.15333333333333335,0.9266666666666666,0.7,25886.0,9495.0,12910.0,0.023094010767585018,0.011547005383792462,0.03999999999999998,0.0,0.0,0.0
2026-04-21T16:03:51.362270+00:00,deepseek-reasoner,false,42,0.24,,0.58,26409,15,12183,,,,,,
2026-04-21T16:03:51.366328+00:00,deepseek-reasoner,false,123,0.14,0.9,0.7,26409,8972,12183,,,,,,
2026-04-21T16:03:51.367892+00:00,deepseek-reasoner,false,456,0.16,0.9,,26409,8972,12183,,,,,,
2026-04-21T16:03:51.369451+00:00,deepseek-reasoner,false,mean,0.18,0.9,0.6399999999999999,26409.0,5986.333333333333,12183.0,0.0529150262212918,0.0,0.0848528137423857,5171.326361131478,0.0,0.0
2026-04-21T18:34:44.093892+00:00,deepseek-reasoner,false,42,0.24,,0.58,26409,15,12183,,,,,,
2026-04-21T18:34:44.097916+00:00,deepseek-reasoner,false,123,0.14,0.9,0.7,26409,8972,12183,,,,,,
2026-04-21T18:34:44.099413+00:00,deepseek-reasoner,false,456,0.16,0.9,,26409,8972,12183,,,,,,
2026-04-21T18:34:44.100879+00:00,deepseek-reasoner,false,mean,0.18,0.9,0.6399999999999999,26409.0,5986.333333333333,12183.0,0.0529150262212918,0.0,0.0848528137423857,5171.326361131478,0.0,0.0
2026-04-25T18:28:29.282494+00:00,deepseek-reasoner,false,42,0.14,0.86,0.58,27843,11899,14700,,,,,,
2026-04-25T18:28:29.286391+00:00,deepseek-reasoner,false,123,0.2,0.84,0.62,27843,11899,15232,,,,,,
2026-04-25T18:28:29.288361+00:00,deepseek-reasoner,false,456,0.22,0.84,0.6,27843,11899,15260,,,,,,
2026-04-25T18:28:29.290300+00:00,deepseek-reasoner,false,mean,0.18666666666666668,0.8466666666666667,0.6,27843.0,11899.0,15064.0,0.04163331998932265,0.011547005383792526,0.020000000000000018,0.0,315.54397474837003,0.0
2026-04-25T18:28:45.952543+00:00,deepseek-reasoner,true,42,0.14,0.86,0.58,27843,11899,14700,,,,,,
2026-04-25T18:28:45.955151+00:00,deepseek-reasoner,true,123,0.2,0.84,0.62,27843,11899,15232,,,,,,
2026-04-25T18:28:45.957146+00:00,deepseek-reasoner,true,456,0.22,0.84,0.6,27843,11899,15260,,,,,,
2026-04-25T18:28:45.959103+00:00,deepseek-reasoner,true,mean,0.18666666666666668,0.8466666666666667,0.6,27843.0,11899.0,15064.0,0.04163331998932265,0.011547005383792526,0.020000000000000018,0.0,315.54397474837003,0.0
2026-04-22T02:51:13.041682+00:00,gemini-3.1-pro-preview,false,42,0.18,0.86,0.56,24068,10580,13738,,,,,,
2026-04-22T02:51:13.047352+00:00,gemini-3.1-pro-preview,false,123,0.16,0.9,0.62,24516,10580,13738,,,,,,
2026-04-22T02:51:13.048893+00:00,gemini-3.1-pro-preview,false,456,0.18,0.84,0.58,24522,10580,13738,,,,,,
2026-04-22T02:51:13.050391+00:00,gemini-3.1-pro-preview,false,mean,0.17333333333333334,0.8666666666666667,0.5866666666666667,24368.666666666668,10580.0,13738.0,0.011547005383792509,0.03055050463303896,0.030550504633038912,0.0,0.0,260.40225293444246
2026-04-25T07:21:32.308278+00:00,gemini-3.1-pro-preview,false,42,0.16,0.86,0.56,26844,10580,13738,,,,,,
2026-04-25T07:21:32.312846+00:00,gemini-3.1-pro-preview,false,123,0.16,0.9,0.62,26844,10580,13738,,,,,,
2026-04-25T07:21:32.314489+00:00,gemini-3.1-pro-preview,false,456,0.12,0.84,0.58,26844,10580,13738,,,,,,
2026-04-25T07:21:32.316099+00:00,gemini-3.1-pro-preview,false,mean,0.14666666666666667,0.8666666666666667,0.5866666666666667,26844.0,10580.0,13738.0,0.023094010767585035,0.03055050463303896,0.030550504633038912,0.0,0.0,0.0
2026-04-25T07:21:36.215670+00:00,gemini-3.1-pro-preview,true,42,0.18,0.86,0.56,24068,10580,13738,,,,,,
2026-04-25T07:21:36.217581+00:00,gemini-3.1-pro-preview,true,123,0.16,0.9,0.62,24516,10580,13738,,,,,,
2026-04-25T07:21:36.219211+00:00,gemini-3.1-pro-preview,true,456,0.18,0.84,0.58,24522,10580,13738,,,,,,
2026-04-25T07:21:36.220858+00:00,gemini-3.1-pro-preview,true,mean,0.17333333333333334,0.8666666666666667,0.5866666666666667,24368.666666666668,10580.0,13738.0,0.011547005383792509,0.03055050463303896,0.030550504633038912,0.0,0.0,260.40225293444246
2026-04-21T16:03:36.487265+00:00,gpt-5.4,false,42,0.16,,0.64,23307,12,12499,,,,,,
2026-04-21T16:03:36.494038+00:00,gpt-5.4,false,123,0.14,,0.64,23618,12,12604,,,,,,
2026-04-21T16:03:36.496928+00:00,gpt-5.4,false,456,0.12,,0.54,23618,12,12898,,,,,,
2026-04-21T16:03:36.499978+00:00,gpt-5.4,false,mean,0.14,,0.6066666666666667,23514.333333333332,12.0,12667.0,0.020000000000000004,,0.05773502691896256,0.0,206.8260138377182,179.5559337179736
2026-04-21T18:34:38.517060+00:00,gpt-5.4,false,42,0.16,,0.64,23307,12,12499,,,,,,
2026-04-21T18:34:38.520330+00:00,gpt-5.4,false,123,0.14,,0.64,23618,12,12604,,,,,,
2026-04-21T18:34:38.521763+00:00,gpt-5.4,false,456,0.12,,0.54,23618,12,12898,,,,,,
2026-04-21T18:34:38.523176+00:00,gpt-5.4,false,mean,0.14,,0.6066666666666667,23514.333333333332,12.0,12667.0,0.020000000000000004,,0.05773502691896256,0.0,206.8260138377182,179.5559337179736
2026-04-25T16:50:37.121754+00:00,gpt-5.4,false,42,0.16,,0.58,25898,8,14509,,,,,,
2026-04-25T16:50:37.124791+00:00,gpt-5.4,false,123,0.12,0.74,0.62,26027,10453,14635,,,,,,
2026-04-25T16:50:37.127127+00:00,gpt-5.4,false,456,,0.8,0.6,26027,10748,14913,,,,,,
2026-04-25T16:50:37.128970+00:00,gpt-5.4,false,mean,0.14,0.77,0.6,25984.0,7069.666666666667,14685.666666666666,0.028284271247461905,0.04242640687119289,0.020000000000000018,6117.361223054703,206.7107479869717,74.47818472546173
2026-04-25T16:50:41.769721+00:00,gpt-5.4,true,42,0.16,,0.58,25898,8,14509,,,,,,
2026-04-25T16:50:41.771981+00:00,gpt-5.4,true,123,0.12,0.74,0.62,26027,10453,14635,,,,,,
2026-04-25T16:50:41.773843+00:00,gpt-5.4,true,456,,0.8,0.6,26027,10748,14913,,,,,,
