timestamp,model,is_final,seed,asr_ResNet20_C10,avg_queries_ResNet20_C10,asr_MobileNetV2_C10,avg_queries_MobileNetV2_C10,asr_ResNet20_C100,avg_queries_ResNet20_C100,asr_VGG11BN_C100,avg_queries_VGG11BN_C100,asr_MobileNetV2_C100,avg_queries_MobileNetV2_C100,asr_VGG11BN_C10,avg_queries_VGG11BN_C10,elapsed_VGG11BN-C10,elapsed_MobileNetV2-C10,elapsed_ResNet20-C100,elapsed_VGG11BN-C100,elapsed_MobileNetV2-C100,elapsed_ResNet20-C10
2026-04-02T14:26:43.289522+00:00,baseline:random_search,true,42,0.565,65.0,0.52,65.0,0.615,65.0,0.3,65.0,0.59,65.0,0.255,65.0,1268.0,,,,,
2026-04-02T14:33:49.265502+00:00,baseline:spsa,true,42,0.955,768.0,0.92,768.0,0.91,768.0,0.62,768.0,0.885,768.0,0.605,768.0,402.2,15.4,11.1,1703.1,15.7,
2026-04-02T16:53:51.682754+00:00,baseline:square,true,42,0.995,121.0,0.975,139.21,0.985,72.5,0.89,263.79,0.99,86.19,0.91,212.34,32.5,44.8,24.4,35.8,48.6,25.9
2026-04-03T03:00:15.555006+00:00,anthropic/claude-opus-4.6,false,42,1.0,118.39,1.0,146.32,1.0,84.42,0.98,998.1,1.0,106.45,0.975,811.72,35,19,19,82,82,15
2026-04-03T04:16:13.861757+00:00,anthropic/claude-opus-4.6,false,42,1.0,114.16,1.0,149.28,1.0,91.74,0.98,961.33,1.0,110.57,0.965,903.08,52,21,21,85,85,18
2026-04-03T04:17:44.572603+00:00,anthropic/claude-opus-4.6,true,42,1.0,118.39,1.0,146.32,1.0,84.42,0.98,998.1,1.0,106.45,0.975,811.72,35,19,19,82,82,15
2026-04-25T06:11:58.122670+00:00,deepseek-reasoner,false,42,0.0,1000.0,0.0,1000.0,0.0,1000.0,,,0.0,1000.0,0.0,1000.0,11,15,15,,16,10
2026-04-25T07:20:37.816604+00:00,deepseek-reasoner,false,42,0.495,1000.0,0.415,1000.0,0.62,1000.0,,,0.635,1000.0,0.155,1000.0,10,15,15,,13,10
2026-04-25T08:20:25.638691+00:00,deepseek-reasoner,false,42,0.585,1000.0,,,,,,,0.65,1000.0,0.175,1000.0,12,6,6,,13,12
2026-04-25T08:20:44.740057+00:00,deepseek-reasoner,true,42,0.495,1000.0,0.415,1000.0,0.62,1000.0,,,0.635,1000.0,0.155,1000.0,10,15,15,,13,10
2026-04-03T02:24:54.906895+00:00,google/gemini-3.1-pro-preview,false,42,1.0,53.15,1.0,87.44,1.0,61.05,0.955,999.99,1.0,83.91,0.94,933.38,48,21,21,80,80,14
2026-04-03T03:21:52.228676+00:00,google/gemini-3.1-pro-preview,false,42,0.99,40.32,0.995,53.35,1.0,40.1,0.99,495.17,0.99,48.69,0.99,462.18,131,17,21,178,178,14
2026-04-03T03:20:28.495119+00:00,gpt-5.4-pro,false,42,0.995,279.32,0.99,251.03,0.99,309.09,0.86,589.25,1.0,315.85,0.91,560.62,167,115,218,157,303,167
2026-04-03T04:42:59.018530+00:00,gpt-5.4-pro,false,42,0.995,418.08,0.99,628.02,0.995,582.66,0.815,783.15,0.995,521.79,0.86,766.0,76,168,174,61,140,76
2026-04-03T04:52:04.565872+00:00,gpt-5.4-pro,true,42,0.995,279.32,0.99,251.03,0.99,309.09,0.86,589.25,1.0,315.85,0.91,560.62,167,115,218,157,303,167
2026-04-25T06:11:02.072333+00:00,qwen/qwen3.6-plus,false,42,0.0,1000.0,0.0,1000.0,0.0,1000.0,,,0.0,1000.0,0.0,1000.0,14,20,20,,24,14
2026-04-25T07:23:36.987884+00:00,qwen/qwen3.6-plus,false,42,0.0,1000.0,0.0,1000.0,0.0,1000.0,,,0.0,1000.0,0.0,1000.0,38,43,43,,27,37
2026-04-25T08:22:46.626179+00:00,qwen/qwen3.6-plus,false,42,0.0,1000.0,0.0,1000.0,0.0,1000.0,,,0.0,1000.0,0.0,1000.0,41,56,56,,29,40
2026-04-28T11:56:27.305956+00:00,openai/gpt-5.4,false,42,0.335,94.07,0.345,96.54,0.585,69.65,,,0.49,80.05,0.395,88.94,11,12,12,,11,11
2026-04-28T12:20:52.355411+00:00,openai/gpt-5.4,false,42,0.975,136.86,0.98,145.05,0.995,99.22,,,0.99,105.8,0.925,232.56,28,33,36,,31,28
2026-04-28T12:45:29.510330+00:00,openai/gpt-5.4,false,42,1.0,121.7,0.995,144.12,1.0,82.72,,,0.985,90.53,0.92,300.64,127,105,114,,25,85
2026-04-28T12:45:36.112736+00:00,openai/gpt-5.4,true,42,1.0,121.7,0.995,144.12,1.0,82.72,,,0.985,90.53,0.92,300.64,127,105,114,,25,85
2026-05-03T08:10:35.070078+00:00,qwen/qwen3.6-plus,true,42,0.0,1000.0,0.0,1000.0,0.0,1000.0,,,0.0,1000.0,0.0,1000.0,41,56,56,,29,40
2026-05-03T09:14:36.990417+00:00,google/gemini-3.1-pro-preview,true,42,0.99,40.32,0.995,53.35,1.0,40.1,0.99,495.17,0.99,48.69,0.99,462.18,131,17,21,178,178,14
