timestamp,model,is_final,seed,asr_ResNet20_C10,asr_MobileNetV2_C10,asr_ResNet20_C100,asr_MobileNetV2_C100,elapsed_VGG11BN-C10,elapsed_VGG11BN-C100,elapsed_ResNet20-C10,elapsed_MobileNetV2-C10,elapsed_ResNet20-C100,elapsed_MobileNetV2-C100,asr_VGG11BN_C100,asr_VGG11BN_C10
2026-04-24T06:46:13.460021+00:00,baseline:jsma,true,42,0.3,0.31,0.39,0.33,48,38.5,48,54,129,206,,0.23
2026-04-02T14:40:18.755098+00:00,baseline:onepixel,true,42,0.89,0.82,0.84,0.87,777.5,2074.7,,,,,0.76,0.66
2026-04-02T14:46:54.812983+00:00,baseline:pixle,true,42,0.48,0.5,0.59,0.49,381.6,194.9,,,99.5,,0.4,0.27
2026-04-24T09:44:36.130424+00:00,baseline:sparse_rs,true,42,1.0,1.0,1.0,1.0,17,,11,14,14,9,,1.0
2026-04-02T15:42:53.440642+00:00,baseline:sparsefool,true,42,0.31,0.35,0.31,0.21,5802.1,5028.2,5814.2,5127.7,5590.6,4987.5,0.39,0.41
2026-04-03T02:45:28.705077+00:00,anthropic/claude-opus-4.6,false,42,0.99,0.96,0.91,0.95,50,80,50,136,136,132,0.9,0.97
2026-04-03T04:14:23.495693+00:00,anthropic/claude-opus-4.6,false,42,0.99,0.94,0.93,0.95,49,80,49,187,187,141,0.92,0.99
2026-04-03T04:14:52.766259+00:00,anthropic/claude-opus-4.6,true,42,0.99,0.94,0.93,0.95,49,80,49,187,187,141,0.92,0.99
2026-04-25T06:11:27.896569+00:00,deepseek-reasoner,false,42,0.67,0.61,0.69,0.64,11,,11,19,19,11,,0.67
2026-04-25T07:19:51.119363+00:00,deepseek-reasoner,false,42,0.0,0.0,0.0,0.01,16,,16,23,23,18,,0.0
2026-04-25T08:20:09.145396+00:00,deepseek-reasoner,false,42,,0.88,,0.9,31,,7,47,47,19,,0.92
2026-04-25T08:21:07.700371+00:00,deepseek-reasoner,true,42,0.67,0.61,0.69,0.64,11,,11,19,19,11,,0.67
2026-04-03T11:08:05.236041+00:00,google/gemini-3.1-pro-preview,false,42,0.99,0.98,0.95,0.97,18,24,18,31,31,30,0.93,0.98
2026-04-03T11:09:18.604680+00:00,google/gemini-3.1-pro-preview,false,42,1.0,1.0,0.99,0.98,17,28,17,26,32,40,0.97,1.0
2026-04-03T11:09:29.368465+00:00,google/gemini-3.1-pro-preview,true,42,1.0,1.0,0.99,0.98,17,28,17,26,32,40,0.97,1.0
2026-04-25T06:25:54.878683+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,
2026-04-25T07:34:58.491549+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,
2026-04-25T08:37:38.851544+00:00,qwen/qwen3.6-plus,false,42,0.82,0.82,0.81,0.83,295,,295,155,155,119,,
2026-04-25T08:38:23.832949+00:00,qwen/qwen3.6-plus,true,42,0.82,0.82,0.81,0.83,295,,295,155,155,119,,
2026-04-28T12:12:02.629752+00:00,openai/gpt-5.4,false,42,0.97,0.97,0.95,0.96,10,,10,12,12,11,,0.99
2026-04-28T12:30:09.651752+00:00,openai/gpt-5.4,false,42,0.99,0.99,0.97,0.98,9,,9,11,11,10,,1.0
2026-04-28T12:30:11.425013+00:00,openai/gpt-5.4,true,42,0.99,0.99,0.97,0.98,9,,9,11,11,10,,1.0
