timestamp,model,is_final,seed,clean_acc_SmallCNN_MNIST,robust_acc_fgsm_SmallCNN_MNIST,robust_acc_pgd_SmallCNN_MNIST,elapsed_SmallCNN-MNIST,elapsed_VGG11BN-C10,elapsed_PreActResNet18-C100,elapsed_PreActResNet18-C10,clean_acc_PreActResNet18_C10,robust_acc_fgsm_PreActResNet18_C10,robust_acc_pgd_PreActResNet18_C10,clean_acc_PreActResNet18_C100,robust_acc_fgsm_PreActResNet18_C100,robust_acc_pgd_PreActResNet18_C100,clean_acc_VGG11BN_C10,robust_acc_fgsm_VGG11BN_C10,robust_acc_pgd_VGG11BN_C10
2026-04-24T12:01:48.226571+00:00,baseline:awp,true,42,0.9732,0.9434,0.9217,614,2214,4222,4228,0.8112,0.5751,0.537,0.5789,0.3289,0.3043,0.7642,0.4751,0.4235
2026-04-24T13:03:12.869113+00:00,baseline:mart,true,42,0.9837,0.9475,0.9055,534,1494,2509,2364,0.8342,0.578,0.4891,0.5425,0.312,0.2713,0.7344,0.5181,0.4746
2026-04-24T10:54:02.513725+00:00,baseline:pgdat,true,42,0.9856,0.9457,0.8932,523,1307,2249,2501,0.8501,0.5602,0.4585,0.5828,0.2755,0.2214,0.7796,0.4974,0.4194
2026-04-03T03:11:29.910225+00:00,baseline:standard,true,42,0.9911,0.1614,0.0001,103,,823,818,0.9501,0.4061,0.0,0.7703,0.0683,0.0,,,
2026-04-24T10:51:21.490938+00:00,baseline:trades,true,42,0.9863,0.9647,0.935,549,1479,2501,2633,0.7894,0.4924,0.441,0.5249,0.2552,0.2268,0.7421,0.4556,0.4065
2026-04-03T05:17:04.554135+00:00,anthropic/claude-opus-4.6,false,42,0.9905,0.9666,0.934,469,,2748,3316,0.8578,0.5656,0.4674,0.5965,0.2852,0.2254,,,
2026-04-03T13:02:24.080904+00:00,anthropic/claude-opus-4.6,false,42,0.9906,0.9649,0.9314,515,,2998,3594,0.8565,0.5666,0.4665,0.5892,0.2842,0.2319,,,
2026-04-03T15:32:00.884109+00:00,anthropic/claude-opus-4.6,false,42,0.9909,0.9634,0.931,491,,3064,4338,0.8743,0.5464,0.4458,0.6181,0.2938,0.2394,,,
2026-04-03T15:33:53.029290+00:00,anthropic/claude-opus-4.6,true,42,0.9906,0.9649,0.9314,515,,2998,3594,0.8565,0.5666,0.4665,0.5892,0.2842,0.2319,,,
2026-04-25T08:03:27.204023+00:00,deepseek-reasoner,false,42,0.991,0.9622,0.9282,465,1916,2754,2630,0.8674,0.5575,0.4507,0.5988,0.2766,0.2184,0.82,0.4936,0.3967
2026-04-25T11:04:01.937626+00:00,deepseek-reasoner,false,42,0.9878,0.9598,0.9332,598,9,3114,3217,0.8723,0.5513,0.4549,0.6126,0.2873,0.2298,,,
2026-04-25T12:49:48.129536+00:00,deepseek-reasoner,false,42,0.9903,0.9655,0.9335,506,1668,2762,3519,0.8686,0.5232,0.4288,0.6133,0.2752,0.2149,0.8283,0.4848,0.3891
2026-04-25T12:50:01.522623+00:00,deepseek-reasoner,true,42,0.991,0.9622,0.9282,465,1916,2754,2630,0.8674,0.5575,0.4507,0.5988,0.2766,0.2184,0.82,0.4936,0.3967
2026-04-03T05:20:57.847590+00:00,google/gemini-3.1-pro-preview,false,42,0.1135,0.1135,0.1135,503,,,4081,0.1,0.1,0.1,,,,,,
2026-04-03T07:28:07.617336+00:00,google/gemini-3.1-pro-preview,false,42,0.9893,0.9691,0.9423,591,,3720,3812,0.8619,0.5299,0.4469,0.595,0.2777,0.2242,,,
2026-04-03T09:41:17.393432+00:00,google/gemini-3.1-pro-preview,true,42,0.986,0.9589,0.9333,493,,3154,3373,0.8161,0.5169,0.4687,0.5351,0.2534,0.2243,,,
2026-04-25T08:19:38.850074+00:00,qwen/qwen3.6-plus,false,42,0.994,0.6037,0.1173,514,1549,2677,2959,0.6348,0.1981,0.0376,0.5732,0.1733,0.0998,0.5973,0.1813,0.0459
2026-04-25T11:06:03.457909+00:00,qwen/qwen3.6-plus,false,42,0.9771,0.9433,0.9049,547,1522,3007,3177,0.8254,0.5674,0.5121,0.5557,0.3033,0.2707,0.7781,0.4973,0.4488
2026-04-25T12:52:10.726977+00:00,qwen/qwen3.6-plus,false,42,0.9767,0.9378,0.9024,545,1829,3413,2885,0.8245,0.5659,0.5133,0.5571,0.3036,0.2731,0.7815,0.4986,0.4456
2026-04-25T12:52:50.207102+00:00,qwen/qwen3.6-plus,true,42,0.9767,0.9378,0.9024,545,1829,3413,2885,0.8245,0.5659,0.5133,0.5571,0.3036,0.2731,0.7815,0.4986,0.4456
2026-04-28T14:12:58.357279+00:00,openai/gpt-5.4,false,42,0.9895,0.9625,0.9322,739,1670,3082,4454,0.8639,0.5624,0.4374,0.599,0.2768,0.2157,0.815,0.5026,0.4355
2026-04-28T16:31:05.674289+00:00,openai/gpt-5.4,false,42,0.9897,0.9613,0.9293,642,1974,4288,3889,0.8433,0.5382,0.4319,0.5843,0.2598,0.2024,0.6744,0.4594,0.4105
2026-04-28T16:31:10.203369+00:00,openai/gpt-5.4,true,42,0.9895,0.9625,0.9322,739,1670,3082,4454,0.8639,0.5624,0.4374,0.599,0.2768,0.2157,0.815,0.5026,0.4355
