timestamp,model,is_final,seed,clean_acc_resnet20_cifar10_badnets,asr_resnet20_cifar10_badnets,poison_recall_resnet20_cifar10_badnets,defense_score_resnet20_cifar10_badnets,elapsed_resnet20-cifar10-badnets,clean_acc_vgg16bn_cifar100_blend,asr_vgg16bn_cifar100_blend,poison_recall_vgg16bn_cifar100_blend,defense_score_vgg16bn_cifar100_blend,elapsed_vgg16bn-cifar100-blend,clean_acc_mobilenetv2_fmnist_badnets,asr_mobilenetv2_fmnist_badnets,poison_recall_mobilenetv2_fmnist_badnets,defense_score_mobilenetv2_fmnist_badnets,elapsed_mobilenetv2-fmnist-badnets
2026-04-25T06:42:36.744870+00:00,qwen/qwen3.6-plus,false,42,0.9161,0.9521,0.368,0.482,708,0.6767,0.9995,0.0,0.3386,755,0.9373,1.0,0.049,0.4687,1780
2026-04-25T08:23:22.425517+00:00,qwen/qwen3.6-plus,false,42,0.915,0.9679,0.138,0.4736,733,0.6978,0.9999,0.0,0.349,705,,,,,19
2026-05-03T08:11:03.177141+00:00,qwen/qwen3.6-plus,true,42,0.9161,0.9521,0.368,0.482,708,0.6767,0.9995,0.0,0.3386,755,0.9373,1.0,0.049,0.4687,1780
2026-04-24T19:37:11.692389+00:00,baseline:activation_clustering,true,42,0.9209,0.9729,0.0016,0.474,687,0.6467,1.0,0.0,0.3234,667,0.9472,1.0,0.0,0.4736,2003
2026-04-24T20:03:33.207075+00:00,baseline:confidence_filter,true,42,0.9058,0.9719,0.0004,0.467,693,0.7154,1.0,0.0,0.3577,671,0.9392,1.0,0.0,0.4696,1722
2026-04-24T20:29:30.343539+00:00,baseline:spectral_signature,true,42,0.9211,0.9708,0.2688,0.4752,812,0.647,0.9999,0.0,0.3236,766,0.9373,1.0,0.1192,0.4687,1550
2026-04-24T19:34:45.092501+00:00,baseline:zscore_outlier,true,42,0.9154,0.9627,0.2636,0.4764,830,0.6934,1.0,0.0,0.3467,822,0.9414,1.0,0.0702,0.4707,1578
2026-04-25T07:17:32.327170+00:00,anthropic/claude-opus-4.6,false,42,0.917,0.9349,0.8268,0.4911,694,0.7272,1.0,0.0,0.3636,690,0.9291,1.0,0.1187,0.4645,1739
2026-04-25T08:55:01.968072+00:00,anthropic/claude-opus-4.6,false,42,0.921,0.6664,0.9816,0.6273,689,0.7223,1.0,0.008,0.3612,673,0.9237,1.0,0.0029,0.4619,1618
2026-04-25T10:28:08.575291+00:00,anthropic/claude-opus-4.6,false,42,0.9189,0.013,0.9888,0.9529,715,0.6799,0.9996,0.01,0.3402,678,0.9224,1.0,0.089,0.4612,1858
2026-04-25T10:28:31.170202+00:00,anthropic/claude-opus-4.6,true,42,0.9189,0.013,0.9888,0.9529,715,0.6799,0.9996,0.01,0.3402,678,0.9224,1.0,0.089,0.4612,1858
2026-04-25T06:21:35.833384+00:00,deepseek-reasoner,false,42,0.9189,0.9699,0.2896,0.4745,679,0.7263,1.0,0.0,0.3631,703,0.9413,1.0,0.0527,0.4706,1642
2026-04-25T07:55:09.831783+00:00,deepseek-reasoner,false,42,0.9178,0.9586,0.4152,0.4796,661,0.7239,0.9999,0.0,0.362,682,0.9371,1.0,0.2081,0.4685,1779
2026-04-25T09:22:43.082910+00:00,deepseek-reasoner,false,42,0.9116,0.9676,0.1148,0.472,1346,0.6854,0.9998,0.004,0.3428,667,0.939,1.0,0.0104,0.4695,2068
2026-04-25T09:22:55.405278+00:00,deepseek-reasoner,true,42,0.9178,0.9586,0.4152,0.4796,661,0.7239,0.9999,0.0,0.362,682,0.9371,1.0,0.2081,0.4685,1779
2026-04-07T16:22:52.907381+00:00,google/gemini-3.1-pro-preview,false,42,0.9183,0.9706,0.002,0.3166,658,0.696,1.0,0.0,0.232,626,0.9432,1.0,0.7742,0.5725,1586
2026-04-25T06:53:23.722423+00:00,google/gemini-3.1-pro-preview,false,42,0.9021,0.9702,0.0052,0.4659,617,0.723,1.0,0.0,0.3615,814,0.9428,1.0,0.8433,0.4714,1636
2026-04-25T08:18:27.796382+00:00,google/gemini-3.1-pro-preview,false,42,0.9135,0.9703,0.006,0.4716,1275,,,,,17,,,,,18
2026-04-25T09:48:08.916749+00:00,google/gemini-3.1-pro-preview,false,42,0.9174,0.9642,0.4352,0.4766,1036,0.7207,0.9998,0.0,0.3605,724,0.9397,1.0,0.3721,0.4698,1849
2026-04-25T09:49:33.610585+00:00,google/gemini-3.1-pro-preview,true,42,0.9174,0.9642,0.4352,0.4766,1036,0.7207,0.9998,0.0,0.3605,724,0.9397,1.0,0.3721,0.4698,1849
2026-04-28T12:50:03.884480+00:00,openai/gpt-5.4,false,42,0.9179,0.5776,0.9804,0.6702,1185,0.01,1.0,0.018,0.005,669,0.8651,1.0,0.25,0.4326,1598
2026-04-28T13:37:33.839277+00:00,openai/gpt-5.4,false,42,0.9213,0.0126,0.9876,0.9544,1193,0.7232,1.0,0.766,0.3616,853,0.9129,1.0,0.3848,0.4565,1980
2026-04-28T14:10:35.838451+00:00,openai/gpt-5.4,false,42,0.9202,0.0166,0.9876,0.9518,930,0.6932,0.9997,0.514,0.3468,1183,0.9099,1.0,0.3796,0.4549,1792
2026-04-28T14:10:44.627203+00:00,openai/gpt-5.4,true,42,0.9213,0.0126,0.9876,0.9544,1193,0.7232,1.0,0.766,0.3616,853,0.9129,1.0,0.3848,0.4565,1980
