timestamp,model,is_final,seed,test_acc_resnet20_cifar10,mia_auc_resnet20_cifar10,privacy_gap_resnet20_cifar10,privacy_score_resnet20_cifar10,elapsed_resnet20-cifar10,test_acc_vgg16bn_cifar100,mia_auc_vgg16bn_cifar100,privacy_gap_vgg16bn_cifar100,privacy_score_vgg16bn_cifar100,elapsed_vgg16bn-cifar100,test_acc_mobilenetv2_fmnist,mia_auc_mobilenetv2_fmnist,privacy_gap_mobilenetv2_fmnist,privacy_score_mobilenetv2_fmnist,elapsed_mobilenetv2-fmnist
2026-04-25T06:25:25.667157+00:00,qwen/qwen3.6-plus,false,42,0.7982,0.6,0.0275,0.6982,725,0.5164,0.6714,0.0447,0.345,589,0.9277,0.2143,0.0062,0.9277,1331
2026-04-25T08:07:28.489934+00:00,qwen/qwen3.6-plus,false,42,0.7833,0.7757,0.065,0.5076,790,0.5142,0.7472,0.243,0.267,777,0.9253,0.5741,0.008,0.8512,1587
2026-04-25T09:16:39.973338+00:00,qwen/qwen3.6-plus,false,42,0.7906,0.7927,0.1419,0.4979,696,,,,,9,,,,,5
2026-05-03T08:11:16.668327+00:00,qwen/qwen3.6-plus,true,42,0.7982,0.6,0.0275,0.6982,725,0.5164,0.6714,0.0447,0.345,589,0.9277,0.2143,0.0062,0.9277,1331
2026-04-24T19:59:20.531351+00:00,baseline:confidence_penalty,true,42,0.7974,0.713,0.1012,0.5844,703,0.01,0.0026,0.0,0.01,464,0.9273,0.5602,0.0258,0.8671,1327
2026-04-24T19:08:26.829846+00:00,baseline:erm,true,42,0.7972,0.7275,0.0924,0.5697,568,0.5045,0.8677,0.1479,0.1368,607,0.926,0.5575,0.0211,0.8685,1242
2026-04-24T20:23:20.798244+00:00,baseline:label_smoothing,true,42,0.7878,0.7678,0.1377,0.52,594,0.5258,0.8686,0.2866,0.1572,606,0.927,0.581,0.0216,0.846,1435
2026-04-24T06:09:46.560470+00:00,baseline:relaxloss,true,42,0.7949,0.5092,0.0075,0.7857,161,0.6226,0.649,0.166,0.4736,152,0.7904,0.4987,-0.0012,0.7904,394
2026-04-25T07:08:13.540149+00:00,anthropic/claude-opus-4.6,false,42,0.7857,0.8012,0.1488,0.4845,581,,,,,513,0.9172,0.605,0.0363,0.8122,1715
2026-04-25T08:32:43.419959+00:00,anthropic/claude-opus-4.6,false,42,0.7535,0.8124,0.1227,0.4411,1054,,,,,8,,,,,7
2026-04-25T10:12:17.825877+00:00,anthropic/claude-opus-4.6,false,42,0.7813,0.7294,0.0722,0.5519,603,0.5301,0.8477,0.1732,0.1824,541,0.9189,0.5585,0.0093,0.8604,1321
2026-04-25T10:12:31.774688+00:00,anthropic/claude-opus-4.6,true,42,0.7813,0.7294,0.0722,0.5519,603,0.5301,0.8477,0.1732,0.1824,541,0.9189,0.5585,0.0093,0.8604,1321
2026-04-25T05:51:19.017048+00:00,deepseek-reasoner,false,42,0.7811,0.7461,0.1049,0.535,650,0.01,0.0026,0.0,0.01,644,0.9241,0.5454,0.0105,0.8787,1475
2026-04-25T07:38:07.943332+00:00,deepseek-reasoner,false,42,0.7951,0.47,0.0197,0.7951,551,0.4064,0.7819,0.0588,0.1245,512,0.9261,0.1642,0.005,0.9261,1285
2026-04-25T09:04:08.662516+00:00,deepseek-reasoner,false,42,0.7926,0.5384,0.024,0.7542,739,0.4263,0.7975,0.0741,0.1288,610,0.924,0.2168,0.0067,0.924,1632
